id	precision	name	storage								
36	z	heevx	Hermitian	full	Yes	original	N/A		"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/zheevx_8f.html	494
37	c	hpev	Hermitian	packed	No	original	QR		reduced to real tridiagonal form first	Doxygen/docs/html/chpev_8f.html	495
38	z	hpev	Hermitian	packed	No	original	QR		reduced to real tridiagonal form first	Doxygen/docs/html/zhpev_8f.html	496
39	c	hpevd	Hermitian	packed	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/chpevd_8f.html	497
40	z	hpevd	Hermitian	packed	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/zhpevd_8f.html	498
41	c	hpevx	Hermitian	packed	Yes	original	N/A		"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/chpevx_8f.html	499
42	z	hpevx	Hermitian	packed	Yes	original	N/A		"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/zhpevx_8f.html	500
43	c	hbev	Hermitian	band	No	original	QR		reduced to real tridiagonal form first	Doxygen/docs/html/chbev_8f.html	501
44	z	hbev	Hermitian	band	No	original	QR		reduced to real tridiagonal form first	Doxygen/docs/html/zhbev_8f.html	502
45	c	hbevd	Hermitian	band	No	original	divide and conquer		faster but more memory	Doxygen/docs/html/chbevd_8f.html	503
46	z	hbevd	Hermitian	band	No	original	divide and conquer		faster but more memory	Doxygen/docs/html/zhbevd_8f.html	504
47	c	hbevx	Hermitian	band	Yes	original	N/A		"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/chbevx_8f.html	505
48	z	hbevx	Hermitian	band	Yes	original	N/A		"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/zhbevx_8f.html	506
49	s	geev	general	full					" eigenvalues, left, right eigenvectors, simple driver,"	Doxygen/docs/html/sgeev_8f.html	
50	d	geev	general	full					" eigenvalues, left, right eigenvectors, simple driver,"	Doxygen/docs/html/dgeev_8f.html	
51	c	geev	general	full					" eigenvalues, left, right eigenvectors, simple driver,"	Doxygen/docs/html/cgeev_8f.html	
52	z	geev	general	full					" eigenvalues, left, right eigenvectors, simple driver,"	Doxygen/docs/html/zgeev_8f.html	
53	s	geevx	general	full					" eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"	Doxygen/docs/html/sgeevx_8f.html	
54	d	geevx	general	full					" eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"	Doxygen/docs/html/dgeevx_8f.html	
55	c	geevx	general	full					" eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"	Doxygen/docs/html/cgeevx_8f.html	
56	z	geevx	general	full					" eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"	Doxygen/docs/html/zgeevx_8f.html	
57	s	gees	general	full					" eigenvalues, Schur factorization, simple driver,"	Doxygen/docs/html/sgees_8f.html	
58	d	gees	general	full					" eigenvalues, Schur factorization, simple driver,"	Doxygen/docs/html/dgees_8f.html	
59	c	gees	general	full					" eigenvalues, Schur factorization, simple driver,"	Doxygen/docs/html/cgees_8f.html	
60	z	gees	general	full					" eigenvalues, Schur factorization, simple driver,"	Doxygen/docs/html/zgees_8f.html	
61	s	geesx	general	full					" eigenvalues, Schur factorization, expert driver, condition numbers"	Doxygen/docs/html/sgeesx_8f.html	
62	d	geesx	general	full					" eigenvalues, Schur factorization, expert driver, condition numbers"	Doxygen/docs/html/dgeesx_8f.html	
63	c	geesx	general	full					" eigenvalues, Schur factorization, expert driver, condition numbers"	Doxygen/docs/html/cgeesx_8f.html	
64	z	geesx	general	full					" eigenvalues, Schur factorization, expert driver, condition numbers"	Doxygen/docs/html/zgeesx_8f.html
