MatrixName,CommSize,Edge,Interior,Dimension,npoints,nnz,AvgNonzerosPerRow,AbsoluteNonZeroSum,Trace,AbsoluteTrace,DiagonalMean,DiagonalNonZeros,DiagonalAverage,FrobeniusNorn,RowVariance,AvgDiagonalDistance,InfinityNorm,MaxNonZeroPerRow,DiagonalSign,lowerBandwidth,upperBandwidth,RowDiagonalDominance,MinNonZeroPerRow,OneNorm,ColumnDiagonalDominance,ColumnVariance,Symmetricity,NonZeroPatternSymmetry,SymmeticInfinityNorm,AntiSymmetricFrobeniusNorm,SymmetricFrobeniusNorm,AntiSymmerticInfinityNorm
598a.petsc,1,10,10,110971,30,1.13E+06,10.2,7.39E+10,0,0,0,0,#NAME?,8.34E+09,0,23626.8,221772,0,0,109839,107937,0,0,1.09E+06,0,509388,1,1,221772,0,0,0
662_bus.petsc,1,10,10,662,29,2052.2,3.1,45611.8,114318,113932,172.686,662,7.53927,14751.3,255.92,117.81,1422,1,2,296,235,0,1,1435,1,7.5118,1,1,1422,0,10641.9,0
685_bus.petsc,1,10,10,685,30,3356.5,4.9,328937,749219,748842,1093.75,685,47.8774,77431.5,9614.41,39.2051,26445,1,2,409,489,0,1,26445,1,186.809,1,1,26445,0,67239.9,0
ABACUS_shell_ud.petsc,1,10,10,23412,30,175590,7.5,786643,5.61E+14,-3.02E+13,2.40E+10,7023.6,-5.50E+06,162777,43.7087,77.4394,1.96E+09,1,-1,157,160,0,0,1.96E+09,0,0.0206484,0,0,1.96E+09,0,157961,0
ABACUS_shell_ud_K.petsc,1,10,10,23412,30,175590,7.5,786643,5.61E+14,-3.02E+13,2.40E+10,7023.6,-5.50E+06,162777,43.7086,77.4394,1.96E+09,1,-1,157,160,0,0,1.96E+09,0,0.0206484,1,1,1.96E+09,0,157962,0
ABACUS_shell_ud_M.petsc,1,10,10,23412,30,0,0,0,1749.25,0,0.0747158,0,#NAME?,0,0,#NAME?,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4.12E-06,0
ABACUS_shell_ud_c.petsc,1,10,10,1,30,0,0,0,0,0,0,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,#NAME?,1,1,0,0,0,0
ASIC_100k.petsc,1,10,10,99340,30,0,0,0,131.734,0,0.00132609,0,#NAME?,0,0,#NAME?,0,0,0,11027,0,0,0,1,0,0,1,1,0,0,66.8482,0
ASIC_100ks.petsc,1,10,10,99190,30,0,0,0,13439.2,0,0.135489,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,0,1,1,0,0,100.234,0
ASIC_320k.petsc,1,10,10,321821,30,0,0,0,962.12,0,0.00298961,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,0,1,1,0,0,134.128,0
ASIC_320ks.petsc,1,10,10,321671,30,0,0,0,79820.7,0,0.248144,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,0,1,1,0,0,305.002,0
ASIC_680k.petsc,1,10,10,682862,30,409717,0.6,8.00E+08,3.36E+08,3.36E+08,492.475,250383,0.0589897,4.18E+08,373923,#NAME?,3495,1,-1,11032,0,0,0,3495,0,5.47609,1,1,3495,0,4.18E+08,0
ASIC_680ks.petsc,1,10,10,682712,30,614441,0.9,1.24E+09,7.20E+08,7.20E+08,1054.96,455141,0.0695125,5.35E+08,614466,#NAME?,3495,1,-1,0,0,0,0,3495,1,9.00082,1,1,3495,0,5.35E+08,0
Alemdar.petsc,1,10,10,6245,30,46837.5,7.5,371578,6245,6245,1,6245,0.00480384,45356.9,0.1,2492.35,10,1,2,5534,5858,0,1,73,0,0.0843827,1,1,10,0,1974.84,0
Andrews.petsc,1,10,10,60000,30,720000,12,1.32E+06,682000,682000,11.3667,60000,0.00568333,225619,13.04,17476.9,19,1,2,59250,59910,0,1,38,1,0.00235671,1,1,19,0,216666,0
Baumann.petsc,1,10,10,112211,30,695708,6.2,1.42E+08,3.47E+07,3.90E+07,308.898,112211,0.0928697,3.74E+07,97099.4,367.346,2452,1,-3,1111,1111,0,1,3261,0,9.87911,1,1,2452,0,3.50E+07,0
BenElechi1.petsc,1,10,10,245874,30,1.04E+07,42.3,1.82E+08,3.09E+07,3.08E+07,125.593,245874,0.015268,1.86E+07,3649.19,503.508,399,1,2,813,803,0,1,1464,0,0.232251,1,1,399,0,1.49E+07,0
CAG_mat1916.petsc,1,10,10,1916,30,45792.4,23.9,55564,8558.13,8558.13,4.46667,1916,0.0699374,3851.11,0.531111,616.961,45,2,2,1915,1915,0,1,1276,0,0.0202878,0,0,44,735.854,1541.76,0
CAG_mat364.petsc,1,10,10,364,30,9172.8,25.2,19037.2,1261.87,1261.87,3.46667,364,0.285714,1568.58,3.49889,113.021,15,5,2,361,358,0,1,266,0,0.448383,0,0,19,193.469,662.49,0
CAG_mat72.petsc,1,10,10,72,30,900,12.5,2016,220.8,220.8,3.06667,72,1.27778,247.747,5.37556,14.9565,31,4,2,47,48,0,1,111,0,1.2775,0,0,39,64.8,162.758,0
CO.petsc,1,10,10,221119,30,2.76E+06,12.5,2.62E+07,1.24E+07,1.22E+07,55.9204,221119,0.00746205,4.20E+06,301.382,2015.7,87,1,2,8816,8842,0,1,121,0,0.0163293,1,1,87,0,3.91E+06,0
CSphd.petsc,1,10,10,1882,30,1129.2,0.6,1.01E+06,0,0,0,0,#NAME?,478348,0,686.5,9,0,0,1849,1440,0,0,4999,0,343.265,0,0,7,0,0,0
California.petsc,1,10,10,9664,30,19328,2,1.22E+08,0,0,0,0,#NAME?,3.09E+07,0.81,2140.95,9,1,0,9641,9593,0,0,168815,0,10565,0,0,4,4348.8,4348.8,0
Chebyshev1.petsc,1,10,10,261,30,0,0,0,13413.6,13398,51.3932,69.6,22.1264,0,0,#NAME?,24374,0,-3,4,4,0,0,20004,0,0,0,0,12541,3.92E-08,7.01643,0
Chebyshev2.petsc,1,10,10,2053,30,0,0,0,105465,105387,51.3714,547.467,2.81296,0,0,#NAME?,24374,0,-3,4,4,0,0,20004,0,0,0,0,12541,4.41E-12,1.1821,0
Chebyshev3.petsc,1,10,10,4101,30,0,0,0,1.73E+07,1.73E+07,4214.23,1093.6,115.605,0,0,#NAME?,2.35E+06,0,-3,4,4,0,0,2.00E+06,0,0,0,0,1.21E+06,2.14E-12,12.3735,0
Chebyshev4.petsc,1,10,10,68121,30,81745.2,1.2,565404,3.52E+06,3.52E+06,51.6889,20436.3,0.0757965,196845,0.799731,569.818,24374,1,-3,1048,1046,0,0,4.00E+08,0,0.00122578,0,0,12541,5.75E-08,64712.4,0
Chem97ZtZ.petsc,1,10,10,2541,30,5082,2,90459.6,697135,696403,274.354,2541,3.23573,25823.4,58.5734,1502.3,1111,1,2,2410,501,0,1,1873,1,0.406292,1,1,1111,0,19754.5,0
CoupCons3D.petsc,1,10,10,416800,30,1.16E+07,27.9,2.32E+08,6.03E+08,6.03E+08,1446.51,416800,0.104093,5.68E+07,14494.9,40078.1,16760,1,2,83363,83363,0,1,18258,0,0.446069,1,1,16760,0,5.02E+07,0
CurlCurl_0.petsc,1,10,10,11083,30,103072,9.3,3.05E+13,1.03E+13,7.88E+12,9.30E+08,10713.6,1.99E+06,4.48E+12,9.47E+16,358.536,2.23E+09,1,-1,1746,1549,0,0,5.09E+09,0,1.47E+14,1,1,2.23E+09,0,5.98E+12,0
EAT_SR.petsc,1,10,10,23219,30,181108,7.8,260053,0,0,0,0,#NAME?,37295.2,0,7308.6,4,0,0,23091,22718,0,0,168,0,0.00111083,0,0,2,0,0,0
CurlCurl_1.petsc,1,10,10,226451,30,2.04E+06,9,1.17E+15,8.86E+14,-1.28E+14,3.91E+09,105677,-160478,1.63E+14,1.03E+17,2946.65,2.12E+09,1,-1,12344,12341,0,0,8.78E+09,0,2.27E+13,1,1,2.12E+09,0,3.35E+14,0
CurlCurl_2.petsc,1,10,10,806529,30,5.32E+06,6.6,3.11E+15,7.51E+15,-7.90E+14,9.32E+09,268843,-109240,4.81E+14,0,6163.56,2.55E+09,0,-1,23446,23448,0,0,7.05E+09,0,4.40E+12,1,1,2.55E+09,0,3.10E+15,0
Erdos991.petsc,1,10,10,492,30,3493.2,7.1,1.04E+06,0,0,0,0,#NAME?,140377,4362.78,116.817,934,1,0,474,441,0,0,4590,0,1633.11,1,1,934,0,32497.3,0
CurlCurl_3.petsc,1,10,10,1.22E+06,30,6.59E+06,5.4,5.50E+15,3.33E+16,-1.45E+15,2.73E+10,406525,-87902.8,9.65E+14,0,6080.96,1.27E+09,0,-1,26759,26755,0,0,5.45E+09,0,5.13E+12,1,1,1.27E+09,0,1.29E+16,0
CurlCurl_4.petsc,1,10,10,2.38E+06,30,1.12E+07,4.7,7.59E+15,4.61E+16,-2.26E+15,1.94E+10,793505,-35941.4,1.43E+15,0,7586.85,2.55E+09,0,-1,43679,43679,0,0,4.24E+09,0,1.51E+12,1,1,2.55E+09,0,2.20E+16,0
DK01R.petsc,1,10,10,903,30,8036.7,8.9,1.36E+08,2.13E+06,2.13E+06,2354.26,903,78.196,5.04E+07,1205.73,8.03797,1.03E+07,1,2,14,14,0,1,1.43E+07,0,3.46E+07,1,1,1.03E+07,0,31507,0
Dubcova1.petsc,1,10,10,16129,30,9677.4,0.6,14516.1,27455.1,15591.4,1.70222,8602.13,0.00337126,6246.73,0.132948,#NAME?,2,1,-1,0,0,0,0,2,1,9.30E-05,1,1,2,0,9252.29,0
Dubcova2.petsc,1,10,10,65025,30,52020,0.8,71527.5,114733,67192.5,1.76444,39015,0.000794566,26810.5,0.148494,#NAME?,2,1,-1,0,0,0,0,2,1,2.61E-05,1,1,2,0,39891.4,0
Dubcova3.petsc,1,10,10,146689,30,73344.5,0.5,88013.4,206203,127130,1.40571,73344.5,0.000354491,41489.9,0.0708467,#NAME?,2,1,-1,0,0,0,0,2,1,5.45E-06,1,1,2,0,61261,0
EAT_RS.petsc,1,10,10,23219,30,211293,9.1,455092,0,0,0,0,#NAME?,75809.2,0,5933.4,2,0,0,15780,22987,0,0,99,0,0.0045877,0,0,2,0,0,0
EPA.petsc,1,10,10,4772,30,6203.6,1.3,2.13E+07,0,0,0,0,#NAME?,6.71E+06,0,792.615,4764,0,0,1276,4640,0,0,25937,0,4144.97,0,0,4764,0,0,0
EVA.petsc,1,10,10,8497,30,5098.2,0.6,3.61E+07,0,0,0,0,#NAME?,1.61E+07,0,3422.33,1456,0,0,8243,6615,0,0,62666,0,4248.51,0,0,1436,863170,863170,0
EX1.petsc,1,10,10,560,28,6440,11.5,2.08E+06,0,0,0,0,#NAME?,228050,22868.6,80.1565,2765,2,0,382,406,0,0,6698,0,2915.8,1,1,2765,0,87128.1,0
EX2.petsc,1,10,10,560,28,6664,11.9,2.20E+06,0,0,0,0,#NAME?,235257,22852.5,79.2353,2780,2,0,382,406,0,0,7057,0,3098.61,1,1,2780,0,87096.2,0
EX3.petsc,1,10,10,2600,30,48360,18.6,6.96E+07,0,0,0,0,#NAME?,5.88E+06,4.55,335.694,10378,1,0,1706,1804,0,0,64094,0,19562.5,1,1,10378,0,5545.99,0
EX4.petsc,1,10,10,2600,30,53300,20.5,7.96E+07,0,0,0,0,#NAME?,6.31E+06,0,394.99,12982,0,0,1940,1859,0,0,54209,0,22513.2,1,1,12982,0,0,0
EX5.petsc,1,10,10,6545,30,206168,31.5,7.60E+08,0,0,0,0,#NAME?,4.62E+07,0,937.476,32712,0,0,4010,4963,0,0,222239,0,75945.7,1,1,32712,0,0,0
EX6.petsc,1,10,10,6545,30,200932,30.7,7.41E+08,0,0,0,0,#NAME?,4.59E+07,0,875.909,26168,0,0,4009,4963,0,0,226833,0,74978.2,1,1,26168,0,0,0
Emilia_923.petsc,1,10,10,923136,30,3.29E+07,35.6,1.28E+16,2.11E+17,-1.52E+15,2.29E+11,215398,-229306,9.62E+14,0,5539.67,4.07E+09,0,-1,16674,16688,0,0,2.04E+10,0,1.18E+13,1,1,4.07E+09,0,4.92E+17,0
Erdos02.petsc,1,10,10,6927,30,14546.7,2.1,2.98E+07,0,0,0,0,#NAME?,1.02E+07,0,3940.43,6933,0,0,6926,6926,0,0,295497,0,3122.75,1,1,6933,0,0,0
Erdos971.petsc,1,10,10,472,30,1840.8,3.9,603358,0,0,0,0,#NAME?,106274,1640.25,83.5385,405,1,0,455,427,0,0,3870,0,1064.54,1,1,405,0,19116,0
Erdos972.petsc,1,10,10,5488,30,8232,1.5,1.91E+07,0,0,0,0,#NAME?,7.02E+06,0.09,1781.87,10880,1,0,5478,5478,0,0,60559,0,2981.21,1,1,10880,0,1646.4,0
Erdos981.petsc,1,10,10,485,30,1891.5,3.9,648300,0,0,0,0,#NAME?,112774,5096.36,71.7179,941,1,0,467,435,0,0,4198,0,1108.27,1,1,941,0,34623.6,0
Erdos982.petsc,1,10,10,5822,30,29110,5,3.32E+07,0,0,0,0,#NAME?,7.76E+06,0,2389.62,162,0,0,5812,5812,0,0,30452,0,3050.59,1,1,162,0,0,0
Erdos992.petsc,1,10,10,6100,30,6100,1,1.59E+07,0,0,0,0,#NAME?,6.61E+06,0,3966.9,10,0,0,6087,6087,0,0,32135,0,1923.25,1,1,10,0,0,0
F2.petsc,1,10,10,71505,30,3.55E+06,49.7,2.69E+11,6.38E+10,6.38E+10,892035,71505,374.254,2.50E+10,7.25E+10,16637.1,3.01E+06,1,2,66170,71309,0,1,1.06E+07,0,1.71E+07,1,1,3.01E+06,0,1.92E+10,0
FA.petsc,1,10,10,10617,30,0,0,0,0,0,0,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
FEM_3D_thermal1.petsc,1,10,10,17880,30,0,0,0,5647.53,0,0.315857,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2505.19,0
FEM_3D_thermal2.petsc,1,10,10,147900,30,0,0,0,3243.43,0,0.0219299,0,#NAME?,0,0,#NAME?,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1867.94,0
Fault_639.petsc,1,10,10,638802,30,8.24E+06,12.9,5.28E+15,1.99E+17,-9.15E+14,3.11E+11,212934,-201704,6.33E+14,0,6802.08,3.53E+09,0,-1,15446,19222,0,0,2.43E+10,0,1.54E+13,1,1,3.53E+09,0,3.00E+17,0
G1.petsc,1,10,10,800,28,28960,36.2,1.11E+07,0,0,0,0,#NAME?,710328,20165.7,276.439,1640,3,0,790,790,0,0,29152,0,9510.24,1,1,1640,0,113794,0
G10.petsc,1,10,10,800,28,38880,48.6,38880,0,0,0,0,#NAME?,1763.63,0.11,285.543,3,1,0,792,792,0,0,66,0,0.0607175,1,1,3,0,265.33,0
G11.petsc,1,10,10,800,28,3200,4,3200,0,0,0,0,#NAME?,505.964,0.06,44,4,1,0,792,792,0,0,4,0,0.005,1,1,4,0,195.959,0
G12.petsc,1,10,10,800,28,3200,4,3200,0,0,0,0,#NAME?,505.964,0.05,46.9,3,1,0,784,784,0,0,4,0,0.00500063,1,1,3,0,178.885,0
G13.petsc,1,10,10,800,28,3200,4,3200,0,0,0,0,#NAME?,505.964,0.04,53.3,2,1,0,768,768,0,0,4,0,0.00499937,1,1,2,0,160,0
G14.petsc,1,10,10,800,28,15440,19.3,3.84E+06,0,0,0,0,#NAME?,423213,33657.7,228.715,1463,2,0,793,793,0,0,14861,0,3459.11,1,1,1463,0,146786,0
G15.petsc,1,10,10,800,28,16160,20.2,3.91E+06,0,0,0,0,#NAME?,426141,5788.94,232.01,833,4,0,798,798,0,0,15574,0,3493.07,1,1,833,0,61107.9,0
G16.petsc,1,10,10,800,28,13040,16.3,3.38E+06,0,0,0,0,#NAME?,396863,37776,242.123,2282,3,0,792,792,0,0,13346,0,3044.03,1,1,2282,0,155624,0
G17.petsc,1,10,10,800,28,11920,14.9,3.04E+06,0,0,0,0,#NAME?,371987,827.426,238.765,811,3,0,791,791,0,0,13848,0,2678.73,1,1,811,0,23013.7,0
G18.petsc,1,10,10,800,28,20720,25.9,20720,0,0,0,0,#NAME?,1287.48,0.186667,241.282,10,3,0,793,793,0,0,132,0,0.0323594,1,1,10,0,357.771,0
G19.petsc,1,10,10,800,28,22000,27.5,22000,0,0,0,0,#NAME?,1326.65,0.261111,255.858,11,5,0,798,798,0,0,153,0,0.0343963,1,1,11,0,415.692,0
G2.petsc,1,10,10,800,28,26960,33.7,9.86E+06,0,0,0,0,#NAME?,662432,30171.3,296.819,2411,2,0,798,798,0,0,20236,0,8324.61,1,1,2411,0,139307,0
G20.petsc,1,10,10,800,28,18240,22.8,18240,0,0,0,0,#NAME?,1207.97,0.306667,272.272,10,4,0,792,792,0,0,123,0,0.0284853,1,1,10,0,438.178,0
G21.petsc,1,10,10,800,28,16160,20.2,16160,0,0,0,0,#NAME?,1137.01,0.221111,272.243,14,6,0,793,793,0,0,143,0,0.0252613,1,1,14,0,383.667,0
G22.petsc,1,10,10,2000,29,28200,14.1,3.43E+07,0,0,0,0,#NAME?,3.27E+06,34040.2,585.234,1845,1,0,1986,1974,0,0,28394,0,13326.3,1,1,1845,0,369000,0
G23.petsc,1,10,10,2000,29,32000,16,3.66E+07,0,0,0,0,#NAME?,3.35E+06,0.04,573.375,1994,1,0,1958,1923,0,0,31349,0,13945,1,1,1994,0,400,0
G24.petsc,1,10,10,2000,29,28400,14.2,3.37E+07,0,0,0,0,#NAME?,3.24E+06,0,608.451,0,0,0,1955,1976,0,0,23015,0,13055.2,1,1,0,0,0,0
G25.petsc,1,10,10,2000,29,33800,16.9,3.98E+07,0,0,0,0,#NAME?,3.49E+06,0,654.077,1983,0,0,1960,1936,0,0,30153,0,15152.8,1,1,1983,0,0,0
G26.petsc,1,10,10,2000,29,28000,14,3.18E+07,0,0,0,0,#NAME?,3.15E+06,16641.1,591.3,1290,1,0,1949,1977,0,0,26234,0,12320.6,1,1,1290,0,258001,0
G27.petsc,1,10,10,2000,29,34000,17,34000,0,0,0,0,#NAME?,2607.68,0.01,699.318,1,1,0,1986,1974,0,0,27,0,0.0085028,1,1,1,0,200,0
G28.petsc,1,10,10,2000,29,43000,21.5,43000,0,0,0,0,#NAME?,2932.58,0.07,707.986,2,1,0,1985,1982,0,0,33,0,0.0107501,1,1,2,0,529.15,0
G29.petsc,1,10,10,2000,29,37000,18.5,37000,0,0,0,0,#NAME?,2720.29,0.04,691.216,1,1,0,1961,1976,0,0,27,0,0.00924945,1,1,1,0,400,0
G2_circuit.petsc,1,10,10,150102,30,630428,4.2,4.13E+07,1.56E+07,1.55E+07,103.767,150102,0.0206659,9.37E+06,3100.34,2996.59,292,1,2,63550,4978,0,1,478,1,0.259449,1,1,292,0,8.38E+06,0
G3.petsc,1,10,10,800,30,27200,34,1.13E+07,0,0,0,0,#NAME?,695788,19568.2,229.147,2026,2,0,792,792,0,0,23772,0,9131.54,1,1,2026,0,113445,0
G30.petsc,1,10,10,2000,30,38400,19.2,38400,0,0,0,0,#NAME?,2771.28,0.02,646.542,1,1,0,1976,1950,0,0,27,0,0.0095997,1,1,1,0,282.843,0
G31.petsc,1,10,10,2000,30,42600,21.3,42600,0,0,0,0,#NAME?,2918.9,0.01,680.582,1,1,0,1991,1991,0,0,31,0,0.0106537,1,1,1,0,200,0
G32.petsc,1,10,10,2000,30,8000,4,8000,0,0,0,0,#NAME?,1264.91,0,10.5,2,0,0,1980,1980,0,0,4,0,0.002,1,1,2,0,0,0
G33.petsc,1,10,10,2000,30,8000,4,8000,0,0,0,0,#NAME?,1264.91,0,13,2,0,0,1975,1975,0,0,4,0,0.0019998,1,1,2,0,0,0
G34.petsc,1,10,10,2000,30,8000,4,8000,0,0,0,0,#NAME?,1264.91,0,20.5,2,0,0,1960,1960,0,0,4,0,0.002,1,1,2,0,0,0
G35.petsc,1,10,10,2000,30,13400,6.7,1.62E+07,0,0,0,0,#NAME?,2.31E+06,1124.94,468.313,359,2,0,1996,1996,0,0,50123,0,6658.05,1,1,359,0,67213.7,0
G36.petsc,1,10,10,2000,30,17600,8.8,1.91E+07,0,0,0,0,#NAME?,2.43E+06,25600,575.545,1627,1,0,1997,1997,0,0,79524,0,7354.62,1,1,1627,0,320000,0
G37.petsc,1,10,10,2000,30,15200,7.6,1.70E+07,0,0,0,0,#NAME?,2.32E+06,9834.66,465.566,5307,3,0,1991,1991,0,0,70102,0,6689.91,1,1,5307,0,208369,0
G38.petsc,1,10,10,2000,30,15400,7.7,1.79E+07,0,0,0,0,#NAME?,2.33E+06,47481.8,461.974,2573,1,0,1987,1987,0,0,61036,0,6796.86,1,1,2573,0,435806,0
G39.petsc,1,10,10,2000,30,15200,7.6,15200,0,0,0,0,#NAME?,1743.56,0.0722222,656.066,11,3,0,1996,1996,0,0,210,0,0.0037993,1,1,11,0,529.15,0
G3_circuit.petsc,1,10,10,1.59E+06,30,6.50E+06,4.1,1.17E+09,2.82E+08,2.82E+08,178.08,1.59E+06,0.0033605,4.06E+08,36698.3,25545.3,1299,1,2,443353,264437,0,1,2596,1,0.413025,1,1,1299,0,3.04E+08,0
G4.petsc,1,10,10,800,30,30160,37.7,1.29E+07,0,0,0,0,#NAME?,741183,17182.1,220.724,1773,2,0,796,796,0,0,21530,0,10322.5,1,1,1773,0,107910,0
G40.petsc,1,10,10,2000,30,18600,9.3,18600,0,0,0,0,#NAME?,1928.73,0.03,650.366,10,1,0,1997,1997,0,0,326,0,0.00465075,1,1,10,0,346.41,0
G41.petsc,1,10,10,2000,30,23600,11.8,23600,0,0,0,0,#NAME?,2172.56,0.0922222,696.441,10,2,0,1991,1991,0,0,279,0,0.00590085,1,1,10,0,600,0
G42.petsc,1,10,10,2000,30,18200,9.1,18200,0,0,0,0,#NAME?,1907.88,0.116667,662.879,14,4,0,1997,1997,0,0,249,0,0.0045497,1,1,14,0,663.325,0
G43.petsc,1,10,10,1000,30,16900,16.9,9.10E+06,0,0,0,0,#NAME?,796369,8595.83,259.249,1001,2,0,991,991,0,0,16432,0,6257.87,1,1,1001,0,93353.6,0
G44.petsc,1,10,10,1000,30,13900,13.9,7.49E+06,0,0,0,0,#NAME?,738022,6452.49,248.043,1145,1,0,985,985,0,0,11169,0,5393.21,1,1,1145,0,80327.4,0
G45.petsc,1,10,10,1000,30,15600,15.6,8.30E+06,0,0,0,0,#NAME?,764555,8531.63,267.853,587,1,0,997,997,0,0,12289,0,5778.21,1,1,587,0,92366.8,0
G46.petsc,1,10,10,1000,30,16200,16.2,8.64E+06,0,0,0,0,#NAME?,780782,15032.5,276.34,2657,1,0,986,986,0,0,14362,0,6021.6,1,1,2657,0,122607,0
G47.petsc,1,10,10,1000,30,13400,13.4,7.45E+06,0,0,0,0,#NAME?,730483,4396.52,255.142,584,1,0,992,992,0,0,12952,0,5281.83,1,1,584,0,66306.3,0
G48.petsc,1,10,10,3000,30,9600,3.2,1.63E+07,0,0,0,0,#NAME?,3.44E+06,0,19.875,8997,0,0,2940,2940,0,0,11995,0,4384.69,1,1,8997,0,0,0
G49.petsc,1,10,10,3000,30,10500,3.5,1.77E+07,0,0,0,0,#NAME?,3.56E+06,0,43.8571,8997,0,0,2900,2900,0,0,11993,0,4683.06,1,1,8997,0,0,0
G5.petsc,1,10,10,800,30,25920,32.4,1.11E+07,0,0,0,0,#NAME?,688520,22238.8,214.667,3080,2,0,791,791,0,0,21839,0,8949.08,1,1,3080,0,122378,0
G50.petsc,1,10,10,3000,30,9300,3.1,1.60E+07,0,0,0,0,#NAME?,3.43E+06,0,39.8387,8997,0,0,2880,2880,0,0,11995,0,4355.34,1,1,8997,0,0,0
G51.petsc,1,10,10,1000,30,8400,8.4,4.00E+06,0,0,0,0,#NAME?,552719,3403.87,212.452,1227,2,0,998,998,0,0,21301,0,3041.42,1,1,1227,0,58520.7,0
G52.petsc,1,10,10,1000,30,9400,9.4,4.62E+06,0,0,0,0,#NAME?,588791,22914,215.213,980,2,0,991,991,0,0,22017,0,3447.36,1,1,980,0,151375,0
G53.petsc,1,10,10,1000,30,8900,8.9,4.67E+06,0,0,0,0,#NAME?,589449,9286.82,209.022,1770,2,0,996,996,0,0,16673,0,3455.54,1,1,1770,0,96369.8,0
G54.petsc,1,10,10,1000,30,8300,8.3,4.15E+06,0,0,0,0,#NAME?,552328,8112.28,229.795,835,2,0,992,992,0,0,17055,0,3036.03,1,1,835,0,90075.2,0
G55.petsc,1,10,10,5000,30,29500,5.9,9.86E+07,0,0,0,0,#NAME?,1.43E+07,0,1205.98,101,0,0,4990,4990,0,0,31098,0,16264.5,1,1,101,0,0,0
