Name,Num Procs,Row Variance,Col Variance,Diag Variance,Nonzeros,Dimension,Frob. Norm,Symm Frob Norm,Antisymm Frob Norm,One Norm,Inf Norm,Symm Inf Norm,Antisymm Inf Norm,Max Nonzeros / Row,Min Nonzeros / Rows,Avg Nonzeros / Row,Trace,Abs Trace,Dummy Rows,Total Matching %,Total No match %,Total DNE %,Row Diag Dominance,Col Diag Dominance,Lower Bandwidth,Upper Bandwidth,Diagonal Mean,Diagonal Sign,Diagonal Nonzeros,Eigen LM,Eigen LR,Eigen SM,Eigen SR,
ABACUS_shell_ld_E.mtx,12,3.00E+10,3.00E+10,9.08E+12,19216,23412,6.22E+08,6.22E+08,2.98E-08,6.76E+07,6.76E+07,6.76E+07,4.54E-09,12,0,0.820776,1.69E+10,1.69E+10,0,0.509993,0.490007,0,1,1,177,177,721415,2,1604, 5.64169e+07 : 0, 5.64169e+07 : 0, unconverged, unconverged, 
ABACUS_shell_ld_K.mtx,12,1.20E+21,1.20E+21,3.63E+23,216082,23412,1.24E+14,1.24E+14,1.82348,1.35E+13,1.35E+13,1.35E+13,0.155643,15,4,9.22954,3.38E+15,3.38E+15,0,0.937769,0.0497638,0.0124669,1,1,379,379,1.44E+11,2,23412, 1.12834e+13 : 0, 1.12834e+13 : 0, unconverged, unconverged, 
ABACUS_shell_ld_M.mtx,12,1.42011,1.42793,4.25411,206474,23412,2607.37,1863.69,1823.47,283.612,311.285,155.643,155.643,12,4,8.81915,11693.6,11693.6,0,0.983612,0.00326665,0.0131212,1,1,379,379,0.49947,2,23412, 25.7723 : 0, 25.7723 : 0, unconverged, unconverged, 
ABACUS_shell_md_E.mtx,12,1.20E+11,1.20E+11,3.63E+13,19216,23412,1.24E+09,1.24E+09,5.96E-08,1.35E+08,1.35E+08,1.35E+08,9.08E-09,12,0,0.820776,3.38E+10,3.38E+10,0,0.509993,0.490007,0,1,1,177,177,1.44E+06,2,1604, 1.12834e+08 : 0, 1.12834e+08 : 0, unconverged, unconverged, 
ABACUS_shell_md_K.mtx,12,1.20E+21,1.20E+21,3.63E+23,216082,23412,1.24E+14,1.24E+14,1.82348,1.35E+13,1.35E+13,1.35E+13,0.155643,15,4,9.22954,3.38E+15,3.38E+15,0,0.937769,0.0497638,0.0124669,1,1,379,379,1.44E+11,2,23412, 1.12834e+13 : 0, 1.12834e+13 : 0, unconverged, unconverged, 
ABACUS_shell_md_M.mtx,12,1.42011,1.42793,4.25411,206474,23412,2607.37,1863.69,1823.47,283.612,311.285,155.643,155.643,12,4,8.81915,11693.6,11693.6,0,0.983612,0.00326665,0.0131212,1,1,379,379,0.49947,2,23412, 25.7723 : 0, 25.7723 : 0, unconverged, unconverged, 
ABACUS_shell_ud_K.mtx,12,1.20E+21,1.20E+21,3.63E+23,216082,23412,1.24E+14,1.24E+14,1.82347,1.35E+13,1.35E+13,1.35E+13,0.155643,15,4,9.22954,3.38E+15,3.38E+15,0,0.987533,0,0.0124669,1,1,379,379,1.44E+11,2,23412, 1.12834e+13 : 0, 1.12834e+13 : 0, unconverged, unconverged, 
ABACUS_shell_ud_M.mtx,12,1.42011,1.42793,4.25411,206474,23412,2607.37,1863.69,1823.47,283.612,311.285,155.643,155.643,12,4,8.81915,11693.6,11693.6,0,0.986879,0,0.0131212,1,1,379,379,0.49947,2,23412, 25.7723 : 0, 25.7723 : 0, unconverged, unconverged, 
ABACUS_shell_ud.mtx,12,1.20E+21,1.20E+21,3.63E+23,218484,23412,1.24E+14,1.24E+14,4.56E+08,1.35E+13,1.35E+13,1.35E+13,3.89E+07,15,6,9.33214,3.38E+15,3.38E+15,0,0.975373,0.0246268,0,1,1,379,379,1.44E+11,2,23412, 1.12834e+13 : 0, 1.12834e+13 : 0, unconverged, unconverged, 
add20.mtx,12,0.000147032,0.000147032,0.0098923,17319,2395,10.4148,10.4148,0.00142665,0.995896,0.995901,0.995899,0.000612766,124,2,7.23132,335.646,335.646,0,0.658805,0.341195,0,1,1,2313,2313,0.140144,2,2395, unconverged, unconverged, unconverged, unconverged, 
add32.mtx,12,4.82E-07,4.82E-07,6.86E-05,23884,4960,1.56794,1.56794,0.00261632,0.0841399,0.0837295,0.0837816,0.000391948,32,2,4.81532,82.176,82.176,0,0.453393,0.546607,0,1,1,4029,4029,0.0165677,2,4960, unconverged, unconverged, unconverged, unconverged, 
adder_dcop_01.mtx,12,0.00055198,0.00055196,6.90E-07,11156,1813,4.2428,4.2428,0.00648227,1.07514,1.10685,1.08618,0.0422664,1310,1,6.15334,0.206396,0.206396,12,0.0158204,0.638589,0.345591,1,1,1763,1801,0.000113842,2,1801, 1.01782 : 0, 1.01782 : 0, unconverged, unconverged, 
adder_dcop_02.mtx,12,0.00064257,0.000642523,9.23E-05,11246,1813,4.26343,4.26335,0.0250923,1.86918,1.84159,1.85084,0.117562,1310,1,6.20298,2.51817,2.51817,12,0.0260455,0.622128,0.351826,1,1,1763,1801,0.00138895,2,1801, 1.22338 : 0, 1.22338 : 0, unconverged, -1 : 0, 
adder_dcop_03.mtx,12,0.00824149,0.00824149,0.0163058,11148,1813,6.90975,6.90968,0.0300817,3.86673,3.86734,3.86701,0.13848,1310,1,6.14892,12.1708,12.1708,12,0.0365893,0.606398,0.357013,1,1,1763,1801,0.00671306,2,1801, 3.86653 : 0, 3.86653 : 0, unconverged, unconverged, 
adder_dcop_04.mtx,12,0.00108395,0.00108375,0.00157812,11107,1813,4.57982,4.57973,0.0296001,2.9574,2.99671,2.97029,0.101324,1310,1,6.12631,7.06904,7.06904,12,0.00386847,0.64668,0.349452,1,1,1763,1800,0.00389909,2,1801, 1.6101 : 0, 1.6101 : 0, unconverged, unconverged, 
adder_dcop_05.mtx,12,0.0141396,0.0141396,0.0204919,11097,1813,7.46956,7.4695,0.0281643,7.71337,7.74001,7.72109,0.0819631,1310,1,6.12079,15.9576,15.9576,12,0.0133391,0.634036,0.352625,1,1,1763,1800,0.00880177,2,1801, 5.0645 : 0, 5.0645 : 0, unconverged, -1 : 0, 
adder_dcop_06.mtx,12,0.00200376,0.00200331,0.00340951,11224,1813,4.93194,4.93185,0.0303563,4.2297,4.28442,4.25566,0.0738766,1310,1,6.19084,9.30104,9.30104,12,0.014645,0.633981,0.351374,1,1,1763,1801,0.00513019,2,1801, 2.10542 : 0, 2.10542 : 0, unconverged, unconverged, 
adder_dcop_07.mtx,12,0.0101978,0.0101807,0.0098757,11226,1813,6.94597,6.94591,0.0296156,7.74968,7.78935,7.76825,0.0761312,1310,1,6.19195,11.4706,11.4706,12,0.00594164,0.642546,0.351512,1,1,1763,1801,0.00632685,2,1801, 5.54455 : 0, 5.54455 : 0, unconverged, -1 : 0, 
adder_dcop_08.mtx,12,0.00285255,0.0028498,0.00231699,11242,1813,4.8834,4.88333,0.0256535,4.68355,4.72273,4.70084,0.078942,1310,1,6.20077,7.81841,7.81841,12,0.00529605,0.642517,0.352187,1,1,1763,1801,0.00431241,2,1801, 2.62139 : 0, 2.62139 : 0, unconverged, unconverged, 
adder_dcop_09.mtx,12,0.15926,0.159229,0.199503,11239,1813,23.2352,23.2352,0.0215287,29.8675,29.9004,29.8825,0.0576339,1310,1,6.19912,44.3897,44.3897,12,0.00614537,0.642297,0.351558,1,1,1763,1801,0.0244841,2,1801, 20.3762 : 0, 20.3762 : 0, unconverged, unconverged, 
adder_dcop_10.mtx,12,0.00315297,0.00315064,0.00376904,11232,1813,5.16822,5.16817,0.0222467,4.9109,4.93175,4.92057,0.0689887,1310,1,6.19526,9.46772,9.46772,12,0.0057258,0.642138,0.352137,1,1,1763,1801,0.00522213,2,1801, 2.75858 : 0, 2.75858 : 0, unconverged, unconverged, 
adder_dcop_11.mtx,12,0.00111447,0.00111431,0.000726564,11243,1813,4.42013,4.42009,0.0182497,2.93279,2.94475,2.93703,0.0530563,1310,1,6.20132,6.63162,6.63162,12,0.00487185,0.643296,0.351832,1,1,1763,1801,0.00365781,2,1801, 1.63991 : 0, 1.63991 : 0, unconverged, unconverged, 
adder_dcop_12.mtx,12,0.000845121,0.000844989,0.000318604,11246,1813,4.31734,4.3173,0.0168684,2.43959,2.46329,2.45122,0.0478406,1310,1,6.20298,5.71098,5.71098,12,0.0044468,0.643727,0.351826,1,1,1763,1801,0.00315002,2,1801, 1.42999 : 0, 1.42999 : 0, unconverged, unconverged, 
adder_dcop_13.mtx,12,0.000746889,0.00074689,0.000211181,11245,1813,4.2909,4.29088,0.014966,2.18783,2.19041,2.18873,0.0369155,1310,1,6.20243,5.31891,5.31891,12,0.00275307,0.645489,0.351758,1,1,1763,1801,0.00293376,2,1801, 1.3409 : 0, 1.3409 : 0, unconverged, -1 : 0, 
adder_dcop_14.mtx,12,0.000846215,0.000846153,0.000301977,11246,1813,4.31475,4.31474,0.00917864,2.4329,2.44118,2.43695,0.0220485,1310,1,6.20298,5.41597,5.41597,12,0.00825834,0.639915,0.351826,1,1,1763,1801,0.0029873,2,1801, 1.43157 : 0, 1.43157 : 0, unconverged, unconverged, 
adder_dcop_15.mtx,12,0.000744503,0.000744489,0.000198257,11246,1813,4.28831,4.2883,0.00860538,2.17845,2.17852,2.17839,0.0155304,1310,1,6.20298,5.09847,5.09847,12,0.00592906,0.642245,0.351826,1,1,1763,1801,0.00281217,2,1801, 1.33851 : 0, 1.33851 : 0, unconverged, unconverged, 
adder_dcop_16.mtx,12,0.000691382,0.00069138,0.000143764,11246,1813,4.27603,4.27602,0.00799921,2.00545,2.00453,2.00454,0.00834037,1310,1,6.20298,4.9083,4.9083,12,0.00825834,0.639915,0.351826,1,1,1763,1801,0.00270728,2,1801, 1.28293 : 0, 1.28293 : 0, unconverged, unconverged, 
adder_dcop_17.mtx,12,0.000673569,0.000673568,0.000126085,11246,1813,4.27214,4.27213,0.00748583,1.93926,1.94389,1.94155,0.00633926,1310,1,6.20298,4.84207,4.84207,12,0.00910535,0.639068,0.351826,1,1,1763,1801,0.00267075,2,1801, 1.26244 : 0, 1.26244 : 0, unconverged, unconverged, 
adder_dcop_18.mtx,12,0.000668132,0.000668129,0.000120707,11246,1813,4.27098,4.27097,0.00765648,1.91656,1.91783,1.91719,0.00470565,1310,1,6.20298,4.84269,4.84269,12,0.00783483,0.640339,0.351826,1,1,1763,1801,0.00267109,2,1801, 1.25593 : 0, 1.25593 : 0, unconverged, unconverged, 
adder_dcop_19.mtx,12,0.000665125,0.000665124,0.000117543,11245,1813,4.27024,4.27024,0.00370514,1.90458,1.91187,1.90822,0.00491182,1310,1,6.20243,4.76251,4.76251,12,0.00762389,0.640618,0.351758,1,1,1763,1801,0.00262687,2,1801, 1.25227 : 0, 1.25227 : 0, unconverged, unconverged, 
adder_dcop_20.mtx,12,0.000648598,0.000648599,0.000101277,11246,1813,4.26659,4.26658,0.0076862,1.83705,1.83717,1.83711,0.00415552,1310,1,6.20298,4.7029,4.7029,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00259399,2,1801, 1.23156 : 0, 1.23156 : 0, unconverged, unconverged, 
adder_dcop_21.mtx,12,0.000612081,0.000612081,6.53E-05,11246,1813,4.25874,4.25873,0.0074152,1.66405,1.66494,1.66383,0.00476817,1310,1,6.20298,4.61478,4.61478,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00254538,2,1801, 1.17947 : 0, 1.17947 : 0, unconverged, unconverged, 
adder_dcop_22.mtx,12,0.000612227,0.000612229,6.56E-05,11246,1813,4.25882,4.25882,0.00436209,1.6649,1.66317,1.66333,0.00471485,1310,1,6.20298,4.65427,4.65427,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00256716,2,1801, 1.1797 : 0, 1.1797 : 0, unconverged, unconverged, 
adder_dcop_23.mtx,12,0.000612379,0.000612379,6.58E-05,11246,1813,4.25884,4.25884,0.00240959,1.66452,1.66394,1.66388,0.00248067,1310,1,6.20298,4.65188,4.65188,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00256585,2,1801, 1.17994 : 0, 1.17994 : 0, unconverged, unconverged, 
adder_dcop_24.mtx,12,0.000612329,0.000612329,6.56E-05,11246,1813,4.25884,4.25883,0.00854412,1.66357,1.66355,1.66356,0.0432981,1310,1,6.20298,4.69294,4.69294,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.0025885,2,1801, 1.17986 : 0, 1.17986 : 0, unconverged, unconverged, 
adder_dcop_25.mtx,12,0.000612392,0.000612392,6.56E-05,11246,1813,4.25889,4.25888,0.00710515,1.66388,1.66392,1.6639,0.0312507,1310,1,6.20298,4.75408,4.75408,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00262222,2,1801, 1.17996 : 0, 1.17996 : 0, unconverged, -1 : 0, 
adder_dcop_26.mtx,12,0.000612362,0.000612362,6.57E-05,11246,1813,4.25883,4.25883,0.0046746,1.66372,1.66403,1.66387,0.0199646,1310,1,6.20298,4.68674,4.68674,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00258508,2,1801, 1.17992 : 0, 1.17992 : 0, unconverged, -1 : 0, 
adder_dcop_27.mtx,12,0.000612335,0.000612336,6.57E-05,11246,1813,4.25881,4.25881,0.00270489,1.6636,1.66361,1.6636,0.0105104,1310,1,6.20298,4.65206,4.65206,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00256595,2,1801, 1.17987 : 0, 1.17987 : 0, unconverged, -1 : 0, 
adder_dcop_28.mtx,12,0.000612378,0.000612378,6.58E-05,11246,1813,4.25881,4.25881,0.0014686,1.6638,1.66382,1.66381,0.00472715,1310,1,6.20298,4.63952,4.63952,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00255903,2,1801, 1.17994 : 0, 1.17994 : 0, unconverged, -1 : 0, 
adder_dcop_29.mtx,12,0.000612313,0.000612314,6.57E-05,11246,1813,4.25879,4.25879,0.00174014,1.6635,1.66345,1.66347,0.00193444,1310,1,6.20298,4.63093,4.63093,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00255429,2,1801, 1.17984 : 0, 1.17984 : 0, unconverged, unconverged, 
adder_dcop_30.mtx,12,0.000612379,0.000612379,6.58E-05,11246,1813,4.25881,4.25881,0.00110858,1.66381,1.66384,1.66382,0.00129424,1310,1,6.20298,4.63024,4.63024,12,0.00804659,0.640127,0.351826,1,1,1763,1801,0.00255391,2,1801, 1.17994 : 0, 1.17994 : 0, unconverged, unconverged, 
adder_dcop_31.mtx,12,0.000612337,0.000612337,6.57E-05,11246,1813,4.25879,4.25879,0.00111941,1.66361,1.66358,1.6636,0.00136032,1310,1,6.20298,4.62522,4.62522,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00255114,2,1801, 1.17988 : 0, 1.17988 : 0, unconverged, -1 : 0, 
adder_dcop_32.mtx,12,0.000612443,0.000612443,6.59E-05,11246,1813,4.25886,4.25886,0.00280008,1.66416,1.6642,1.66418,0.00360691,1310,1,6.20298,4.64999,4.64999,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.0025648,2,1801, 1.18004 : 0, 1.18004 : 0, unconverged, -1 : 0, 
adder_dcop_33.mtx,12,0.000612452,0.000612452,6.58E-05,11246,1813,4.25884,4.25884,0.00169405,1.66421,1.66423,1.66422,0.00222685,1310,1,6.20298,4.64162,4.64162,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00256019,2,1801, 1.18006 : 0, 1.18006 : 0, unconverged, -1 : 0, 
adder_dcop_34.mtx,12,0.00061236,0.00061236,6.59E-05,11246,1813,4.25887,4.25886,0.00819527,1.66371,1.66371,1.66371,0.00925436,1310,1,6.20298,4.65924,4.65924,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.0025699,2,1801, 1.17991 : 0, 1.17991 : 0, unconverged, -1 : 0, 
adder_dcop_35.mtx,12,0.000612171,0.000612173,6.56E-05,11246,1813,4.25883,4.25883,0.00430676,1.66481,1.66268,1.66336,0.00396085,1310,1,6.20298,4.66995,4.66995,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00257581,2,1801, 1.17961 : 0, 1.17961 : 0, unconverged, unconverged, 
adder_dcop_36.mtx,12,0.000622185,0.000622142,7.54E-05,11246,1813,4.26105,4.26104,0.00317912,1.71372,1.71372,1.71371,0.00242597,1310,1,6.20298,4.69167,4.69167,12,0.00783483,0.640339,0.351826,1,1,1763,1801,0.0025878,2,1801, 1.19479 : 0, 1.19479 : 0, unconverged, unconverged, 
adder_dcop_37.mtx,12,0.000613912,0.000613908,6.72E-05,11246,1813,4.25914,4.25914,0.00324313,1.67224,1.67266,1.67245,0.00344833,1310,1,6.20298,4.64611,4.64611,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00256266,2,1801, 1.18236 : 0, 1.18236 : 0, unconverged, -1 : 0, 
adder_dcop_38.mtx,12,0.000612425,0.000612425,6.58E-05,11246,1813,4.25881,4.25881,0.00196641,1.6641,1.66437,1.66424,0.00245302,1310,1,6.20298,4.63081,4.63081,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00255423,2,1801, 1.18002 : 0, 1.18002 : 0, unconverged, -1 : 0, 
adder_dcop_39.mtx,12,0.000612343,0.000612343,6.57E-05,11246,1813,4.25878,4.25878,0.00140544,1.66367,1.6637,1.66368,0.00195263,1310,1,6.20298,4.62417,4.62417,12,0.00783483,0.640339,0.351826,1,1,1763,1801,0.00255057,2,1801, 1.17989 : 0, 1.17989 : 0, unconverged, unconverged, 
adder_dcop_40.mtx,12,0.000612846,0.000612846,6.62E-05,11246,1813,4.2589,4.2589,0.00100522,1.66636,1.66643,1.6664,0.00128213,1310,1,6.20298,4.62847,4.62847,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00255293,2,1801, 1.18068 : 0, 1.18068 : 0, unconverged, unconverged, 
adder_dcop_41.mtx,12,0.000612369,0.000612369,6.57E-05,11246,1813,4.25879,4.25879,0.00221596,1.66377,1.66383,1.6638,0.00224056,1310,1,6.20298,4.6246,4.6246,12,0.00783483,0.640339,0.351826,1,1,1763,1801,0.0025508,2,1801, 1.17993 : 0, 1.17993 : 0, unconverged, unconverged, 
adder_dcop_42.mtx,12,0.000612306,0.000612306,6.57E-05,11246,1813,4.25877,4.25877,0.00161242,1.66347,1.66341,1.66343,0.00201415,1310,1,6.20298,4.6211,4.6211,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00254887,2,1801, 1.17983 : 0, 1.17983 : 0, unconverged, unconverged, 
adder_dcop_43.mtx,12,0.00061238,0.000612381,6.57E-05,11246,1813,4.2588,4.2588,0.00107656,1.66382,1.66385,1.66383,0.00134786,1310,1,6.20298,4.62414,4.62414,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00255055,2,1801, 1.17995 : 0, 1.17995 : 0, unconverged, unconverged, 
adder_dcop_44.mtx,12,0.000612325,0.000612325,6.57E-05,11245,1813,4.25878,4.25878,0.00114635,1.66355,1.66352,1.66353,0.0013824,1310,1,6.20243,4.62054,4.62054,12,0.00762389,0.640618,0.351758,1,1,1763,1801,0.00254856,2,1801, 1.17986 : 0, 1.17986 : 0, unconverged, unconverged, 
adder_dcop_45.mtx,12,0.000612386,0.000612386,6.57E-05,11246,1813,4.2588,4.2588,0.000934326,1.66385,1.66388,1.66386,0.00117496,1310,1,6.20298,4.62468,4.62468,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00255085,2,1801, 1.17995 : 0, 1.17995 : 0, unconverged, unconverged, 
adder_dcop_46.mtx,12,0.000612354,0.000612354,6.57E-05,11246,1813,4.25879,4.25878,0.00104229,1.66368,1.66367,1.66368,0.00132231,1310,1,6.20298,4.62147,4.62147,12,0.00783483,0.640339,0.351826,1,1,1763,1801,0.00254907,2,1801, 1.1799 : 0, 1.1799 : 0, unconverged, unconverged, 
adder_dcop_47.mtx,12,0.000612325,0.000612325,6.57E-05,11246,1813,4.25877,4.25877,0.00113208,1.66362,1.66351,1.66355,0.00126499,1310,1,6.20298,4.61546,4.61546,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00254576,2,1801, 1.17986 : 0, 1.17986 : 0, unconverged, unconverged, 
adder_dcop_48.mtx,12,0.000612305,0.000612305,6.56E-05,11246,1813,4.25875,4.25875,0.00195911,1.66354,1.66383,1.66368,0.00231694,1310,1,6.20298,4.6003,4.6003,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.0025374,2,1801, 1.17983 : 0, 1.17983 : 0, unconverged, unconverged, 
adder_dcop_49.mtx,12,0.000612346,0.000612346,6.57E-05,11246,1813,4.25876,4.25876,0.0029131,1.66362,1.66362,1.66362,0.00253036,1310,1,6.20298,4.60205,4.60205,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00253836,2,1801, 1.17989 : 0, 1.17989 : 0, unconverged, unconverged, 
adder_dcop_50.mtx,12,0.000612283,0.000612283,6.56E-05,11246,1813,4.25874,4.25874,0.00226861,1.66328,1.66393,1.6636,0.00228524,1310,1,6.20298,4.59563,4.59563,12,0.00783483,0.640339,0.351826,1,1,1763,1801,0.00253482,2,1801, 1.17979 : 0, 1.17979 : 0, unconverged, unconverged, 
adder_dcop_51.mtx,12,0.000611494,0.000611494,6.48E-05,11246,1813,4.25856,4.25856,0.00240494,1.65911,1.65911,1.65911,0.00144729,1310,1,6.20298,4.59066,4.59066,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00253208,2,1801, 1.17855 : 0, 1.17855 : 0, unconverged, unconverged, 
adder_dcop_52.mtx,12,0.00060882,0.00060882,6.22E-05,11246,1813,4.25797,4.25797,0.00180419,1.6445,1.64465,1.64457,0.0012394,1310,1,6.20298,4.57741,4.57741,12,0.00762308,0.640551,0.351826,1,1,1763,1801,0.00252477,2,1801, 1.17426 : 0, 1.17426 : 0, unconverged, unconverged, 
adder_dcop_53.mtx,12,0.000608843,0.000608843,6.22E-05,11246,1813,4.25798,4.25798,0.000418761,1.64456,1.64456,1.64456,0.000260356,1310,1,6.20298,4.58151,4.58151,12,0.00741133,0.640762,0.351826,1,1,1763,1801,0.00252703,2,1801, 1.1743 : 0, 1.1743 : 0, unconverged, unconverged, 
