% Generated on 2015-06-09 12:13:09,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod -s -b 5"
@RELATION petsc_data
@ATTRIBUTE lambda-max-by-magnitude-im NUMERIC
@ATTRIBUTE right-bandwidth NUMERIC
@ATTRIBUTE n-nonzero-diags NUMERIC
@ATTRIBUTE n-dummy-rows NUMERIC
@ATTRIBUTE blocksize NUMERIC
@ATTRIBUTE max-nnzeros-per-row NUMERIC
@ATTRIBUTE diag-definite NUMERIC
@ATTRIBUTE avgnnzprow NUMERIC
@ATTRIBUTE lambda-max-by-magnitude-re NUMERIC
@ATTRIBUTE ellipse-cy NUMERIC
@ATTRIBUTE nnzup NUMERIC
@ATTRIBUTE ruhe75-bound NUMERIC
@ATTRIBUTE avg-diag-dist NUMERIC
@ATTRIBUTE nnz NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-re NUMERIC
@ATTRIBUTE lambda-max-by-im-part-im NUMERIC
@ATTRIBUTE left-bandwidth NUMERIC
@ATTRIBUTE norm1 NUMERIC
@ATTRIBUTE sigma-min NUMERIC
@ATTRIBUTE upband NUMERIC
@ATTRIBUTE nnzeros NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-im NUMERIC
@ATTRIBUTE diagonal-average NUMERIC
@ATTRIBUTE diagonal-dominance NUMERIC
@ATTRIBUTE dummy-rows NUMERIC
@ATTRIBUTE ritz-values-r NUMERIC
@ATTRIBUTE nnzlow NUMERIC
@ATTRIBUTE colours NUMERIC
@ATTRIBUTE lambda-max-by-im-part-re NUMERIC
@ATTRIBUTE col-variability NUMERIC
@ATTRIBUTE trace-abs NUMERIC
@ATTRIBUTE ritz-values-c NUMERIC
@ATTRIBUTE diag-zerostart NUMERIC
@ATTRIBUTE loband NUMERIC
@ATTRIBUTE positive-fraction NUMERIC
@ATTRIBUTE trace NUMERIC
@ATTRIBUTE min-nnzeros-per-row NUMERIC
@ATTRIBUTE diagonal-sign NUMERIC
@ATTRIBUTE row-variability NUMERIC
@ATTRIBUTE nrows NUMERIC
@ATTRIBUTE colour-offsets NUMERIC
@ATTRIBUTE n-colours NUMERIC
@ATTRIBUTE diagonal-variance NUMERIC
@ATTRIBUTE departure NUMERIC
@ATTRIBUTE dummy-rows-kind NUMERIC
@ATTRIBUTE kappa NUMERIC
@ATTRIBUTE sigma-max NUMERIC
@ATTRIBUTE colour-set-sizes NUMERIC
@ATTRIBUTE sigma-diag-dist NUMERIC
@ATTRIBUTE n-ritz-values NUMERIC
@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@ATTRIBUTE class {good,bad}
@DATA
?,4535,7952,?,2358,13,?,4,4.607859e-19,?,9622,2863795.0,2407.734,24809,4.607859e-19,?,5307,2276611.0,937583.4,4535,24809,?,0.03507346,-4487511.0,?,?,9879,?,4.607859e-19,28.93907,186.1699,?,2386,5307,0.4833333,186.1699,2,1,26.49207,5308,?,6,2.541382,8690481.0,?,194.9634,2963795.0,?,14946190.0,240,671.2212,100000.0,-46.87728,8691634.0,4487511.0,?,490.6939,5308,4,89565283,bad
?,4535,7952,?,2358,13,?,4,4.607859e-19,?,9622,2863795.0,2407.734,24809,4.607859e-19,?,5307,2276611.0,937583.4,4535,24809,?,0.03507346,-4487511.0,?,?,9879,?,4.607859e-19,28.93907,186.1699,?,2386,5307,0.4833333,186.1699,2,1,26.49207,5308,?,6,2.541382,8690481.0,?,194.9634,2963795.0,?,14946190.0,240,671.2212,100000.0,-46.87728,8691634.0,4487511.0,?,490.6939,5308,4,68908713,good
?,5307,8309,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,28848,?,1.962205e-05,-76988.58,?,?,13776,?,33.39287,29.3272,0.1041538,?,2797,4535,0.4958333,0.06974074,2,?,27.41537,5308,?,6,0.001216398,204285.1,?,1.571096,50850.97,?,12696190.0,240,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,5,89565283,bad
?,5307,8309,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,28848,?,1.962205e-05,-76988.58,?,?,13776,?,33.39287,29.3272,0.1041538,?,2797,4535,0.4958333,0.06974074,2,?,27.41537,5308,?,6,0.001216398,204285.1,?,1.571096,50850.97,?,12696190.0,240,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,5,30870720,good
?,5307,8309,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,28848,?,1.962205e-05,-76988.58,?,?,13776,?,33.39287,29.3272,0.1041538,?,2797,4535,0.4958333,0.06974074,2,?,27.41537,5308,?,6,0.001216398,204285.1,?,1.571096,50850.97,?,12696190.0,240,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,5,91068410,bad
?,4535,7949,?,2358,13,?,4,3.252607e-19,?,9616,2855328.0,2407.284,24790,3.252607e-19,?,5307,2270087.0,936210.4,4535,24790,?,0.03505887,-4474379.0,?,?,9866,?,3.252607e-19,28.94268,186.0925,?,2386,5307,0.4958333,186.0925,2,1,26.7714,5308,?,6,2.540319,8657358.0,?,203.6607,2955328.0,?,14934340.0,240,673.8211,100000.0,-51.98303,8658516.0,4474379.0,?,488.377,5308,4,89565283,bad
?,4535,7949,?,2358,13,?,4,3.252607e-19,?,9616,2855328.0,2407.284,24790,3.252607e-19,?,5307,2270087.0,936210.4,4535,24790,?,0.03505887,-4474379.0,?,?,9866,?,3.252607e-19,28.94268,186.0925,?,2386,5307,0.4958333,186.0925,2,1,26.7714,5308,?,6,2.540319,8657358.0,?,203.6607,2955328.0,?,14934340.0,240,673.8211,100000.0,-51.98303,8658516.0,4474379.0,?,488.377,5308,4,47942866,good
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,89565283,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,26415433,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,36564232,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,38678401,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,44114476,bad
?,5789,1752,?,4,60,?,7,1.0,?,14185,11223000.0,2314.406,45465,4.072221e-07,?,5837,26524340.0,11223100.0,5789,45465,?,41691.86,-37533560.0,?,?,25430,?,1.0,24.13064,243897400.0,?,5850,5837,0.09090909,-243890600.0,2,?,19.29646,5850,?,13,400518.0,67964580.0,?,75008.05,18445420.0,?,16429140.0,44,3828716.0,100.3602,-3828656.0,74617540.0,37533560.0,?,10.77404,5850,7,89565283,good
?,?,3152,1357,1,5,1,3,6.850103e-05,?,?,0.0001789352,1953.308,20209,6.376835e-06,?,5147,0.000298285,0.0001798093,?,20209,?,3.38279e-05,-4.065758e-20,?,?,15032,?,5.597036e-05,6.660474,0.175127,?,5177,5147,1.0,0.175127,1,2,6.660474,5177,?,4,2.879528e-05,0.0008908963,1,170.6343,0.0001950849,?,16876020.0,18,7.413828e-05,1.024167e-06,7.501237e-05,0.003318204,0.0002237138,?,0.0001491425,5177,3,89565283,good
?,864,1601,?,224,36,?,4,2.871694,?,2118,0.4336325,460.3435,5976,0.1818182,?,864,5.727397,1.235709,864,5976,?,0.2580164,-1.0,?,?,2638,?,2.871661,77.1378,314.78,?,1154,864,0.902439,314.78,2,1,77.1378,1220,?,5,0.2622148,0.002236145,?,3.580325,2.871694,?,475474.4,41,1.935847,?,0.935847,18.82156,5.727387,?,2.871694,1220,4,89565283,good
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.4420763,460.3435,5976,0.1818182,?,864,5.727394,0.9999736,864,5976,?,0.2578104,-1.0,?,?,2638,?,2.87165,100.9417,314.5286,?,1154,864,0.6,314.5286,2,1,100.9417,1220,?,5,0.2616712,0.0009880488,?,5.147276,2.871652,?,475474.4,20,1.935826,?,0.9358259,18.80821,5.727273,?,2.871652,1220,4,89565283,good
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.5330755,460.3435,5976,0.1818182,?,864,5.727811,1.090976,864,5976,?,0.2578108,-1.0,?,?,2638,?,2.87165,77.12051,314.5292,?,1154,864,0.6,314.5292,2,1,77.12051,1220,?,5,0.2616699,0.0007252809,?,5.147601,2.87185,?,475474.4,20,1.935925,?,0.9359251,18.80819,5.727749,?,2.87185,1220,4,89565283,good
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.5330757,460.3435,5976,0.1818182,?,864,5.735498,1.090977,864,5976,?,0.2578168,-1.0,?,?,2638,?,2.87165,168.7222,314.5365,?,1154,864,0.6,314.5365,2,1,168.7222,1220,?,5,0.2616946,0.0007170933,?,5.153464,2.875123,?,475474.4,20,1.937561,?,0.9375613,18.80871,5.735455,?,2.875123,1220,4,89565283,good
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.6282798,460.3435,5976,0.1818182,?,864,5.730141,1.090979,864,5976,?,0.2578122,-1.0,?,?,2638,?,2.87165,77.12127,314.5309,?,1154,864,0.6415094,314.5309,2,1,77.12127,1220,?,5,0.2616777,0.0001780606,?,6.208929,2.872865,?,475474.4,53,1.936432,?,0.9364324,18.80835,5.730136,?,2.872865,1220,4,36564232,good
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,89565283,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,49598909,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,59072882,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,68908713,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,36564232,good
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,89565283,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,30870720,good
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,47942865,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,47942866,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,68908713,bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49223.42,66.22222,87025,126.8214,?,100,91833.2,49223.73,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192458.7,60449.83,?,10920.05,31,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,89565283,bad
?,14689,4124,?,4,149,?,10,2.0,?,63269,77514.71,6721.188,157990,0.5,?,14721,80570.55,2391.38,14689,157990,?,2.484544,-81481.08,?,?,79961,?,1.0,17.32272,36671.88,?,14760,14721,0.96,27251.94,2,?,17.9674,14760,?,18,3.134378,72073.54,?,51.77646,79999.95,?,117992900.0,50,39.03787,2485.201,-8.96193,129710.2,81498.66,?,32.0,14760,10,89565283,good
?,100,9,?,99,9,1,8,86062.62,?,38612,1263.576,66.22222,87025,79.80454,?,100,132173.3,69779.53,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.256096,86116.34,?,10920.05,26,8773.33,?,77289.29,520020.5,132392.0,?,86062.62,9801,8,89565283,bad
?,6527,2929,?,57,68,?,5,-1.068887,?,8207,1136620.0,1711.529,38692,-5.018548e-06,?,6528,949602.7,1136623.0,6527,38692,?,2026.361,-2563731.0,?,?,23711,?,1.0,10.7586,13726570.0,?,6774,6528,0.5528455,9749812.0,2,?,10.7586,6774,?,10,32283.26,6886530.0,?,237587.1,1265421.0,?,7278564.0,123,360839.4,5.51209,258796.5,7383228.0,2563734.0,?,619635.9,6774,5,89565283,good
