% Generated on 2015-12-03 17:28:05,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../petsc/anamod-features -p ../petsc/timing/aciss -n petsc_anamod_aciss -b 10"
@RELATION petsc_data
@ATTRIBUTE lambda-max-by-magnitude-im NUMERIC
@ATTRIBUTE right-bandwidth NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE symmetry NUMERIC
@ATTRIBUTE n-dummy-rows NUMERIC
@ATTRIBUTE blocksize NUMERIC
@ATTRIBUTE max-nnzeros-per-row NUMERIC
@ATTRIBUTE diag-definite NUMERIC
@ATTRIBUTE avgnnzprow NUMERIC
@ATTRIBUTE lambda-max-by-magnitude-re NUMERIC
@ATTRIBUTE ellipse-cy NUMERIC
@ATTRIBUTE nnzup NUMERIC
@ATTRIBUTE ruhe75-bound NUMERIC
@ATTRIBUTE avg-diag-dist NUMERIC
@ATTRIBUTE nnz NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-re NUMERIC
@ATTRIBUTE lambda-max-by-im-part-im NUMERIC
@ATTRIBUTE left-bandwidth NUMERIC
@ATTRIBUTE norm1 NUMERIC
@ATTRIBUTE sigma-min NUMERIC
@ATTRIBUTE upband NUMERIC
@ATTRIBUTE n-struct-unsymm NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-im NUMERIC
@ATTRIBUTE diagonal-average NUMERIC
@ATTRIBUTE diagonal-dominance NUMERIC
@ATTRIBUTE dummy-rows NUMERIC
@ATTRIBUTE ritz-values-r NUMERIC
@ATTRIBUTE symmetry-snorm NUMERIC
@ATTRIBUTE symmetry-fanorm NUMERIC
@ATTRIBUTE symmetry-fsnorm NUMERIC
@ATTRIBUTE colours NUMERIC
@ATTRIBUTE lambda-max-by-im-part-re NUMERIC
@ATTRIBUTE col-variability NUMERIC
@ATTRIBUTE trace-abs NUMERIC
@ATTRIBUTE ritz-values-c NUMERIC
@ATTRIBUTE nnzeros NUMERIC
@ATTRIBUTE diag-zerostart NUMERIC
@ATTRIBUTE loband NUMERIC
@ATTRIBUTE positive-fraction NUMERIC
@ATTRIBUTE trace NUMERIC
@ATTRIBUTE min-nnzeros-per-row NUMERIC
@ATTRIBUTE diagonal-sign NUMERIC
@ATTRIBUTE row-variability NUMERIC
@ATTRIBUTE nrows NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE colour-offsets NUMERIC
@ATTRIBUTE n-colours NUMERIC
@ATTRIBUTE relsymm NUMERIC
@ATTRIBUTE diagonal-variance NUMERIC
@ATTRIBUTE departure NUMERIC
@ATTRIBUTE nnzlow NUMERIC
@ATTRIBUTE n-nonzero-diags NUMERIC
@ATTRIBUTE sigma-max NUMERIC
@ATTRIBUTE dummy-rows-kind NUMERIC
@ATTRIBUTE kappa NUMERIC
@ATTRIBUTE n-ritz-values NUMERIC
@ATTRIBUTE colour-set-sizes NUMERIC
@ATTRIBUTE sigma-diag-dist NUMERIC
@ATTRIBUTE symmetry-anorm NUMERIC
@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lee95-bound NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE trace-asquared NUMERIC
@ATTRIBUTE solver {"89565283","8793455","90197667","49598909","91036839","45869639","45869638","45869637","47942867","89269802","89269803","89269801","89269804","59072883","59072882","59072881","7285381","7285384","59072884","49598911","49598910","49598912","30870721","36025723","36025722","53302993","30870720","64278029","36025724","44526267","8793454","8793456","8793453","17734818","32168839","32168838","57331597","95762352","57331599","57331598","32168837","88865078","88865079","49834417","49834419","49834418","88865076","88865077","11256942","11256943","11256941","42851841","11256944","31459546","17887723","91845162","53362206","95762355","12321508","75830644","57331600","43373444","95762353","43373441","43373442","43373443","91068411","91068410","5890861","85483012","5890863","5890862","18868444","18868441","18868443","18868442","91068408","47942864","47942865","47942866","91068409","8520536","5890860","82456576","29030069","95762354","90783920","99720138","29030071","29030070","29030072","85490469","30870723","30870722","26415435","26415434","26415433","26415432","13323659","45869640","36564233","68908713","7285382","36564232","7285383","75830645","36564234","81986705","29553941","29553943","29553942","69654761","29553944","69654763","69654762","32874609","32168840","90197664","90197665","90197666","69654760","37052870","37052871","19932321","19932323","19932322","19932324","80361466","80361467","80361464","80361465","49834420","1216556","38678404","38678401","38678402","38678403","32874611","32874610","32874612","44114477","44114476","44114479","44114478","36564235","36025721","75830647","75830646","85490471","85490470","85490472","18524981","37052869","37052868"}
@ATTRIBUTE class {good,bad}
@DATA
?,100,8,?,?,99,9,1,8,427.1599,?,38612,345.8087,66.22222,87025,3.75581,?,100,675.1248,345.8122,100,?,?,9.741228,-2.830544,?,?,?,?,?,?,427.1599,1.192953,95473.78,?,87025,9801,100,1.0,95473.78,4,2,1.356471,9801,?,?,8,?,22.17429,81.15664,38612,9,427.303,?,122483.7,31,?,10920.05,?,213.5782,?,213.5817,2529.861,676.6892,?,427.1599,9801,?,"29030070",good
?,4535,4,?,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,19435,?,0.03505887,-4474379.0,?,?,2237191.0,6123304.0,6121670.0,?,6.505213e-19,28.94268,186.0925,?,24809,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,?,6,0.2166149,2.540319,8657347.0,9879,7953,2955328.0,?,173.7511,240,?,14946320.0,2237191.0,602.1086,100000.0,19.07438,8658504.0,4474379.0,8657349.0,488.377,5308,-20000880000.0,"29030070",good
?,100,8,?,?,99,9,1,8,168.1744,?,38612,149.1336,66.22222,87025,4.818934,?,100,252.8372,149.141,100,?,?,16.40641,-0.02938731,?,?,252.8516,15.85492,2506.209,?,168.1744,0.9227812,160799.2,?,87025,9801,100,1.0,160799.2,4,2,0.9604615,9801,?,?,8,1.0,17.39499,22.42224,38612,9,168.1939,?,22468.97,18,?,10920.05,2.68675,84.08345,?,84.09093,2506.259,252.866,22.42224,168.1744,9801,6280832.0,"29030070",good
?,31200,4,?,4990,216,2645,?,4,126.1519,?,52861,84.69943,13399.17,137101,?,?,31200,2687.0,84.69948,31200,?,?,?,-7929.0,?,?,5308.0,313.0303,654.5105,?,126.1519,0.60206,?,?,137101,?,31200,0.559322,?,1,10,0.60206,31379,?,?,20,1.0,?,442.6487,52861,46177,182.3451,1,2665851.0,59,?,428001100.0,2621.0,111.972,?,14.17989,725.515,7929.0,442.6918,126.1519,31379,330396.0,"37052868",good
?,100,8,?,?,99,9,1,8,167.7161,?,38612,148.8563,66.22222,87025,4.818936,?,100,252.0465,148.8638,100,?,?,16.40549,-0.0001547256,?,?,252.0465,15.81969,2505.744,?,167.7161,0.9227812,160790.2,?,87025,9801,100,1.0,160790.2,4,2,0.9604615,9801,?,?,8,1.0,17.38965,22.37242,38612,9,167.7356,?,22407.62,18,?,10920.05,2.685537,83.8543,?,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503.0,"29030070",good
?,100,8,?,?,99,9,1,8,167.7161,?,38612,148.8563,66.22222,87025,4.818936,?,100,252.0465,148.8638,100,?,?,16.40549,-0.0001547256,?,?,252.0465,15.81969,2505.744,?,167.7161,0.9227812,160790.2,?,87025,9801,100,1.0,160790.2,4,2,0.9604615,9801,?,?,8,1.0,17.38965,22.37242,38612,9,167.7356,?,22407.62,18,?,10920.05,2.685537,83.8543,?,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503.0,"37052868",bad
?,100,8,?,?,99,9,1,8,427.1599,?,38612,345.8087,66.22222,87025,3.779368,?,100,675.1248,345.8122,100,?,?,9.741228,-2.830544,?,?,?,?,?,?,427.1599,1.192953,95473.78,?,87025,9801,100,1.0,95473.78,4,2,1.356471,9801,?,?,8,?,22.17429,81.15664,38612,9,427.303,?,122483.6,36,?,10920.05,?,213.5782,?,213.5817,2529.861,676.6892,?,427.1599,9801,?,"69654763",good
?,100,8,?,?,99,9,1,8,427.1599,?,38612,345.8087,66.22222,87025,3.779368,?,100,675.1248,345.8122,100,?,?,9.741228,-2.830544,?,?,?,?,?,?,427.1599,1.192953,95473.78,?,87025,9801,100,1.0,95473.78,4,2,1.356471,9801,?,?,8,?,22.17429,81.15664,38612,9,427.303,?,122483.6,36,?,10920.05,?,213.5782,?,213.5817,2529.861,676.6892,?,427.1599,9801,?,"37052868",bad
?,202,3,?,4,21,13,?,3,1000.0,?,581,23638.81,102.0418,1608,-5.15763e-13,?,329,2004013.0,23638.89,202,?,?,30361.99,-30291.55,?,?,?,?,?,?,1.0,36.09691,13055660.0,?,1608,430,329,0.9393939,13055660.0,1,1,36.09691,430,?,?,4,?,138532.3,36698.58,597,311,2001004.0,?,23837200.0,66,?,25586.49,?,1000533.0,5.770844,1000471.0,4138865.0,2004013.0,?,2001004.0,430,?,"29030070",good
?,202,3,?,4,21,13,?,3,1000.0,?,581,23638.81,102.0418,1608,-5.15763e-13,?,329,2004013.0,23638.89,202,?,?,30361.99,-30291.55,?,?,?,?,?,?,1.0,36.09691,13055660.0,?,1608,430,329,0.9393939,13055660.0,1,1,36.09691,430,?,?,4,?,138532.3,36698.58,597,311,2001004.0,?,23837200.0,66,?,25586.49,?,1000533.0,5.770844,1000471.0,4138865.0,2004013.0,?,2001004.0,430,?,"69654763",bad
?,202,3,?,4,21,13,?,3,1000.0,?,581,23638.46,102.0418,1608,7.399308e-14,?,329,2004013.0,23638.89,202,?,?,30361.99,-30291.55,?,?,?,?,?,?,1.0,36.09691,13055660.0,?,1608,430,329,0.9555556,13055660.0,1,1,36.09691,430,?,?,4,?,138532.3,36698.58,597,311,2001004.0,?,4653633.0,90,?,25586.49,?,1000533.0,0.3978679,1000472.0,4138865.0,2004013.0,?,2001004.0,430,?,"29030070",good
?,4535,4,?,?,2358,13,?,4,2.100642e-19,?,9622,2930776.0,2407.734,24809,2.100642e-19,?,5307,2328216.0,941200.2,4535,?,?,0.03457981,-4591224.0,?,?,?,?,?,?,2.100642e-19,29.24287,183.5497,?,24809,2386,5307,0.4916667,183.5497,2,1,26.82188,5308,?,?,6,?,2.505421,8598941.0,9879,7952,3030776.0,?,253.8258,240,?,14946190.0,?,679.3813,100000.0,-57.5071,8600106.0,4591224.0,?,489.9366,5308,?,"37052868",good
?,?,5,?,4114,1,964,?,5,0.005318667,?,?,143.7012,4550.602,34714,-1e-08,?,6389,18710.87,3129.443,?,?,?,123.9048,-1583.0,?,?,?,?,?,?,650.7347,8.0,809965.6,?,34714,6537,6389,1.0,809965.6,1,?,9.653214,6537,?,?,2,?,421.2321,542.8099,28177,3393,18643.5,1,6.244176,38,?,83990000.0,?,7828.879,?,10814.62,35504.31,18643.5,?,18643.5,6537,?,"29030070",good
?,?,5,?,4028,1,862,?,5,0.1112925,?,?,29.84791,4787.93,35472,-1e-08,?,6595,1731.871,29.8494,?,28861,?,0.6762716,-1401.0,?,?,1731.371,209.5626,1759.415,?,0.1118625,15.20953,4470.832,?,35472,6611,6595,1.0,4470.832,1,?,14.79507,6611,?,?,2,0.1863724,21.47419,296.3663,28861,3555,1730.871,1,1162763.0,62,?,92854600.0,700.5,865.4348,?,865.4363,1771.852,1730.871,296.3663,1730.871,6611,3051626.0,"29030070",good
?,202,3,?,4,21,13,?,3,1000.0,?,581,23638.73,102.0418,1608,0.0002002002,?,329,2004013.0,23638.89,202,?,?,30361.99,-30291.55,?,?,?,?,?,?,1.0,36.09691,13055660.0,?,1608,430,329,0.9518072,13055660.0,1,1,36.09691,430,?,?,4,?,138532.3,36698.58,597,311,2001004.0,?,12225160.0,83,?,25586.49,?,1000533.0,1.172983,1000471.0,4138865.0,2004013.0,?,2001004.0,430,?,"29030070",good
?,202,3,?,4,21,13,?,3,1000.0,?,581,23638.73,102.0418,1608,0.0002002002,?,329,2004013.0,23638.89,202,?,?,30361.99,-30291.55,?,?,?,?,?,?,1.0,36.09691,13055660.0,?,1608,430,329,0.9518072,13055660.0,1,1,36.09691,430,?,?,4,?,138532.3,36698.58,597,311,2001004.0,?,12225160.0,83,?,25586.49,?,1000533.0,1.172983,1000471.0,4138865.0,2004013.0,?,2001004.0,430,?,"69654763",bad
?,24762,6,?,?,18,181,?,6,-364645.6,?,66477,225460.5,8155.592,159981,-364645.6,?,24762,429329.9,241077.7,24762,?,?,1190.735,-429329.9,?,?,?,?,?,?,9120.365,9.381631,29580250.0,?,159981,24822,24762,0.05555556,-29100490.0,2,?,9.381631,24842,?,?,10,?,9019.722,28257.71,68662,22747,364645.4,?,23.349,36,?,168731800.0,?,193514.4,13774.89,-171131.2,1953648.0,429329.9,?,22383.26,24842,?,"69654763",good
?,202,3,?,4,21,13,?,3,1000.0,?,581,23638.38,102.0418,1608,0.0002002002,?,329,2004013.0,23638.89,202,?,?,30361.99,-30291.55,?,?,?,?,?,?,1.0,36.09691,13055660.0,?,1608,430,329,0.9550562,13055660.0,1,1,36.09691,430,?,?,4,?,138532.3,36698.58,597,311,2001004.0,?,3926247.0,89,?,25586.49,?,1000533.0,3.167307,1000472.0,4138865.0,2004013.0,?,2001004.0,430,?,"29030070",good
?,15047,11,?,?,4,153,?,11,2.0,?,85035,105017.9,6827.318,203316,0.5,?,14782,108614.4,4515.618,15047,178096,?,2.568981,-109266.7,?,?,54672.26,90218.69,89948.98,?,1.0,17.59421,45548.03,?,203316,17730,14782,1.0,34200.38,2,?,17.9674,17730,?,?,19,0.1240434,3.751836,117112.3,100551,4180,108309.7,?,88.41066,42,?,120399000.0,55496.21,14.99115,3291.677,15.14247,127397.9,109266.7,127206.5,32.04763,17730,-48592600.0,"37052868",good
?,?,4,?,12176,1,1532,?,4,0.2770201,?,?,3459.305,15468.15,89087,-1e-08,?,21131,153153.1,3459.305,?,?,?,14.12113,-2784.218,?,?,?,?,?,?,0.2047574,17.52817,298407.7,?,89087,21132,21131,0.9666667,298407.7,1,?,17.15871,21132,?,?,2,?,1070.495,230.0603,67955,10917,153152.1,1,1.537092e+13,60,?,968465000.0,?,76576.07,?,76576.07,155630.0,153152.1,?,153152.1,21132,?,"29030070",good
