 Name,NumRows, NumCols, MinNNZperRow, RowVariance, ColVariance, DiagVariance, Nonzeros, FrobeniusNorm, SymmetricFrobeniusNorm, AntiSymmetricFrobeniusNorm, OneNorm, InfinityNorm, SymmetricInfinityNorm, AntiSymmetricInfinityNorm, MaxNNZperRow, Trace, AbsTrace, MinNNZperRow, AvgNNZperRow, DummyRows, DummyRowsKind, NumericValueSymmetry1, NNZPatternSymmetry1, NumericValueSymmetry2, NNZPatternSymmetry2, RowDiagDominance, ColDiagDominancy, DiagAverage, DiagSign, DiagNNZ, LowerBW, UpperBW, RowLogValSpread, ColLogValSpread, Symmetric
 bayer09.petsc,3083,3083,1,4.77E+14,4.77E+14,0.000436901,11767,3.43E+09,2.42E+09,2.42E+09,1.21E+09,1.21E+09,6.07E+08,6.07E+08,27,1.17201,1.17201,1,3,0,0,0,0,0.5,7.93E-11,0,0,0.000380152,3,4,2857,3082,47.4505,47.4505,0
 b2_ss.petsc,1089,1089,1,1.84E+07,2.75E+07,0.00091743,3895,777152,549529,549529,300005,200001,150004,150004,10,1,1,1,3,0,0,0,0,0.500001,1.53E-06,0,0,0.000918274,1,1,929,1087,5.30936,6,0
 bayer07.petsc,3268,3268,1,1.13E+21,1.91E+21,0.0762728,20963,2.81E+12,1.98E+12,1.98E+12,3.67E+12,1.92E+12,1.84E+12,1.84E+12,73,-15.7807,15.7807,1,6,0,0,0,0,0.5,8.14E-11,0,0,0.00482886,-1,2,3008,2941,113.34,111.08,0
 poli3.petsc,16955,16955,1,0.0144936,0.000117959,2.91E-05,37849,170.412,151.65,77.7326,2,279.348,140.412,139.412,336,16953.5,16953.5,1,2,12090,1,0,0,0.774684,0.549368,0,0,0.999914,2,16955,16917,16871,4,4,0
 bayer10_b.petsc,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,2,1,2,1,0,0,0,0,1
 bayer10.petsc,13436,13436,1,14885.4,7444.42,6.04E-08,71594,51148.5,36167.5,36167.5,10193.7,20000,10053.6,10053.6,24,0.02472,0.04472,1,5,0,0,0,0,0.500012,2.45E-05,0,0,3.33E-06,3,3,11773,13435,69.9386,69.9386,0
 bayer04.petsc,20545,20545,1,5.56E+14,5.56E+14,0,85537,7.54E+09,5.33E+09,5.33E+09,3.38E+09,3.39E+09,1.69E+09,1.69E+09,30,0,0,1,4,0,0,0,0,0.5,2.32E-11,0,0,0,0,0,20446,20544,257.191,255.404,0
 bayer04_b.petsc,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,2,1,2,1,0,0,0,0,1
 d_dyn1.petsc,87,87,1,1.47E+07,7.14E+06,46.8009,232,48484.3,34283.6,34283.6,25210.9,53071.9,26536.4,26536.4,8,-65.6118,65.6118,1,2,0,0,0,0,0.500217,0.000433746,0,0,0.754159,-1,4,77,86,22.1075,20.6303,0
 bcircuit.petsc,68902,68902,2,28948.3,28948.3,294159,375558,153412,153412,4.43E-05,44663.3,44663.3,44663.3,2.97E-06,34,4.30E+06,4.30E+06,2,5,0,0,0,0,1,1,0,0,62.4332,2,68902,67086,67086,18.1635,18.1635,0
 add32.petsc,4960,4960,2,4.82E-07,4.82E-07,6.86E-05,19848,1.56794,1.56794,0.00261632,0.0841399,0.0837295,0.0837816,0.000391948,15,82.176,82.176,2,4,0,0,0,0,0.999618,0.999236,0,0,0.0165677,2,4960,4029,4029,37.7043,37.7043,0
 scircuit.petsc,170998,170998,1,3699.11,3699.11,102774,958936,184134,184134,4.67515,43935,43935,43935,0.52,353,1.00E+07,1.00E+07,1,5,1,1,0,0,0.999999,0.999998,0,0,58.7607,1,170914,170976,170975,16.6342,16.6342,0
 hcircuit.petsc,105676,105676,1,0.0274365,0.0274365,9.47695,513072,1245.89,1245.89,3.46507,88.1793,88.1793,88.1793,0.5,1399,48972.7,48972.7,1,4,0,0,0,0,0.999815,0.999629,0,0,0.463423,1,105628,105663,105662,24.5084,24.5084,0
 add20.petsc,2395,2395,2,0.000147032,0.000147032,0.0098923,13151,10.4148,10.4148,0.00142665,0.995896,0.995901,0.995899,0.000612766,84,335.646,335.646,2,5,0,0,0,0,0.999987,0.999974,0,0,0.140144,2,2395,2313,2313,12.0668,12.0668,0
 memplus.petsc,17758,17758,1,0.00011865,0.00011865,0.00173658,99147,7.60874,7.60873,0.00417611,2.81917,2.81917,2.81917,0.0055752,353,457.138,457.138,1,5,0,0,0,0,0.999642,0.999283,0,0,0.0257426,2,17758,17751,17751,25.8651,25.8651,0
 igbt3.petsc,10938,10938,2,8.75E+19,8.75E+19,89395.2,130500,3.57E+12,2.53E+12,2.53E+12,1.35E+12,1.35E+12,6.74E+11,6.74E+11,19,1.33E+06,1.33E+06,2,11,0,0,0,0,0.5,2.28E-08,0,0,121.758,2,10938,10905,7310,28.3416,36.1545,0
 nmos3.petsc,18588,18588,3,5.86E+20,5.86E+20,56978.5,237130,1.53E+13,1.08E+13,1.08E+13,5.28E+12,5.28E+12,2.64E+12,2.64E+12,23,2.05E+06,2.05E+06,3,12,0,0,0,0,0.5,1.33E-08,0,0,110.248,2,18588,18557,12394,29.623,38.6073,0
 Chebyshev1.petsc,261,261,3,1.57E+06,1.52E+06,3059.03,2319,28967,20495.7,20469.8,20004,24375,12541.7,11833.3,261,1624.79,1626.79,3,8,0,0,0,0,0.522291,0.0445811,0,0,6.23291,3,261,4,260,17.1898,17.1898,0
 Chebyshev3.petsc,4101,4101,3,9.92E+08,9.75E+08,1.37E+06,36879,2.89E+06,2.04E+06,2.04E+06,2.00E+06,2.35E+06,1.21E+06,1.15E+06,4101,128750,128752,3,8,0,0,0,0,0.518301,0.0366029,0,0,31.3954,3,4101,4,4100,26.8743,26.8743,0
 Chebyshev2.petsc,2053,2053,3,200131,194647,393.197,18447,28967,20495.7,20469.8,20004,24375,12541.7,11833.3,2053,1626.09,1628.09,3,8,0,0,0,0,0.522313,0.0446268,0,0,0.793028,3,2053,4,2052,24.4627,24.4627,0
 cage4.petsc,9,9,5,0.0416499,0.0466155,0.0298409,49,1.88226,1.86588,0.247806,1,1.25,1.125,0.25,6,5,5,5,5,0,0,0,0,0.925926,0.851852,0,0,0.555556,2,9,7,7,1.42581,1.42581,0
 cage9.petsc,3534,3534,3,0.000233198,0.000230596,0.0141995,41594,40.0462,39.9653,2.54359,1,1.42586,1.21293,0.326843,23,2304.67,2304.67,3,11,0,0,0,0,0.946018,0.892036,0,0,0.652141,2,3534,1719,1719,1.77799,1.77799,0
 cage3.petsc,5,5,3,0.0317465,0.055123,0.0256406,19,1.37037,1.31715,0.37819,1,2,1.5,0.5,5,2.33333,2.33333,3,3,0,0,0,0,0.874456,0.748911,0,0,0.466667,2,5,4,4,1.30087,1.30087,0
 cage8.petsc,1015,1015,5,0.000791943,0.000777473,0.0154954,11003,21.2602,21.2164,1.36359,1,1.33333,1.16667,0.25,18,653,653,5,10,0,0,0,0,0.945588,0.891177,0,0,0.64335,2,1015,420,420,1.72684,1.72684,0
 cage7.petsc,340,340,3,0.0022817,0.00224306,0.018504,3084,12.141,12.0937,1.07074,1,1.50712,1.25356,0.322615,16,213,213,3,9,0,0,0,0,0.936538,0.873077,0,0,0.626471,2,340,147,147,1.66885,1.66885,0
 cage10.petsc,11397,11397,5,7.37E-05,7.28E-05,0.0125705,150645,72.5578,72.4539,3.87991,1,1.3433,1.17165,0.25,25,7540.4,7540.4,5,13,0,0,0,0,0.95017,0.900341,0,0,0.661613,2,11397,5348,5348,1.82375,1.82375,0
 cage6.petsc,93,93,5,0.00779599,0.00761004,0.0201943,785,6.25162,6.23061,0.512187,1,1.3194,1.1597,0.25,13,57,57,5,8,0,0,0,0,0.938415,0.87683,0,0,0.612903,2,93,46,46,1.6019,1.6019,0
 cage11.petsc,39082,39082,3,2.18E-05,2.17E-05,0.0115956,559722,135.187,135.01,6.92561,1,1.46059,1.23029,0.326513,31,26088.4,26088.4,3,14,0,0,0,0,0.951205,0.902411,0,0,0.667529,2,39082,17946,17946,1.86514,1.86514,0
 cage5.petsc,37,37,3,0.017308,0.0172552,0.0255168,233,3.87068,3.83165,0.548297,1,1.67331,1.33666,0.4,10,21.4,21.4,3,6,0,0,0,0,0.917389,0.834779,0,0,0.578378,2,37,23,23,1.52272,1.52272,0
 fd12.petsc,7500,7500,1,6.81E+11,7.74E+11,0,28462,1.59E+08,1.12E+08,1.12E+08,1.29E+08,1.08E+08,6.44E+07,6.44E+07,6,0,0,1,3,0,0,0,0,0.5,2.49E-09,0,0,0,0,0,7025,2666,4.53028,6.57851,0
 sinc12.petsc,7500,7500,1,1.37E+12,7.13E+11,0,283992,1.97E+08,1.39E+08,1.39E+08,1.07E+08,3.35E+08,1.67E+08,1.67E+08,72,0,0,1,37,0,0,0,0,0.500001,1.08E-06,0,0,0,0,0,7025,3197,5.77798,9.83328,0
 sinc18.petsc,16428,16428,1,2.75E+13,1.50E+13,0,948696,1.40E+09,9.89E+08,9.89E+08,7.59E+08,2.42E+09,1.21E+09,1.21E+09,108,0,0,1,57,0,0,0,0,0.5,4.21E-07,0,0,0,0,0,15713,6953,6.74205,10.7478,0
 fd15.petsc,11532,11532,1,3.50E+12,4.05E+12,0,44206,4.57E+08,3.23E+08,3.23E+08,3.67E+08,3.05E+08,1.83E+08,1.83E+08,6,0,0,1,3,0,0,0,0,0.5,-2.41E-13,0,0,0,0,0,10937,4052,4.93331,7.02727,0
 fd18.petsc,16428,16428,1,1.54E+13,1.81E+13,0,63406,1.17E+09,8.28E+08,8.28E+08,9.30E+08,7.63E+08,4.65E+08,4.65E+08,6,0,0,1,3,0,0,0,0,0.5,5.35E-13,0,0,0,0,0,15713,5726,5.29455,7.42628,0
 sinc15.petsc,11532,11532,1,6.57E+12,3.49E+12,0,551184,5.54E+08,3.92E+08,3.92E+08,3.00E+08,9.53E+08,4.77E+08,4.77E+08,90,0,0,1,47,0,0,0,0,0.5,4.42E-07,0,0,0,0,0,10937,4895,6.2915,10.3184,0
 cavity15.petsc,2597,2597,1,0.435688,0.295345,10.1714,71601,479.277,297.709,375.601,62.8128,68.7172,34.7106,51.4923,62,10472.5,10477,1,27,241,0,0,0,0.662572,0.325143,0,0,4.03428,3,1923,252,252,18.4186,18.4259,0
 cavity23.petsc,4562,4562,1,0.093856,0.0607433,9.75357,131735,459.161,390.973,240.767,36.8135,41.5134,24.0915,27.2085,62,18760.5,18760.5,1,28,321,0,0,0,0.770882,0.541765,0,0,4.11233,1,3363,327,327,18.4695,18.4695,0
 cavity07.petsc,1182,1182,6,0.436867,0.276445,10.1394,32702,239.762,194.979,139.531,46.9004,45.986,32.6411,31.4473,62,4584.47,4584.47,6,27,0,0,0,0,0.729953,0.459907,0,0,3.87857,1,883,177,177,18.7662,18.7662,0
 cavity12.petsc,2597,2597,8,0.11572,0.0792806,9.82923,76258,321.141,292.01,133.646,37.0738,34.1047,26.2557,22.8972,62,10472.5,10472.5,8,29,0,0,0,0,0.804975,0.60995,0,0,4.03252,1,1923,252,252,18.3382,18.3382,0
 cavity14.petsc,2597,2597,8,0.306129,0.21098,10.0125,76258,415.217,296.348,290.831,58.6565,57.4769,38.9555,43.3947,62,10472.5,10472.7,8,29,0,0,0,0,0.691263,0.382525,0,0,4.03263,3,1923,252,252,18.3377,18.3462,0
 cavity13.petsc,2597,2597,1,0.199076,0.121021,9.90103,71601,358.916,292.623,207.828,39.6968,45.9561,25.7991,29.6894,62,10472.5,10472.5,1,27,241,0,0,0,0.746742,0.493484,0,0,4.03252,1,1923,252,252,18.3381,18.3381,0
 cavity02.petsc,317,317,1,1.62927,0.900509,10.7286,5923,118.115,95.4709,69.5438,37.5181,46.2748,25.8595,26.5148,62,1096.47,1096.47,1,18,81,0,0,0,0.730386,0.460773,0,0,3.45889,1,243,102,102,17.5322,17.5322,0
 cavity05.petsc,1182,1182,6,0.0745804,0.0745804,9.8935,32632,192.28,191.634,15.7508,18.9333,18.9333,18.8444,3.15556,62,4584.47,4584.47,6,27,0,0,0,0,0.965759,0.931518,0,0,3.87857,1,883,177,177,18.7662,18.7662,0
 cavity06.petsc,1182,1182,1,0.183653,0.122358,9.94753,29675,201.298,191.647,61.5814,25.4126,28.1385,20.4477,14.6167,62,4584.47,4584.47,1,25,161,0,0,0,0.860433,0.720866,0,0,3.87857,1,883,177,177,18.6513,18.6513,0
 cavity04.petsc,317,317,1,10.1832,9.77556,23.8735,5923,351.331,139.58,322.415,116.669,125.161,55.1284,102.845,62,1096.47,1179.72,1,18,81,0,0,0,0.573029,0.146058,0,0,3.72151,3,243,102,102,18.0462,17.911,0
 cavity24.petsc,4562,4562,7,0.113319,0.0741519,9.77253,138040,482.515,392.668,280.416,46.7977,45.9271,32.6324,33.8656,62,18760.5,18760.5,7,30,0,0,0,0,0.742175,0.484349,0,0,4.11233,1,3363,327,327,18.4687,18.4687,0
 cavity20.petsc,4562,4562,7,0.047543,0.0350791,9.71438,138040,412.595,390.505,133.193,32.0683,28.0384,23.164,18.5362,62,18760.5,18760.5,7,30,0,0,0,0,0.848721,0.697442,0,0,4.11233,1,3363,327,327,18.4713,18.4713,0
 cavity19.petsc,4562,4562,1,0.0364012,0.0276851,9.70654,131735,401.194,389.531,96.0294,24.0505,24.4073,19.7834,12.6041,62,18760.5,18760.5,1,28,321,0,0,0,0.893264,0.786527,0,0,4.11233,1,3363,327,327,18.4716,18.4716,0
 cavity08.petsc,1182,1182,1,0.805235,0.521246,10.5221,29675,300.423,197.746,226.164,56.3341,63.0197,32.4578,45.4508,62,4584.47,4586.75,1,25,161,0,0,0,0.670971,0.341942,0,0,3.8805,3,883,177,177,18.6693,18.6693,0
 cavity18.petsc,4562,4562,7,0.0275888,0.0244878,9.70102,138040,395.575,390.028,66.0109,24.762,22.2948,19.8292,10.4015,62,18760.5,18760.5,7,30,0,0,0,0,0.918603,0.837205,0,0,4.11233,1,3363,327,327,18.4718,18.4718,0
 cavity22.petsc,4562,4562,7,0.0763613,0.051623,9.7377,138040,441.869,391.373,205.122,39.5078,37.0568,27.8429,26.3593,62,18760.5,18760.5,7,30,0,0,0,0,0.788726,0.577452,0,0,4.11233,1,3363,327,327,18.4702,18.4702,0
 cavity17.petsc,4562,4562,1,0.0212331,0.0206602,9.69775,131735,390.427,389.289,29.7859,19.5902,20.0388,19.1999,4.48231,62,18760.5,18760.5,1,28,321,0,0,0,0.964895,0.929791,0,0,4.11233,1,3363,327,327,18.4719,18.4719,0
 cavity21.petsc,4562,4562,1,0.0608969,0.0414816,9.7247,131735,424.254,390.08,166.821,29.1489,32.5607,21.6447,20.1002,62,18760.5,18760.5,1,28,321,0,0,0,0.825566,0.651133,0,0,4.11233,1,3363,327,327,18.4708,18.4708,0
 cavity25.petsc,4562,4562,1,0.134703,0.0850975,9.7948,131735,504.746,392.237,317.678,44.5508,50.2986,27.4908,34.1181,62,18760.5,18760.5,1,28,321,0,0,0,0.728899,0.457797,0,0,4.11233,1,3363,327,327,18.4677,18.4677,0
 cavity01.petsc,317,317,7,0.278163,0.278163,9.94171,7280,93.1802,92.516,11.1057,19.0222,19.0222,18.8444,3.24444,62,1096.47,1096.47,7,22,0,0,0,0,0.932118,0.864237,0,0,3.45889,1,243,102,102,17.5847,17.5847,0
 cavity10.petsc,2597,2597,8,0.0339429,0.0339429,9.77743,76171,291.4,290.76,19.2983,18.9037,18.9037,18.8444,3.12593,62,10472.5,10472.5,8,29,0,0,0,0,0.977124,0.954247,0,0,4.03252,1,1923,252,252,18.3318,18.3318,0
 cavity09.petsc,1182,1182,6,1.28182,1.00114,11.1507,32702,385.422,206.634,325.349,85.1393,79.4875,51.2106,66.5246,62,4584.47,4592.98,6,27,0,0,0,0,0.622755,0.245509,0,0,3.88577,3,883,177,177,18.7662,18.7662,0
 cavity26.petsc,4562,4562,7,0.157971,0.106556,9.82061,138040,533.165,394.414,358.751,55.5364,54.6302,37.3896,41.1654,62,18760.5,18760.5,7,30,0,0,0,0,0.706491,0.412983,0,0,4.11233,1,3363,327,327,18.4667,18.4667,0
 cavity16.petsc,4562,4562,7,0.0193223,0.0193223,9.69671,137887,390.525,389.889,22.2859,18.8889,18.8889,18.8444,3.11111,62,18760.5,18760.5,7,30,0,0,0,0,0.982827,0.965654,0,0,4.11233,1,3363,327,327,29.2279,29.2279,0
 cavity11.petsc,2597,2597,1,0.058321,0.0451349,9.78974,71601,296.832,290.368,61.6083,23.0264,23.3556,19.5445,10.9025,62,10472.5,10472.5,1,27,241,0,0,0,0.906399,0.812797,0,0,4.03252,1,1923,252,252,18.3355,18.3355,0
 cavity03.petsc,317,317,7,4.8609,3.79994,14.3574,7311,210.677,112.34,178.225,87.2547,80.74,51.7985,68.4858,62,1096.47,1105.97,7,23,0,0,0,0,0.605076,0.210153,0,0,3.48886,3,243,102,102,17.7103,17.7202,0
 cz20468.petsc,20468,20468,1,1.80E+08,2.05E+08,1.08E+13,206076,2.61E+08,2.60E+08,2.28E+07,4.61E+06,3.62E+06,3.94E+06,1.23E+06,27,-3.36E+10,3.36E+10,1,10,1,0,0,0,0.959808,0.919615,0,0,1.64E+06,3,20468,514,514,22.2583,22.2584,0
 cz40948.petsc,40948,40948,1,1.44E+09,1.64E+09,1.72E+14,412148,1.48E+09,1.47E+09,1.29E+08,1.84E+07,1.45E+07,1.58E+07,4.92E+06,27,-2.69E+11,2.69E+11,1,10,1,0,0,0,0.959795,0.919591,0,0,6.56E+06,3,40948,721,721,20.4524,20.4524,0
 cz10228.petsc,10228,10228,1,2.26E+07,2.55E+07,6.72E+11,102876,4.62E+07,4.60E+07,4.02E+06,1.14E+06,899061,978671,308632,27,-4.19E+09,4.19E+09,1,10,1,0,0,0,0.959735,0.91947,0,0,409880,3,10228,369,369,22.8604,22.8605,0
 cz1268.petsc,1268,1268,1,44416.4,48985.5,1.64E+08,12786,253961,252975,22356.7,17593.5,13894.8,15196.7,4970.78,27,-8.11E+06,8.11E+06,1,10,1,0,0,0,0.959447,0.918894,0,0,6399.23,3,1268,145,145,27.0725,27.0734,0
 cz628.petsc,628,628,1,5605.1,6117.22,1.02E+07,6346,44676,44496.4,4001.85,4481.63,3483.43,3840.81,1280.08,27,-1.00E+06,1.00E+06,1,10,1,0,0,0,0.959172,0.918343,0,0,1598.46,3,628,104,105,27.6745,27.6763,0
 cz308.petsc,308,308,1,714.286,780.716,637038,3182,7816.94,7783.18,725.693,1181.68,867.486,990.838,328.582,27,-122863,122865,1,10,1,0,0,0,0.958293,0.916587,0,0,398.913,3,308,76,77,29.5036,29.5036,0
 cz2548.petsc,2548,2548,1,353658,396026,2.62E+09,25674,1.44E+06,1.43E+06,126864,72043.9,56389.1,61621.9,19487.7,27,-6.52E+07,6.52E+07,1,10,1,0,0,0,0.959723,0.919446,0,0,25608.1,3,2548,192,192,25.27,25.27,0
 cz148.petsc,148,148,1,92.9054,105.762,39544.3,1527,1353.13,1346.04,138.302,293.645,218.44,246.822,96.8224,33,-14701.7,14703.7,1,10,1,0,0,0,0.957299,0.914598,0,0,99.3493,3,148,52,53,30.1057,30.1057,0
 cz5108.petsc,5108,5108,1,2.82E+06,3.18E+06,4.20E+10,51412,8.16E+06,8.13E+06,713812,285463,225016,245132,77381.2,27,-5.23E+08,5.23E+08,1,10,1,0,0,0,0.959743,0.919486,0,0,102457,3,5108,267,267,24.668,24.668,0
 cell2.petsc,7055,7055,2,10.2138,10.1697,1150.26,30082,13209.6,12641.8,3831.49,416,416,415,176,5,892007,892007,2,4,0,0,0,0,0.85793,0.715859,0,1,126.436,2,7055,85,85,2.31806,2.31597,0
 cell1.petsc,7055,7055,2,10.2138,10.1698,1150.26,30082,13209.7,12641.9,3831.49,416.002,416.002,415.002,176.001,5,892014,892014,2,4,0,0,0,0,0.85793,0.71586,0,0,126.437,2,7055,85,85,2.31807,2.31597,0
 invextr1_new.petsc,30412,30412,4,3.01E+12,2.97E+12,4.39E+13,1793881,3.15E+09,2.42E+09,2.02E+09,3.01E+08,3.90E+08,2.68E+08,1.54E+08,214,4.80E+10,4.80E+10,4,58,0,0,0,0,0.889203,0.778405,0,0,1.58E+06,3,30412,30365,30365,309.476,308.868,0
 utm1700b.petsc,1700,1700,1,0.00319965,0.000588235,1.3083,21509,41.2311,35.6365,20.7375,3.18624,6.36933,3.89429,2.60753,29,-939.832,939.832,1,12,17,1,0,0,0.745409,0.490818,0,0,0.552842,-2,1700,254,257,25.0741,25.0741,0
 utm5940.petsc,5940,5940,1,0.000829379,0.00016835,1.56521,83842,77.0714,68.2988,35.711,3.22422,5.95473,3.75813,2.36351,30,-3634.48,3634.62,1,14,18,1,0,0,0.776343,0.552687,0,0,0.611889,3,5940,494,497,25.1686,25.1686,0
 utm300.petsc,300,300,1,0.0126083,0.00333333,1.63489,3155,17.3205,15.3278,8.06593,2.92819,5.59186,3.6334,2.38708,33,-186.964,186.984,1,10,14,1,0,0,0.751317,0.502633,0,0,0.623281,3,300,74,66,19.8483,19.8483,0
