% Generated on 2015-06-10 14:15:38,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod"
lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,lee96-lbound,ritz-values-c,nnzeros,lee96-ubound,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,commutator-normF,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, solver, class
?,5789,7,?,?,4,60,?,7,1.0,?,14185,11223000.0,2314.406,45465,4.072221e-07,?,5837,26524340.0,11223100.0,5789,?,?,41691.86,-37533560.0,?,?,?,?,?,?,1.0,24.13064,243897400.0,?,?,45465,?,5850,5837,0.09090909,-243890600.0,2,?,?,19.29646,5850,?,?,13,?,400518.0,67964580.0,25430,1752,18445420.0,?,75008.05,44,?,16429140.0,?,3828716.0,100.3602,-3828656.0,74617540.0,37533560.0,?,10.77404,5850,?,89565283,good
?,?,3,?,1357,1,5,1,3,6.850103e-05,?,?,0.0001789352,1953.308,20209,6.376835e-06,?,5147,0.000298285,0.0001798093,?,?,?,3.38279e-05,-4.065758e-20,?,?,?,?,?,?,5.597036e-05,6.660474,0.175127,?,?,20209,?,5177,5147,1.0,0.175127,1,?,2,6.660474,5177,?,?,4,?,2.879528e-05,0.0008908963,15032,3152,0.0001950849,1,170.6343,18,?,16876020.0,?,7.413828e-05,1.024167e-06,7.501237e-05,0.003318204,0.0002237138,?,0.0001491425,5177,?,89565283,good
?,864,4,?,?,224,36,?,4,2.871694,?,2118,0.4336325,460.3435,5976,0.1818182,?,864,5.727397,1.235709,864,?,?,0.2580164,-1.0,?,?,?,?,?,?,2.871661,77.1378,314.78,?,?,5976,?,1154,864,0.902439,314.78,2,?,1,77.1378,1220,?,?,5,?,0.2622148,0.002236145,2638,1601,2.871694,?,3.580325,41,?,475474.4,?,1.935847,?,0.935847,18.82156,5.727387,?,2.871694,1220,?,89565283,good
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.4420763,460.3435,5976,0.1818182,?,864,5.727394,0.9999736,864,?,?,0.2578104,-1.0,?,?,?,?,?,?,2.87165,100.9417,314.5286,?,?,5976,?,1154,864,0.6,314.5286,2,?,1,100.9417,1220,?,?,5,?,0.2616712,0.0009880488,2638,1601,2.871652,?,5.147276,20,?,475474.4,?,1.935826,?,0.9358259,18.80821,5.727273,?,2.871652,1220,?,89565283,good
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.5330755,460.3435,5976,0.1818182,?,864,5.727811,1.090976,864,?,?,0.2578108,-1.0,?,?,?,?,?,?,2.87165,77.12051,314.5292,?,?,5976,?,1154,864,0.6,314.5292,2,?,1,77.12051,1220,?,?,5,?,0.2616699,0.0007252809,2638,1601,2.87185,?,5.147601,20,?,475474.4,?,1.935925,?,0.9359251,18.80819,5.727749,?,2.87185,1220,?,89565283,good
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.5330757,460.3435,5976,0.1818182,?,864,5.735498,1.090977,864,?,?,0.2578168,-1.0,?,?,?,?,?,?,2.87165,168.7222,314.5365,?,?,5976,?,1154,864,0.6,314.5365,2,?,1,168.7222,1220,?,?,5,?,0.2616946,0.0007170933,2638,1601,2.875123,?,5.153464,20,?,475474.4,?,1.937561,?,0.9375613,18.80871,5.735455,?,2.875123,1220,?,89565283,good
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.6282798,460.3435,5976,0.1818182,?,864,5.730141,1.090979,864,?,?,0.2578122,-1.0,?,?,?,?,?,?,2.87165,77.12127,314.5309,?,?,5976,?,1154,864,0.6415094,314.5309,2,?,1,77.12127,1220,?,?,5,?,0.2616777,0.0001780606,2638,1601,2.872865,?,6.208929,53,?,475474.4,?,1.936432,?,0.9364324,18.80835,5.730136,?,2.872865,1220,?,36564232,good
?,13435,8,?,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.994,108359,-3.605434e-08,?,11773,10193.72,1002.872,13435,94683,?,3.328373e-06,-20000.01,?,?,10053.65,36167.47,36167.46,?,7.974986,69.9386,0.04472002,?,?,108359,?,6927,11773,0.425,0.02472002,2,?,?,69.9386,13436,?,?,8,0.1262101,0.0002456726,51148.49,55385,20535,14142.8,?,6.187843,240,?,79678230.0,10053.65,7.974858,15.5576,0.0001274165,51148.52,20000.01,51148.51,7.974986,13436,-504.9762,89565283,bad
?,13435,8,?,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.994,108359,-3.605434e-08,?,11773,10193.72,1002.872,13435,94683,?,3.328373e-06,-20000.01,?,?,10053.65,36167.47,36167.46,?,7.974986,69.9386,0.04472002,?,?,108359,?,6927,11773,0.425,0.02472002,2,?,?,69.9386,13436,?,?,8,0.1262101,0.0002456726,51148.49,55385,20535,14142.8,?,6.187843,240,?,79678230.0,10053.65,7.974858,15.5576,0.0001274165,51148.52,20000.01,51148.51,7.974986,13436,-504.9762,49598909,bad
?,13435,8,?,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.994,108359,-3.605434e-08,?,11773,10193.72,1002.872,13435,94683,?,3.328373e-06,-20000.01,?,?,10053.65,36167.47,36167.46,?,7.974986,69.9386,0.04472002,?,?,108359,?,6927,11773,0.425,0.02472002,2,?,?,69.9386,13436,?,?,8,0.1262101,0.0002456726,51148.49,55385,20535,14142.8,?,6.187843,240,?,79678230.0,10053.65,7.974858,15.5576,0.0001274165,51148.52,20000.01,51148.51,7.974986,13436,-504.9762,68908713,bad
?,13435,8,?,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.994,108359,-3.605434e-08,?,11773,10193.72,1002.872,13435,94683,?,3.328373e-06,-20000.01,?,?,10053.65,36167.47,36167.46,?,7.974986,69.9386,0.04472002,?,?,108359,?,6927,11773,0.425,0.02472002,2,?,?,69.9386,13436,?,?,8,0.1262101,0.0002456726,51148.49,55385,20535,14142.8,?,6.187843,240,?,79678230.0,10053.65,7.974858,15.5576,0.0001274165,51148.52,20000.01,51148.51,7.974986,13436,-504.9762,36564232,good
?,4075,6,?,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,?,?,3951.81,-1048585.0,?,?,?,?,?,?,1.0,9.976185,36076070.0,?,?,56175,?,9129,1375,0.9615385,36058130.0,2,?,?,13.15285,9129,?,?,8,?,36868.92,5565253.0,25798,677,2344687.0,?,6822.776,52,?,921202.6,?,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,?,89565283,bad
?,4075,6,?,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,?,?,3951.81,-1048585.0,?,?,?,?,?,?,1.0,9.976185,36076070.0,?,?,56175,?,9129,1375,0.9615385,36058130.0,2,?,?,13.15285,9129,?,?,8,?,36868.92,5565253.0,25798,677,2344687.0,?,6822.776,52,?,921202.6,?,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,?,68908713,bad
?,100,8,?,?,99,9,1,8,60418.4,?,38612,49994.99,66.22222,87025,126.8214,?,100,91833.2,49995.3,100,?,?,1683.587,-90.24792,?,?,91878.33,6504.338,424640.0,?,60147.19,1.096194,16500840.0,102.9356,?,87025,84612820.0,9801,100,1.0,16500840.0,4,80416620.0,2,1.393384,9801,?,?,8,1.0,3695.628,9198.523,38612,9,60449.83,?,192461.4,26,?,10920.05,2094.053,30209.04,?,30209.36,424689.8,91923.45,9198.523,60418.4,9801,1.802768e+11,89565283,bad
?,14689,10,?,?,4,149,?,10,2.0,?,63269,77514.71,6721.188,157990,0.5,?,14721,80570.55,2391.391,14689,137000,?,2.484544,-81481.08,?,?,40744.05,91865.16,91572.59,?,1.0,17.32272,36671.88,?,?,157990,?,14760,14721,1.0,27251.94,2,?,?,17.9674,14760,?,?,18,0.1328565,3.134378,72073.56,79961,4124,79999.95,?,6.470739,52,?,117992900.0,40796.31,14.93647,2485.201,15.1259,129710.2,81498.66,129502.8,32.0,14760,-53667460.0,89565283,good
?,100,8,?,?,99,9,1,8,86062.62,?,38612,2688.849,66.22222,87025,79.80454,?,100,132173.3,67061.76,100,?,?,1833.956,-218.6362,?,?,132282.7,9989.451,519924.6,?,84672.36,1.096194,17974600.0,268.8687,?,87025,199578300.0,9801,100,1.0,17974600.0,4,262036900.0,2,1.393387,9801,?,?,8,1.0,4626.598,14127.22,38612,9,86116.34,?,1.233862,24,?,10920.05,3534.309,8156.005,?,77906.61,520020.5,132392.0,14127.22,86062.62,9801,2.702218e+11,89565283,bad
?,6527,5,?,?,57,68,?,5,-1.068887,?,8207,1136620.0,1711.529,38692,-5.018548e-06,?,6528,949602.7,1136623.0,6527,31798,?,2026.361,-2563731.0,?,?,1281867.0,4869513.0,5549765.0,?,1.0,10.7586,13726570.0,?,?,38692,?,6774,6528,0.5528455,9749812.0,2,?,?,10.7586,6774,?,?,10,0.1781764,32283.26,6886530.0,23711,2929,1265421.0,?,237587.1,123,?,7278564.0,1281867.0,360839.4,5.51209,258796.5,7383228.0,2563734.0,6886531.0,619635.9,6774,7.087736e+12,89565283,good
?,6527,5,?,?,57,68,?,5,-1.068887,?,8207,1136620.0,1711.529,38692,-5.018548e-06,?,6528,949602.7,1136623.0,6527,31798,?,2026.361,-2563731.0,?,?,1281867.0,4869513.0,5549765.0,?,1.0,10.7586,13726570.0,?,?,38692,?,6774,6528,0.5528455,9749812.0,2,?,?,10.7586,6774,?,?,10,0.1781764,32283.26,6886530.0,23711,2929,1265421.0,?,237587.1,123,?,7278564.0,1281867.0,360839.4,5.51209,258796.5,7383228.0,2563734.0,6886531.0,619635.9,6774,7.087736e+12,68908713,bad
?,6527,5,?,?,57,68,?,5,-1.068887,?,8207,1136620.0,1711.529,38692,-5.018548e-06,?,6528,949602.7,1136623.0,6527,31798,?,2026.361,-2563731.0,?,?,1281867.0,4869513.0,5549765.0,?,1.0,10.7586,13726570.0,?,?,38692,?,6774,6528,0.5528455,9749812.0,2,?,?,10.7586,6774,?,?,10,0.1781764,32283.26,6886530.0,23711,2929,1265421.0,?,237587.1,123,?,7278564.0,1281867.0,360839.4,5.51209,258796.5,7383228.0,2563734.0,6886531.0,619635.9,6774,7.087736e+12,36564232,bad
?,100,8,?,?,99,9,1,8,56267.25,?,38612,46646.47,66.22222,87025,100.4695,?,100,84152.5,46646.78,100,?,?,1666.789,-0.07760163,?,?,?,?,?,?,56267.25,1.096194,16336200.0,?,?,87025,?,9801,100,1.0,16336200.0,4,?,2,1.393384,9801,?,?,8,?,3565.913,8408.434,38612,9,56316.53,?,179235.1,30,?,10920.05,?,28133.47,?,28133.78,411735.3,84152.58,?,56267.25,9801,?,89565283,bad
?,100,8,?,?,99,9,1,8,56403.24,?,38612,46839.73,66.22222,87025,79.79329,?,100,84463.15,46840.05,100,?,?,1667.223,-12.88893,?,?,84469.6,5965.771,412077.7,?,56403.24,1.096194,16340450.0,90.45016,?,87025,71180850.0,9801,100,1.0,16340450.0,4,68312430.0,2,1.393384,9801,?,?,8,1.0,3569.828,8436.874,38612,9,56450.71,?,179674.6,30,?,10920.05,1997.879,28201.46,?,28201.78,412120.8,84476.04,8436.874,56403.24,9801,1.697724e+11,89565283,bad
?,100,8,?,?,99,9,1,8,427.1599,?,38612,345.8087,66.22222,87025,3.75581,?,100,675.1248,345.8122,100,?,?,9.741228,-2.830544,?,?,?,?,?,?,427.1599,1.192953,95473.78,?,?,87025,?,9801,100,1.0,95473.78,4,?,2,1.356471,9801,?,?,8,?,22.17429,81.15664,38612,9,427.303,?,122483.7,31,?,10920.05,?,213.5782,?,213.5817,2529.861,676.6892,?,427.1599,9801,?,89565283,bad
?,6527,5,?,?,57,68,?,5,2.0,?,8207,168.3498,1711.529,38692,-0.6577911,?,6528,386.2931,172.3305,6527,31798,?,3.360932,-250.0158,?,?,275.428,509.9603,1398.522,?,1.0,4.707724,22766.95,?,?,38692,?,6774,6528,0.9777778,20470.68,2,?,?,4.817186,6774,?,?,10,0.1781764,15.46459,720.3709,23711,2929,256.1053,?,64.30901,45,?,7278564.0,161.3282,129.9904,2.135964,126.0096,1488.598,336.0388,721.1927,256.0,6774,1695804.0,89565283,bad
?,6527,5,?,?,57,68,?,5,2.0,?,8207,168.3498,1711.529,38692,-0.6577911,?,6528,386.2931,172.3305,6527,31798,?,3.360932,-250.0158,?,?,275.428,509.9603,1398.522,?,1.0,4.707724,22766.95,?,?,38692,?,6774,6528,0.9777778,20470.68,2,?,?,4.817186,6774,?,?,10,0.1781764,15.46459,720.3709,23711,2929,256.1053,?,64.30901,45,?,7278564.0,161.3282,129.9904,2.135964,126.0096,1488.598,336.0388,721.1927,256.0,6774,1695804.0,68908713,bad
?,6527,5,?,?,57,68,?,5,2.0,?,8207,168.3498,1711.529,38692,-0.6577911,?,6528,386.2931,172.3305,6527,31798,?,3.360932,-250.0158,?,?,275.428,509.9603,1398.522,?,1.0,4.707724,22766.95,?,?,38692,?,6774,6528,0.9777778,20470.68,2,?,?,4.817186,6774,?,?,10,0.1781764,15.46459,720.3709,23711,2929,256.1053,?,64.30901,45,?,7278564.0,161.3282,129.9904,2.135964,126.0096,1488.598,336.0388,721.1927,256.0,6774,1695804.0,36564232,bad
?,5726,4,?,?,1,7,?,4,3361.548,?,39434,728928400.0,4480.759,79834,3361.548,?,15713,929504400.0,97440740.0,5726,?,?,?,-763132100.0,?,?,?,?,?,?,3361.548,7.426279,?,?,?,79834,?,?,15713,0.5241379,?,2,?,10,5.294551,16428,?,?,5,?,?,1170888000.0,23972,1737,728932200.0,?,1.709329,145,?,68914140.0,?,3613.923,3634.496,-78.96795,1170888000.0,763132100.0,?,3361.548,16428,?,89565283,good
?,4052,4,?,?,1,7,?,4,-314.5941,?,27110,290107900.0,3137.309,55738,-314.5941,?,10937,366869700.0,52023760.0,4052,44206,?,?,-304505200.0,?,?,183442900.0,323278500.0,323278500.0,?,971.1615,7.027274,?,?,?,55738,?,?,10937,0.475,?,2,?,10,4.933308,11532,?,?,5,0.2068966,?,457184900.0,17096,1461,290109000.0,?,1.230537,240,?,33676850.0,183442900.0,1057.163,1054.248,-46.85051,457184900.0,304505200.0,457184900.0,971.1615,11532,?,89565283,bad
?,256,23,?,1,20,82,?,23,-808.1069,?,88303,727.1585,813.4031,98213,1.0,?,3934,2086.87,88.26804,256,?,?,0.9369409,-4497.982,?,?,?,?,?,?,3.773655,5.173044,3873.314,?,?,98213,?,4134,3934,0.09836066,-3835.747,1,?,?,6.190687,4134,?,?,22,?,19.12173,1557.521,5776,459,1535.265,?,553.3918,61,?,4126025.0,?,405.9403,1.456997,-402.1666,2060.921,4497.982,?,3.773655,4134,?,89565283,good
?,242,18,?,1,15,62,?,18,-712.3087,?,53892,482.8417,541.0123,59920,1.0,?,2986,1645.075,37.27685,242,54134,?,0.6574629,-2673.767,?,?,1414.836,867.1663,1314.735,?,12.28778,6.366517,2102.566,?,?,59920,?,3198,2986,0.1320755,-2012.996,1,?,?,7.588062,3198,?,?,16,0.09656208,14.86605,1225.948,2830,406,1195.15,?,247.0458,53,?,1775019.0,1337.221,362.2983,2.883045,-350.0105,1574.962,2673.767,1226.358,12.28778,3198,976549.5,89565283,good
?,242,18,?,1,15,62,?,18,-712.3087,?,53892,482.8417,541.0123,59920,1.0,?,2986,1645.075,37.27685,242,54134,?,0.6574629,-2673.767,?,?,1414.836,867.1663,1314.735,?,12.28778,6.366517,2102.566,?,?,59920,?,3198,2986,0.1320755,-2012.996,1,?,?,7.588062,3198,?,?,16,0.09656208,14.86605,1225.948,2830,406,1195.15,?,247.0458,53,?,1775019.0,1337.221,362.2983,2.883045,-350.0105,1574.962,2673.767,1226.358,12.28778,3198,976549.5,68908713,bad
?,2666,4,?,?,1,7,?,4,-475.1529,?,17090,102915800.0,2031.867,35962,-475.1529,?,7025,128724000.0,16826100.0,2666,?,?,?,-108350400.0,?,?,?,?,?,?,255.3363,6.57851,?,?,?,35962,?,?,7025,0.4958333,?,2,?,10,4.530277,7500,?,?,5,?,?,158801600.0,11372,1185,102916300.0,?,2.008423,240,?,14068480.0,?,475.488,475.8314,0.01827377,158801600.0,108350400.0,?,475.2239,7500,?,89565283,bad
?,2666,4,?,?,1,7,?,4,-475.1529,?,17090,102915800.0,2031.867,35962,-475.1529,?,7025,128724000.0,16826100.0,2666,?,?,?,-108350400.0,?,?,?,?,?,?,255.3363,6.57851,?,?,?,35962,?,?,7025,0.4958333,?,2,?,10,4.530277,7500,?,?,5,?,?,158801600.0,11372,1185,102916300.0,?,2.008423,240,?,14068480.0,?,475.488,475.8314,0.01827377,158801600.0,108350400.0,?,475.2239,7500,?,68908713,good
?,100,8,?,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,?,?,113.86,-38.3144,?,?,?,?,?,?,8293.715,1.274212,1115942.0,?,?,87025,?,9801,100,1.0,1115942.0,4,?,2,1.425323,9801,?,?,8,?,415.1602,1534.61,38612,9,8296.49,?,1.327588,31,?,10920.05,?,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,?,89565283,bad
?,100,8,?,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,?,?,113.86,-38.3144,?,?,?,?,?,?,8293.715,1.274212,1115942.0,?,?,87025,?,9801,100,1.0,1115942.0,4,?,2,1.425323,9801,?,?,8,?,415.1602,1534.61,38612,9,8296.49,?,1.327588,31,?,10920.05,?,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,?,49598909,bad
?,100,8,?,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,?,?,113.86,-38.3144,?,?,?,?,?,?,8293.715,1.274212,1115942.0,?,?,87025,?,9801,100,1.0,1115942.0,4,?,2,1.425323,9801,?,?,8,?,415.1602,1534.61,38612,9,8296.49,?,1.327588,31,?,10920.05,?,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,?,36564232,bad
?,100,8,?,?,99,9,1,8,1158.432,?,38612,954.3561,66.22222,87025,4.856918,?,100,1819.361,954.3635,100,?,?,25.71866,-5.197597,?,?,1821.207,149.5215,6994.325,?,1158.432,1.115002,252068.6,4.841767,?,87025,44713.37,9801,100,1.0,252068.6,4,63099.25,2,1.257349,9801,?,?,8,1.0,61.83317,211.4346,38612,9,1158.82,?,155824.7,22,?,10920.05,55.64845,579.2124,?,579.2198,6995.923,1823.054,211.4554,1158.432,9801,48898230.0,89565283,good
