matrix,row-variability:variance,diagonal-average:variance,upband:iprs,nnzlow:iprs,lambda-min-by-magnitude-re:lapack,avgdistfromdiag:iprs,avgnnzprow:iprs,lambda-max-by-im-part-im:spectrum,normF:simple,lambda-max-by-real-part-im:spectrum,sigma-min:spectrum,ellipse-cx:spectrum,lee96-lbound:normal,n-struct-unsymm:structure,lee96-ubound:normal,lambda-max-by-im-part-re:spectrum,ruhe75-bound:normal,departure:lapack,ellipse-cy:spectrum,relsymm:iprs,lambda-max-by-magnitude-im:spectrum,n-colours:jpl,commutator-normF:normal,col-variability:variance,symmetry-anorm:simple,diag-zerostart:structure,symmetry:structure,lambda-max-by-im-part-re:lapack,positive-fraction:spectrum,nnz:iprs,diagonal-dominance:simple,lambda-max-by-real-part-re:lapack,dummy-rows-kind:structure,max-nnzeros-per-row:structure,ellipse-ax:spectrum,lambda-min-by-magnitude-re:spectrum,symmetry-fanorm:simple,nnzeros:structure,loband:iprs,diagonal-sign:variance,min-nnzeros-per-row:structure,lambda-max-by-real-part-re:spectrum,trace-asquared:normal,nnzup:iprs,n-dummy-rows:structure,nrows:structure,symmetry-fsnorm:simple,diag-definite:structure,avg-diag-dist:iprs,lambda-max-by-im-part-im:lapack,diagonal-variance:variance,symmetry-snorm:simple,n-ritz-values:spectrum,lambda-max-by-magnitude-re:spectrum,lee95-bound:normal,normInf:simple,lambda-max-by-magnitude-re:lapack,sigma-max:spectrum,n-nonzero-diags:iprs,trace-abs:simple,norm1:simple,lambda-min-by-magnitude-im:lapack,left-bandwidth:structure,blocksize:structure,ellipse-ay:spectrum,lambda-max-by-magnitude-im:lapack,sigma-diag-dist:iprs,kappa:spectrum,lambda-max-by-real-part-im:lapack,trace:simple,nnzdia:iprs,lambda-min-by-magnitude-im:spectrum,right-bandwidth:structure
hydr1c_A_20, 26.49182, 0.03505887, 4535, 9879, 6.505213e-19, 4, 4, 100000.0, 8658504.0, nan, 1004241.0, 19.07438, nan, 19435, nan, -7.418066e-12, 2855328.0, 8657347.0, nan, 0.2166149, 100000.0, 6, nan, 28.94268, 2237191.0, 2386, nan, 6.505213e-19, 0.475, 24809, -4474379.0, 488.377, nan, 13, 602.1086, -503.4308, 6123304.0, 24809, 5307, 1, 2, 621.183, -20000880000.0, 9622, nan, 5308, 6121670.0, nan, 2408.001, nan, 2.540319, 2237191.0, 240, -7.418066e-12, 8657349.0, 4474379.0, 6.505213e-19, 2955328.0, 7953, 186.0925, 2270087.0, nan, 5307, 2358, 100000.0, nan, 14946320.0, 173.7511, nan, 186.0925, 5308, 278.9245, 4535
g7jac020, 19.29646, 41691.86, 5789, 25430, 4.072221e-07, 7, 7, 100.3602, 74617540.0, nan, 11223100.0, -3828656.0, nan, nan, nan, 60.08055, 11223000.0, 67964580.0, nan, nan, nan, 13, nan, 24.13064, nan, 5850, nan, 1.0, 0.09090909, 45465, -37533560.0, 10.77404, nan, 60, 3828716.0, 52.02467, nan, 45465, 5837, nan, 2, -7657372.0, nan, 14185, nan, 5850, nan, nan, 2314.406, nan, 400518.0, nan, 44, -7657372.0, nan, 37533560.0, 1.0, 18445420.0, 1752, 243897400.0, 26524340.0, nan, 5837, 4, 100.3602, nan, 16429140.0, 75008.05, nan, -243890600.0, 5850, 87.83654, 5789
fpga_dcop_21, 77.1378, 0.2580164, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.82156, nan, 1.235709, 0.935847, nan, nan, nan, 4.94065645841e-324, 0.4336325, 0.002236145, nan, nan, nan, 5, nan, 77.1378, nan, 1154, nan, 2.871661, 0.902439, 5976, -1.0, 2.871694, nan, 36, 1.935847, -0.8020763, nan, 5976, 864, 1, 2, 2.871694, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2622148, nan, 41, 2.871694, nan, 5.727387, 2.871694, 2.871694, 1601, 314.78, 5.727397, nan, 864, 224, nan, nan, 475474.4, 3.580325, nan, 314.78, 1220, nan, 864
fpga_dcop_23, 100.9417, 0.2578104, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.80821, nan, 0.9999736, 0.9358259, nan, nan, nan, 4.94065645841e-324, 0.4420763, 0.0009880488, nan, nan, nan, 5, nan, 100.9417, nan, 1154, nan, 2.87165, 0.6, 5976, -1.0, 2.871652, nan, 36, 1.935826, -0.5578973, nan, 5976, 864, 1, 2, 2.871652, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2616712, nan, 20, 2.871652, nan, 5.727273, 2.871652, 2.871652, 1601, 314.5286, 5.727394, nan, 864, 224, nan, nan, 475474.4, 5.147276, nan, 314.5286, 1220, nan, 864
fpga_dcop_26, 77.12051, 0.2578108, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.80819, nan, 1.090976, 0.9359251, nan, nan, nan, 4.94065645841e-324, 0.5330755, 0.0007252809, nan, nan, nan, 5, nan, 77.12051, nan, 1154, nan, 2.87165, 0.6, 5976, -1.0, 2.87185, nan, 36, 1.935925, -0.5579007, nan, 5976, 864, 1, 2, 2.87185, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2616699, nan, 20, 2.87185, nan, 5.727749, 2.871652, 2.87185, 1601, 314.5292, 5.727811, nan, 864, 224, nan, nan, 475474.4, 5.147601, nan, 314.5292, 1220, nan, 864
fpga_dcop_27, 168.7222, 0.2578168, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.80871, nan, 1.090977, 0.9375613, nan, nan, nan, 4.94065645841e-324, 0.5330757, 0.0007170933, nan, nan, nan, 5, nan, 168.7222, nan, 1154, nan, 2.87165, 0.6, 5976, -1.0, 2.875123, nan, 36, 1.937561, -0.557901, nan, 5976, 864, 1, 2, 2.875123, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2616946, nan, 20, 2.875123, nan, 5.735455, 2.871652, 2.875123, 1601, 314.5365, 5.735498, nan, 864, 224, nan, nan, 475474.4, 5.153464, nan, 314.5365, 1220, nan, 864
t2d_q9_A_41, 1.406217, 2530.451, 100, 38612, 107.2415, 8, 8, nan, 886489.6, nan, 132075.6, 144373.4, nan, nan, nan, nan, 10485.96, 30315.3, nan, nan, nan, 8, nan, 1.103877, nan, 9801, nan, 165957.0, 1.0, 87025, -540.2389, 167157.1, nan, 9, 22783.74, 121589.7, nan, 87025, 100, 2, 4, 167157.1, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 8105.987, nan, 37, 167157.1, nan, 262124.1, 167157.1, 167297.2, 9, 24800950.0, 261583.9, nan, 100, 99, nan, nan, 10920.05, 1.374764, nan, 24800950.0, 9801, nan, 100
hydr1c_A_26, 26.60895, 0.03475248, 4535, 9886, 4.87891e-19, 4, 4, 100000.0, 8682031.0, nan, 939318.3, -42.91227, nan, nan, nan, -1.776357e-15, 2889389.0, 8680877.0, nan, nan, 100000.0, 6, nan, 28.7351, nan, 2386, nan, 4.87891e-19, 0.4833333, 24816, -4527171.0, 491.2643, nan, 13, 667.8896, -453.9809, nan, 24816, 5307, 1, 2, -710.8019, nan, 9622, nan, 5308, nan, nan, 2407.734, nan, 2.517999, nan, 240, -1.776357e-15, nan, 4527171.0, 4.87891e-19, 2989389.0, 7952, 184.4662, 2296333.0, nan, 5307, 2358, 100000.0, nan, 14946190.0, 192.0114, nan, 184.4662, 5308, 255.2186, 4535
t2d_q9_A_43, 1.393384, 1683.587, 100, 38612, 126.8214, 8, 8, nan, 424689.8, nan, 49223.73, 30209.36, nan, nan, nan, nan, 49223.42, 9198.523, nan, nan, nan, 8, nan, 1.096194, nan, 9801, nan, 60147.19, 1.0, 87025, -90.24792, 60418.4, nan, 9, 30209.04, 0.3139292, nan, 87025, 100, 2, 4, 60418.4, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 3695.628, nan, 31, 60418.4, nan, 91923.45, 60418.4, 60449.83, 9, 16500840.0, 91833.2, nan, 100, 99, nan, nan, 10920.05, 192458.7, nan, 16500840.0, 9801, nan, 100
g7jac050sc, 17.9674, 2.484544, 14689, 79961, 0.5, 10, 10, 2485.201, 129710.2, nan, 2391.38, -8.96193, nan, nan, nan, 14.33999, 77514.71, 72073.54, nan, nan, 2485.201, 18, nan, 17.32272, nan, 14760, nan, 1.0, 0.96, 157990, -81481.08, 32.0, nan, 149, 39.03787, -47.99947, nan, 157990, 14721, nan, 2, -47.99947, nan, 63269, nan, 14760, nan, nan, 6721.188, nan, 3.134378, nan, 50, 14.33999, nan, 81498.66, 2.0, 79999.95, 4124, 36671.88, 80570.55, nan, 14721, 4, 2485.201, nan, 117992900.0, 51.77646, nan, 27251.94, 14760, nan, 14689
t2d_q9_A_42, 1.393387, 1833.956, 100, 38612, 79.80454, 8, 8, nan, 520020.5, nan, 69779.53, 77289.29, nan, nan, nan, nan, 1263.576, 14127.22, nan, nan, nan, 8, nan, 1.096194, nan, 9801, nan, 84672.36, 1.0, 87025, -218.6362, 86062.62, nan, 9, 8773.33, 68515.96, nan, 87025, 100, 2, 4, 86062.62, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 4626.598, nan, 26, 86062.62, nan, 132392.0, 86062.62, 86116.34, 9, 17974600.0, 132173.3, nan, 100, 99, nan, nan, 10920.05, 1.256096, nan, 17974600.0, 9801, nan, 100
jan99jac020, 10.7586, 2026.361, 6527, 23711, -5.018548e-06, 5, 5, 5.51209, 7383228.0, nan, 1136623.0, 258796.5, nan, 31798, nan, -1.543511, 1136620.0, 6886530.0, nan, 0.1781764, nan, 10, nan, 10.7586, 1281867.0, 6774, nan, 1.0, 0.5528455, 38692, -2563731.0, 619635.9, nan, 68, 360839.4, 2.084382, 4869513.0, 38692, 6528, nan, 2, 619635.9, 7.087736e+12, 8207, nan, 6774, 5549765.0, nan, 1711.529, nan, 32283.26, 1281867.0, 123, 619635.9, 6886531.0, 2563734.0, -1.068887, 1265421.0, 2929, 13726570.0, 949602.7, nan, 6528, 57, 5.51209, nan, 7278564.0, 237587.1, nan, 9749812.0, 6774, 1.567548, 6527
hydr1c_A_23, 26.49207, 0.03507346, 4535, 9879, 4.607859e-19, 4, 4, 100000.0, 8691634.0, nan, 937583.4, -46.87728, nan, nan, nan, 4.547474e-13, 2863795.0, 8690481.0, nan, nan, 100000.0, 6, nan, 28.93907, nan, 2386, nan, 4.607859e-19, 0.4833333, 24809, -4487511.0, 490.6939, nan, 13, 671.2212, -447.3707, nan, 24809, 5307, 1, 2, -718.0985, nan, 9622, nan, 5308, nan, nan, 2407.734, nan, 2.541382, nan, 240, 4.547474e-13, nan, 4487511.0, 4.607859e-19, 2963795.0, 7952, 186.1699, 2276611.0, nan, 5307, 2358, 100000.0, nan, 14946190.0, 194.9634, nan, 186.1699, 5308, 250.8849, 4535
t2d_q9_A_44, 1.393384, 1667.223, 100, 38612, 79.79329, 8, 8, nan, 412120.8, nan, 46810.37, 28201.78, nan, nan, nan, nan, 46810.06, 8436.874, nan, nan, nan, 8, nan, 1.096194, nan, 9801, nan, 56403.24, 1.0, 87025, -12.88893, 56403.24, nan, 9, 28201.46, 0.3139291, nan, 87025, 100, 2, 4, 56403.24, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 3569.828, nan, 30, 56403.24, nan, 84476.04, 56403.24, 56450.71, 9, 16340450.0, 84463.15, nan, 100, 99, nan, nan, 10920.05, 179668.7, nan, 16340450.0, 9801, nan, 100
t2d_q4_A_03, 1.356471, 9.741228, 100, 38612, 3.75581, 8, 8, nan, 2529.861, nan, 345.8122, 213.5817, nan, nan, nan, nan, 345.8087, 81.15664, nan, nan, nan, 8, nan, 1.192953, nan, 9801, nan, 427.1599, 1.0, 87025, -2.830544, 427.1599, nan, 9, 213.5782, 0.003487485, nan, 87025, 100, 2, 4, 427.1599, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 22.17429, nan, 31, 427.1599, nan, 676.6892, 427.1599, 427.303, 9, 95473.78, 675.1248, nan, 100, 99, nan, nan, 10920.05, 122483.7, nan, 95473.78, 9801, nan, 100
jan99jac020sc, 4.817186, 3.360932, 6527, 23711, -0.6577911, 5, 5, 2.135964, 1488.598, nan, 172.3305, 126.0096, nan, 31798, nan, 31.73391, 168.3498, 720.3709, nan, 0.1781764, nan, 10, nan, 4.707724, 161.3282, 6774, nan, 1.0, 0.9777778, 38692, -250.0158, 256.0, nan, 68, 129.9904, -3.98078, 509.9603, 38692, 6528, nan, 2, 256.0, 1695804.0, 8207, nan, 6774, 1398.522, nan, 1711.529, nan, 15.46459, 275.428, 45, 256.0, 721.1927, 336.0388, 2.0, 256.1053, 2929, 22766.95, 386.2931, nan, 6528, 57, 2.135964, nan, 7278564.0, 64.30901, nan, 20470.68, 6774, nan, 6527
extr1b_A_28, 10.01744, 0.008880994, 2486, 4301, -0.000762858, 4, 4, 476.7215, 448911.9, nan, 8374.288, 47.86556, nan, nan, nan, 154.8962, 61567.96, 448858.3, nan, nan, nan, 6, nan, 14.38483, nan, 1299, nan, 501.2546, 0.4875, 11886, -91936.95, 501.2546, nan, 11, 453.3891, 62.57696, nan, 11886, 2835, -1.0, 2, 501.2546, nan, 4749, nan, 2836, nan, nan, 1295.211, nan, 0.4544728, nan, 240, 501.2546, nan, 91936.95, 501.2546, 62069.21, 4289, 25.1865, 62078.49, nan, 2835, 1295, 476.7215, nan, 4218068.0, 8.01021, nan, -25.1865, 2836, nan, 2486
fd15, 4.933308, nan, 4052, 17096, -314.594, 4, 4, 1063.404, 457184900.0, nan, 52024770.0, 21.61574, nan, nan, nan, -111.8752, 290107900.0, 457184900.0, nan, nan, nan, 5, nan, 7.027274, nan, nan, nan, 971.1612, 0.4958333, 55738, -304505200.0, 971.1612, nan, 7, 1131.827, 10.36147, nan, 55738, 10937, 10, 2, 1153.443, nan, 27110, nan, 11532, nan, nan, 3137.309, nan, nan, nan, 240, 1153.443, nan, 304505200.0, -314.594, 290109000.0, 1461, nan, 366869700.0, nan, 10937, 1, 1063.404, nan, 33676850.0, 1.364181, nan, nan, 11532, 845.457, 4052
rdist1, 6.190687, 0.9369409, 256, 5776, 1.0, 23, 23, 1.456997, 2060.921, nan, 88.26804, -402.1666, nan, nan, nan, 0.09787001, 727.1585, 1557.521, nan, nan, nan, 22, nan, 5.173044, nan, 4134, nan, 3.773655, 0.09836066, 98213, -4497.982, 3.773655, nan, 82, 405.9403, 0.09787001, nan, 98213, 3934, nan, 1, -808.1069, nan, 88303, 1, 4134, nan, nan, 813.4031, nan, 19.12173, nan, 61, -808.1069, nan, 4497.982, -808.1069, 1535.265, 459, 3873.314, 2086.87, nan, 3934, 20, 1.456997, nan, 4126025.0, 553.3918, nan, -3835.747, 4134, 1.456997, 256
rdist2, 7.588062, 0.6574629, 242, 2830, 1.0, 18, 18, 2.883045, 1574.962, nan, 37.27685, -350.0105, nan, 54134, nan, -0.03885338, 482.8417, 1225.948, nan, 0.09656208, nan, 16, nan, 6.366517, 1337.221, 3198, nan, 12.28778, 0.1320755, 59920, -2673.767, 12.28778, nan, 62, 362.2983, -0.03885338, 867.1663, 59920, 2986, nan, 1, -712.3087, 976549.5, 53892, 1, 3198, 1314.735, nan, 541.0123, nan, 14.86605, 1414.836, 53, -712.3087, 1226.358, 2673.767, -712.3087, 1195.15, 406, 2102.566, 1645.075, nan, 2986, 15, 2.883045, nan, 1775019.0, 247.0458, nan, -2012.996, 3198, 2.883045, 242
fd12, 4.530277, nan, 2666, 11372, -475.1529, 4, 4, 475.8314, 158801600.0, 127.0762, 16826100.0, 0.01827377, nan, nan, nan, 127.1735, 102915800.0, 158801600.0, nan, nan, 348.4698, 5, nan, 6.57851, nan, nan, nan, 255.3363, 0.4958333, 35962, -108350400.0, 475.2239, nan, 7, 475.488, 245.2517, nan, 35962, 7025, 10, 2, 475.5063, nan, 17090, nan, 7500, nan, nan, 2031.867, nan, nan, nan, 240, 348.128, nan, 108350400.0, -475.1529, 102916300.0, 1185, nan, 128724000.0, nan, 7025, 1, 475.8314, nan, 14068480.0, 2.008423, nan, nan, 7500, nan, 2666
t2d_q4_A_11, 1.425323, 113.86, 100, 38612, 4.305043, 8, 8, nan, 44983.41, nan, 6857.033, 7270.46, nan, nan, nan, nan, 609.8284, 1534.61, nan, nan, nan, 8, nan, 1.274212, nan, 9801, nan, 8293.715, 1.0, 87025, -38.3144, 8293.715, nan, 9, 1023.255, 6247.205, nan, 87025, 100, 2, 4, 8293.715, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 415.1602, nan, 31, 8293.715, nan, 13265.9, 8293.715, 8296.49, 9, 1115942.0, 13238.71, nan, 100, 99, nan, nan, 10920.05, 1.327588, nan, 1115942.0, 9801, nan, 100
t2d_q4_A_10, 1.047308, 5.403367, 100, 38612, 3.878899, 8, 8, nan, 641.2287, nan, 25.07946, 15.13117, nan, nan, nan, nan, 25.07597, 3.03247, nan, nan, nan, 8, nan, 1.039372, nan, 9801, nan, 30.25884, 1.0, 87025, -1.01208e-08, 30.25884, nan, 9, 15.12768, 0.003489632, nan, 87025, 100, 2, 4, 30.25884, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 2.857399, nan, 30, 30.25884, nan, 36.82602, 30.25884, 30.26015, 9, 52958.4, 36.94624, nan, 100, 99, nan, nan, 10920.05, 8671.071, nan, 52958.4, 9801, nan, 100
t2d_q4_A_13, 1.257349, 25.71866, 100, 38612, 4.856918, 8, 8, nan, 6995.923, nan, 954.243, 579.2198, nan, nan, nan, nan, 954.2355, 211.4346, nan, nan, nan, 8, nan, 1.115002, nan, 9801, nan, 1158.432, 1.0, 87025, -5.197597, 1158.432, nan, 9, 579.2124, 0.007458047, nan, 87025, 100, 2, 4, 1158.432, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 61.83317, nan, 32, 1158.432, nan, 1823.054, 1158.432, 1158.82, 9, 252068.6, 1819.361, nan, 100, 99, nan, nan, 10920.05, 155326.5, nan, 252068.6, 9801, nan, 100
t2d_q4_A_12, 1.354117, 47.75817, 100, 38612, 4.410227, 8, 8, 8.162151, 16893.64, nan, 2360.397, 1512.042, nan, nan, nan, 2350.719, 2360.39, 560.8396, nan, nan, nan, 8, nan, 1.199713, nan, 9801, nan, 3024.076, 1.0, 87025, -14.10088, 3024.076, nan, 9, 1512.034, 0.00762873, nan, 87025, 100, 2, 4, 3024.076, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 154.529, nan, 34, 3024.076, nan, 4801.066, 3024.076, 3025.091, 9, 468077.9, 4791.044, nan, 100, 99, 8.162151, nan, 10920.05, 396406.3, nan, 468077.9, 9801, nan, 100
