	precision	name	complex numbers	matrix type	storage	range	method	Schur form	cndNumbers		note	info
21	c	hegvd	yes	Hermitian	full	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory	639
22	z	hegvd	yes	Hermitian	full	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory	640
23	c	hegvx	yes	Hermitian	full	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	641
24	z	hegvx	yes	Hermitian	full	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	642
25	c	hpgv	yes	Hermitian	packed	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	643
26	z	hpgv	yes	Hermitian	packed	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	644
27	c	hpgvd	yes	Hermitian	packed	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory	645
28	z	hpgvd	yes	Hermitian	packed	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory	646
29	c	hpgvx	yes	Hermitian	packed	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	647
30	z	hpgvx	yes	Hermitian	packed	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	648
31	c	hbgv	yes	Hermitian	band	no	Wilkinson's modification to Crawford's algorithm	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard band Hermitian problem	649
32	z	hbgv	yes	Hermitian	band	no	Wilkinson's modification to Crawford's algorithm	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard band Hermitian problem	650
33	c	hbgvd	yes	Hermitian	band	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory	651
34	z	hbgvd	yes	Hermitian	band	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory	652
35	c	hbgvx	yes	Hermitian	band	yes	Wilkinson's modification to Crawford's algorithm	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard band Hermitian problem	653
36	z	hbgvx	yes	Hermitian	band	yes	Wilkinson's modification to Crawford's algorithm	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard band Hermitian problem	654
37	s	ggev	no	general	full	no	QZ	no	no	eigenvalues;optionally left right eigenvectors		
38	d	ggev	no	general	full	no	QZ	no	no	eigenvalues;optionally left right eigenvectors		
39	s	ggevx	no	general	full	no	QZ	no	yes	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers		
40	d	ggevx	no	general	full	no	QZ	no	yes	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers		
41	s	gges	no	general	full	no	QZ	yes	no	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors		
42	d	gges	no	general	full	no	QZ	yes	no	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors		
43	s	ggesx	no	general	full	no	QZ	yes	yes	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers		
44	d	ggesx	no	general	full	no	QZ	yes	yes	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers		
45	c	ggev	yes	general	full	no	QZ	no	no	eigenvalues;optionally left right eigenvectors	simple	
46	z	ggev	yes	general	full	no	QZ	no	no	eigenvalues;optionally left right eigenvectors	simple	
47	c	ggevx	yes	general	full	no	QZ	no	yes	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	expert	
48	z	ggevx	yes	general	full	no	QZ	no	yes	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	expert
49	c	gges	yes	general	full	no	QZ	yes	no	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors	simple
50	z	gges	yes	general	full	no	QZ	yes	no	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors	simple
51	c	ggesx	yes	general	full	no	QZ	yes	yes	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers	expert
52	z	ggesx	yes	general	full	no	QZ	yes	yes	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers	expert
