Name,Row Variance,Col Variance,Diag Variance,Nonzeroes,Dimension,Frobenius Norm,Frobenius norm of symmetric portion,Frobenius norm of anti-symmetric portion,1 Norm,Inf Norm,Inf Norm of Symmetric Portion,Inf norm of anti-symmetric portion,Max nonzeroes per row,Trace,Abs Trace,Min nonzeroes per row,Avg nonzeroes per row,Dummy rows,Dummy rows kind,Numerical Symmetry,Structural Symmetry,Numeric value symmetry,Nonzero pattern symmetry,row diagonal dominance,col diagonal dominance,diagonal average,diagonal sign,diagonal nonzero count,lower bandwidth,upper bandwidth
bfwa62.mtx,0.87596,0.646956,2.64181,450,62,30.6388,30.4424,3.4636,11.8636,15.8535,12.2924,3.97315,21,183.813,183.813,0,7,0,0,0,0,0.968404,0.973333,0,0,2.96473,2,62,49,49
GD99_b.mtx,0.0861816,0.0861816,0.0302734,252,64,16.0624,16.0624,0,4,4,4,0,4,2,2,0,3,0,0,1,1,1,1,0,0,0.03125,1,2,63,63
GD96_c.mtx,240.306,240.306,0,246,65,751.86,751.86,0,335,335,335,0,6,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,63,63
bcsstm02.mtx,0.000438961,0.000438961,0.00218952,66,66,0.822049,0.822049,0,0.172829,0.172829,0.172829,0,1,5.9214,5.9214,0,1,66,1,1,1,1,1,2,2,0.0897181,2,66,0,0
dwt_66.mtx,258.596,258.596,59.2252,270,66,767.143,767.143,0,351,351,351,0,6,4227,4227,0,4,0,0,1,1,1,1,0,0,64.0455,2,66,44,44
sphere2.mtx,315.158,315.158,399.09,392,66,971.187,971.187,0,424,424,424,0,8,831,831,0,5,0,0,1,1,1,1,0,0,12.5909,1,24,19,19
ww_36_pmec_36.mtx,75978.9,58795.5,309.768,1194,66,4089.16,2892.53,2890.41,2001,5285.15,2667.92,2617.94,31,-379.085,379.085,0,18,0,0,0,0,0.508919,0.365159,0,0,5.74371,-1,56,64,65
bcsstk02.mtx,2.72E+06,2.72E+06,7.83E+06,4356,66,52871.7,52871.7,0,31515.5,31515.5,31515.5,0,66,305063,305063,0,66,0,0,1,1,1,1,0,0,4622.17,2,66,65,65
west0067.mtx,0.120038,0.135093,0.000256775,294,67,13.1217,9.26959,9.28724,6.14337,6.59006,5.19902,5.19902,6,0.188005,0.188005,0,4,0,0,0,0,0.503642,0.0408163,0,0,0.00280605,1,2,59,25
GlossGT.mtx,347.515,158.108,0,121,72,578.12,409.155,408.431,254,438,346,346,7,0,0,0,1,0,1,0,0,0.501398,0.0165289,0,0,0,0,0,65,64
dwt_72.mtx,255.434,255.434,462.71,188,72,790.234,790.234,0,324,324,324,0,5,908,908,0,2,0,0,1,1,1,1,0,0,12.6111,1,24,12,12
CAG_mat72.mtx,9.81275,9.25137,11.8974,1012,72,85.1411,76.7366,36.885,184,91,137.5,66.5,25,242,242,0,14,0,0,0,0,0.765266,0.588933,0,0,3.36111,2,72,47,48
GD95_b.mtx,187.1,205.387,1320,95,73,528.618,479.992,221.461,406,280,343,343,7,2409,2409,0,1,17,1,0,0,0.770396,0.368421,0,0,33,1,33,32,27
can_73.mtx,410.637,410.637,630.378,304,73,1049.37,1049.37,0,549,549,549,0,8,1186,1186,0,4,0,0,1,1,1,1,0,0,16.2466,1,28,39,39
lesmis.mtx,20.6932,20.6932,0,508,77,109.234,109.234,0,158,158,158,0,36,0,0,0,6,0,0,1,1,1,1,0,0,0,0,0,61,61
GD02_b.mtx,269.452,266.405,54.5494,212,80,883.304,660.781,586.17,340,349,249,230.5,5,158,158,0,2,0,0,0,0,0.557792,0.146226,0,0,1.975,1,7,63,51
steam3.mtx,3.69E+18,3.69E+18,4.64E+18,314,80,1.85E+10,1.85E+10,3.16E+07,1.74E+10,1.74E+10,1.74E+10,2.89E+07,6,-2.79E+10,2.79E+10,0,3,0,0,0,1,0.998418,1,0,0,3.48E+08,-2,80,40,43
GD97_a.mtx,291.963,291.963,0,326,84,1041.23,1041.23,0,401,401,401,0,6,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,77,77
cat_ears_2_1.mtx,317.446,234.739,254.967,244,85,1031.56,752.479,705.619,292,429,321.5,321.5,6,322,322,0,2,1,1,0,0,0.53427,0.106557,0,0,3.78824,1,6,77,65
ash85.mtx,358.914,358.914,0,395,85,1145.81,1145.81,0,493,493,493,0,7,7140,7140,0,4,0,0,1,1,1,1,0,0,84,2,85,32,32
Sandi_authors.mtx,1.016,1.016,0,248,86,27.4226,27.4226,0,26,26,26,0,12,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,77,77
d_dyn.mtx,146.518,146.518,0.000445263,438,87,176.155,176.155,0,167.831,167.831,167.831,0,11,0.207484,0.207484,0,5,0,0,1,1,1,1,0,0,0.00238487,1,4,86,86
d_dyn1.mtx,1.47E+07,1.47E+07,46.8009,442,87,68567.1,68567.1,0,53072.9,53072.9,53072.9,0,12,-65.6118,65.6118,0,5,0,0,1,1,1,1,0,0,0.754159,-1,4,86,86
dwt_87.mtx,396.053,396.053,609.015,501,87,1441.27,1441.27,0,563,563,563,0,9,1119,1119,0,5,0,0,1,1,1,1,0,0,12.8621,1,27,63,63
tols90.mtx,4.44E+06,4.33E+06,1178.5,1746,90,39607.7,28004.9,28008.9,21453.7,31447.3,15737.1,15711.2,90,-1420.56,1420.56,0,19,0,0,0,0,0.503713,0.298969,0,0,15.784,-1,72,54,71
cage6.mtx,0.00779599,0.00761004,0.0201943,785,93,6.25162,6.23061,0.512187,1,1.3194,1.1597,0.25,13,57,57,0,8,0,0,0,1,0.938415,1,0,0,0.612903,2,93,46,46
can_96.mtx,421.465,421.465,788.472,544,96,1653.56,1653.56,0,564,564,564,0,7,1552,1552,0,5,0,0,1,1,1,1,0,0,16.1667,1,32,31,31
olm100.mtx,3412.27,3375.34,2917.19,396,100,4116.74,2924.65,2897.23,949.231,1049.45,574.83,474.616,6,-2425.36,2425.36,0,3,0,0,0,0,0.548158,0.752525,0,0,24.2536,-2,100,2,3
tub100.mtx,20537.8,20952.1,3.70E+06,396,100,11855.6,11831.1,761.569,2433.19,2032.21,2177.63,283.977,4,-96148.8,96148.8,0,3,0,0,0,1,0.981334,1,0,0,961.488,-2,100,2,2
nos4.mtx,0.00273102,0.00273102,0.010828,594,100,4.18661,4.18661,0,0.943108,0.943108,0.943108,0,7,33.7976,33.7976,0,5,0,0,1,1,1,1,0,0,0.337976,2,100,13,13
rotor1.mtx,2.00E+07,2.00E+07,4.65E+07,708,100,91659.2,81242.9,42438.2,80503.5,80507.3,80003.3,40505.4,41,121996,122020,0,7,0,0,0,0,0.626851,0.559322,0,0,1220.2,3,66,90,93
GD06_theory.mtx,784.083,784.083,0,378,101,1456.1,1456.1,0,1251,1251,1251,0,17,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,100,100
pivtol.mtx,0.0196078,0.0097152,0.00916787,306,102,1.48667,1.25424,0.79816,1.13841,2,1.44339,0.594363,4,4.87418,4.87418,0,3,0,0,0,0,0.920183,0.993464,0,0,0.0477861,2,102,101,101
ck104.mtx,0.229638,0.281841,0.342897,992,104,11.0678,10.8474,2.19743,8.45949,6.32584,7.27623,1.18562,10,69.1159,69.1159,0,9,0,0,0,1,0.921778,1,0,0,0.664576,2,104,55,55
GD99_c.mtx,283.791,262.584,273.442,145,105,974.518,711.856,665.542,338,347,314,314,4,390,390,0,1,0,1,0,0,0.53482,0.0827586,0,0,3.71429,1,6,83,96
n3c6-b1.mtx,0.0190476,0.133333,0,210,105,14.4914,10.583,9.89949,14,2,8,7,2,0,0,0,2,0,0,0,0,0.538095,0.0857143,0,0,0,0,0,104,14
polbooks.mtx,849.482,849.482,0,744,105,1993.53,1993.53,0,1408,1408,1408,0,18,0,0,0,7,0,0,1,1,1,1,0,0,0,0,0,69,69
GD96_b.mtx,157.935,599.611,0,163,111,620.789,442.365,435.537,1091,221,554,554,16,0,0,0,1,0,1,0,0,0.506053,0.0122699,0,0,0,0,0,109,107
bcsstm03.mtx,256060,256060,892115,72,112,10187.2,10187.2,0,5403.5,5403.5,5403.5,0,1,20795.6,20795.6,0,0,72,1,1,1,1,1,1,1,185.675,1,72,0,0
GD98_c.mtx,351.196,351.196,0,334,112,1438.75,1438.75,0,454,454,454,0,5,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,109,109
bcsstk03.mtx,2.67E+20,2.67E+20,9.68E+20,640,112,3.47E+11,3.47E+11,0,2.12E+11,2.12E+11,2.12E+11,0,6,9.32E+11,9.32E+11,0,5,0,0,1,1,1,1,0,0,8.32E+09,2,112,7,7
adjnoun.mtx,651.742,651.742,0,728,112,2057.46,2057.46,0,1406,1406,1406,0,36,0,0,0,6,0,1,1,1,1,1,0,0,0,0,0,103,103
gent113.mtx,836.03,673.601,0,502,113,1801.45,1535.37,942.28,893,1066,671.5,558.5,10,12769,12769,0,4,9,1,0,0,0.68344,0.252988,0,0,113,2,113,101,101
gre_115.mtx,0.0081677,0.00775702,0.0494484,421,115,7.24677,6.8389,2.39689,1,1.46032,1.23016,0.801587,7,63.3492,63.3492,0,3,0,0,0,0,0.790683,0.458432,0,0,0.550863,2,115,39,101
bcspwr03.mtx,600.46,600.46,1329.73,434,118,1954.93,1954.93,0,798,798,798,0,9,2320,2320,0,3,0,0,1,1,1,1,0,0,19.661,1,38,115,115
robot.mtx,110.926,110.943,347.894,870,120,275.722,275.563,9.35313,176.089,174.067,175.078,3,26,845.654,857.654,0,7,0,0,0,0,0.950957,0.289655,0,0,7.14712,3,80,86,85
GD98_b.mtx,294.202,334.495,0,166,121,1024.06,734.533,713.554,419,333,290,290,4,0,0,0,1,0,1,0,0,0.518377,0.13253,0,0,0,0,0,106,106
Journals.mtx,1.07E+07,1.07E+07,2.88E+07,12068,124,86506.8,86506.8,0,132913,132913,132913,0,124,338616,338616,0,97,0,0,1,1,1,1,0,0,2730.77,2,124,123,123
arc130.mtx,3.22E+08,8.38E+07,0.052437,1037,130,488783,345622,345622,105157,1.08E+06,542299,542298,39,139.318,139.318,0,7,1,0,0,0,0.500015,0.783151,0,0,1.07168,2,130,125,105
lns_131.mtx,7.28E+17,3.00E+17,0.210413,536,131,1.52E+10,1.07E+10,1.07E+10,6.32E+09,1.82E+10,9.09E+09,9.09E+09,11,58.8531,59.1469,0,4,43,0,0,0,0.5,0.764925,0,0,0.451503,3,112,111,110
lnsp_131.mtx,7.28E+17,3.00E+17,0.210413,536,131,1.52E+10,1.07E+10,1.07E+10,6.32E+09,1.82E+10,9.09E+09,9.09E+09,11,58.8531,59.1469,0,4,43,0,0,0,0.5,0.764925,0,0,0.451503,3,112,32,25
bcsstm04.mtx,0.00022287,0.00022287,0.00310709,66,132,0.822049,0.822049,0,0.172829,0.172829,0.172829,0,1,5.9214,5.9214,0,0,66,1,1,1,1,1,1,1,0.0448591,1,66,0,0
west0132.mtx,7.46E+08,7.63E+08,0.0208263,413,132,357209,252585,252585,393248,317301,196625,196625,9,2.79568,3.47996,0,3,0,0,0,0,0.500003,0.0338164,0,0,0.0263633,3,6,94,80
bcsstk04.mtx,5.09E+11,5.09E+11,7.40E+12,3648,132,4.19E+07,4.19E+07,0,1.37E+07,1.37E+07,1.37E+07,0,46,2.92E+08,2.92E+08,0,27,0,0,1,1,1,1,0,0,2.21E+06,2,132,47,47
rajat11.mtx,1.64255,1.64255,3.71905,665,135,23.7107,23.7107,0.00213541,15.0011,15.0011,15.0011,0.001912,30,71.4701,71.4701,0,4,0,0,0,0,0.999945,0.908867,0,0,0.529408,1,132,133,133
rw136.mtx,0.0072456,0.00873644,0,479,136,7.23564,5.72203,4.42863,1.56667,1,1.28333,1.2,4,0,0,0,3,0,0,0,0,0.627237,0.442589,0,0,0,0,0,15,16
impcol_c.mtx,103.586,103.586,9.22708,400,137,145.213,106.188,99.0498,120,120,65.75,65.75,8,154,175,0,2,0,0,0,0,0.585645,0.163017,0,0,1.27737,3,51,91,22
bcsstm22.mtx,6.77E-07,6.77E-07,6.78E-06,138,138,0.0367116,0.0367116,0,0.00973767,0.00973767,0.00973767,0,1,0.238424,0.238424,0,1,138,1,1,1,1,1,2,2,0.00172771,2,138,0,0
bcsstk22.mtx,1.59E+11,1.59E+11,1.73E+12,696,138,2.06E+07,2.06E+07,0,6.80E+06,6.80E+06,6.80E+06,0,8,1.32E+08,1.32E+08,0,5,0,0,1,1,1,1,0,0,953875,2,138,111,111
can_144.mtx,903.42,903.42,1887.71,964,144,3124.45,3124.45,0,1118,1118,1118,0,12,3776,3776,0,6,0,0,1,1,1,1,0,0,26.2222,1,52,142,142
lund_b.mtx,115308,115308,2.06E+06,2441,147,28807.5,28807.5,0,9433.68,9433.68,9433.68,0,21,225600,225600,0,16,0,0,1,1,1,1,0,0,1534.7,2,147,23,23
lund_a.mtx,1.64E+14,1.64E+14,4.49E+15,2449,147,1.39E+09,1.39E+09,0,2.85E+08,2.85E+08,2.85E+08,0,21,1.27E+10,1.27E+10,0,16,0,0,1,1,1,1,0,0,8.65E+07,2,147,23,23
cz148.mtx,92.9054,105.762,39544.3,1527,148,1353.13,1346.04,138.302,293.645,218.44,246.822,96.8224,33,-14701.7,14703.7,0,10,1,0,0,0,0.957299,0.481991,0,0,99.3493,3,148,52,53
Trefethen_150.mtx,4899.77,4899.77,67409.3,2040,150,5790.69,5790.69,0,871,871,871,0,15,59269,59269,0,13,0,0,1,1,1,1,0,0,395.127,2,150,128,128
bcsstm05.mtx,0.00555477,0.00555477,0.0457657,153,153,4.66672,4.66672,0,0.927954,0.927954,0.927954,0,1,47.5474,47.5474,0,1,153,1,1,1,1,1,2,2,0.310767,2,153,0,0
bcsstk05.mtx,1.01E+11,1.01E+11,1.15E+12,2423,153,2.21E+07,2.21E+07,0,8.59E+06,8.59E+06,8.59E+06,0,24,1.58E+08,1.58E+08,0,15,0,0,1,1,1,1,0,0,1.03E+06,2,153,28,28
west0156.mtx,2.21E+12,2.21E+12,0,362,156,1.95E+07,1.38E+07,1.38E+07,1.87E+07,1.90E+07,9.51E+06,9.51E+06,7,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,147,109
can_161.mtx,2000.95,2000.95,0,1077,161,3490.45,3490.45,0,2615,2615,2615,0,17,25760,25760,0,6,0,0,1,1,1,1,0,0,160,2,161,79,79
dwt_162.mtx,828.154,828.154,2328.3,862,162,3543.23,3543.23,0,1047,1047,1047,0,8,4607,4607,0,5,0,0,1,1,1,1,0,0,28.4383,1,56,156,156
lop163.mtx,0.00554966,0.0057861,0.0584026,935,163,8.73651,8.20225,3.00828,1.75714,1,1.37857,0.71203,6,71.5571,71.5571,0,5,0,0,0,0,0.840682,0.546524,0,0,0.439001,2,163,36,16
west0167.mtx,5.92E+08,6.05E+08,2.14058,506,167,638922,451786,451786,395629,318719,197815,197814,9,22.5272,30.685,0,3,0,0,0,0,0.50001,0.0433925,0,0,0.183743,3,14,158,20
GD96_d.mtx,701.697,618.635,871.802,228,180,1953.21,1411.93,1349.62,1029,1085,798,798,13,1652,1652,0,1,10,1,0,0,0.532373,0.0921053,0,0,9.17778,1,21,171,157
rajat14.mtx,2.53E+07,2.53E+07,2.85E+07,1475,180,93053,93014.4,2681.11,108204,108204,108204,3393.5,163,147903,147903,0,8,0,0,0,1,0.98085,1,0,0,821.681,1,171,177,177
mcca.mtx,2.03E+36,1.54E+36,2.04E+36,2659,180,2.32E+19,2.20E+19,7.27E+18,2.17E+19,3.10E+19,2.63E+19,5.36E+18,60,-3.53E+19,3.53E+19,0,14,0,0,0,0,0.879423,0.668672,0,0,1.96E+17,3,180,42,65
fs_183_1.mtx,3.66E+15,6.97E+15,3.68E+15,998,183,1.13E+09,9.88E+08,5.47E+08,1.70E+09,8.23E+08,1.26E+09,4.40E+08,71,8.34E+08,8.34E+08,0,5,0,0,0,0,0.741627,0.517306,0,0,4.55E+06,2,183,181,151
fs_183_6.mtx,4.12E+15,7.62E+15,4.14E+15,1000,183,1.18E+09,1.04E+09,5.62E+08,1.85E+09,8.73E+08,1.36E+09,4.91E+08,71,8.84E+08,8.84E+08,0,5,0,0,0,0,0.73558,0.517306,0,0,4.83E+06,2,183,181,151
fs_183_3.mtx,3.87E+15,7.25E+15,3.89E+15,1069,183,1.15E+09,1.01E+09,5.53E+08,1.77E+09,8.46E+08,1.31E+09,4.63E+08,72,8.56E+08,8.56E+08,0,5,0,0,0,0,0.738725,0.517306,0,0,4.68E+06,2,183,181,151
fs_183_4.mtx,3.60E+15,6.89E+15,3.62E+15,1069,183,1.12E+09,9.81E+08,5.46E+08,1.68E+09,8.16E+08,1.25E+09,4.33E+08,72,8.26E+08,8.26E+08,0,5,0,0,0,0,0.742554,0.517306,0,0,4.52E+06,2,183,181,151
gre_185.mtx,0.00547674,0.00467998,0.0522264,975,185,7.97635,7.4787,2.7733,1.00005,1.55844,1.27921,0.59093,6,60.8437,60.8437,0,5,0,0,0,0,0.810641,0.522388,0,0,0.328885,1,155,31,60
can_187.mtx,1175.32,1175.32,2786.68,1412,187,4977.15,4977.15,0,1466,1466,1466,0,10,5518,5518,0,7,0,0,1,1,1,1,0,0,29.508,1,60,63,63
dwt_193.mtx,2184.7,2184.7,0,2477,193,5805.21,5805.21,0,2962,2962,2962,0,21,37056,37056,0,12,0,0,1,1,1,1,0,0,192,2,193,62,62
dwt_198.mtx,1221.43,1221.43,4029.81,1079,198,4814.69,4814.69,0,1532,1532,1532,0,9,8933,8933,0,5,0,0,1,1,1,1,0,0,45.1162,1,85,36,36
jazz.mtx,0.592908,0.592908,0,5484,198,148.108,148.108,0,200,200,200,0,100,0,0,0,27,0,0,1,1,1,1,0,0,0,0,0,192,192
will199.mtx,933.132,873.907,764.521,664,199,3643.06,2628.91,2522.05,1121,1086,857,646.5,7,788,788,0,3,0,0,0,0,0.517601,0.0301205,0,0,3.9598,1,4,169,168
