@relation 'petsc_data-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R1-9,12-13,15-22,24-29,31,33-38,40,42-53'

@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute n-nonzero-diags numeric
@attribute kappa numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}

@data
2314.406,45465,26524340,24.13064,2,19.29646,1752,75008.05,89565283,good
1953.308,20209,0.000298,6.660474,1,6.660474,3152,170.6343,89565283,bad
161.2879,3429,22.42412,5,2,5.431689,580,1.34453,29553943,good
161.2879,3429,22.42412,5,2,5.431689,580,1.34453,80361466,good
460.3435,5976,5.727394,100.9417,2,100.9417,1601,5.147276,89565283,bad
460.3435,5976,5.727811,77.12051,2,77.12051,1601,5.147601,89565283,bad
460.3435,5976,5.730141,77.12127,2,77.12127,1601,6.208929,36564232,bad
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,80361466,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,80361467,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,80361465,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,36564233,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,36564232,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,75830644,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,13323659,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,75830646,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,38678404,good
566.7006,5584,5963364,5.980963,2,7.988063,177,3.850904,29553943,good
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,59072882,bad
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,89565283,bad
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,36564232,good
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,36564234,good
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,37052871,good
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,68908713,bad
6111.994,108359,10193.72,69.9386,2,69.9386,20535,6.187843,49598909,bad
531.1832,56175,2097152,9.976185,2,13.15285,677,6822.776,89565283,bad
531.1832,56175,2097152,9.976185,2,13.15285,677,6822.776,68908713,bad
531.1832,56175,2097152,9.976185,2,13.15285,677,6822.776,30870720,bad
531.1832,56175,2097152,9.976185,2,13.15285,677,6822.776,47942865,bad
531.1832,56175,2097152,9.976185,2,13.15285,677,6822.776,47942866,bad
66.22222,87025,91833.2,1.096194,4,1.393384,9,192461.4,89565283,bad
66.22222,87025,91833.2,1.096194,4,1.393384,9,192461.4,32168838,bad
1295.615,11887,62073.03,13.73004,2,9.192277,4291,7.165538,91068410,good
1295.615,11887,62073.03,13.73004,2,9.192277,4291,7.165538,89565283,bad
1295.615,11887,62073.03,13.73004,2,9.192277,4291,7.165538,30870720,good
1295.615,11887,62073.03,13.73004,2,9.192277,4291,7.165538,47942865,good
1295.615,11887,62073.03,13.73004,2,9.192277,4291,7.165538,47942866,good
211.4095,14259,589.945,6.873879,1,6.873879,232,21.2988,89565283,good
2407.696,24792,2276611,29.69753,2,31.74282,7950,184.4341,59072882,bad
2407.696,24792,2276611,29.69753,2,31.74282,7950,184.4341,89565283,bad
1295.338,11887,62073.03,13.73004,2,9.192277,4290,7.882301,89565283,bad
1295.338,11887,62073.03,13.73004,2,9.192277,4290,7.882301,68908713,good
66.22222,87025,84152.5,1.096194,4,1.393384,9,179235.1,89565283,bad
66.22222,87025,84152.5,1.096194,4,1.393384,9,179235.1,18868441,bad
1295.338,11887,62073.03,13.73004,2,9.192277,4290,7.882301,89565283,bad
66.22222,87025,84463.15,1.096194,4,1.393384,9,179674.6,89565283,bad
66.22222,87025,84463.15,1.096194,4,1.393384,9,179674.6,89269801,bad
66.22222,87025,84463.15,1.096194,4,1.393384,9,179674.6,57331597,bad
66.22222,87025,84463.15,1.096194,4,1.393384,9,179674.6,95762352,bad
66.22222,87025,84463.15,1.096194,4,1.393384,9,179674.6,57331599,bad
66.22222,87025,84463.15,1.096194,4,1.393384,9,179674.6,29030069,bad
66.22222,87025,675.1248,1.192953,4,1.356471,9,122483.7,89565283,bad
66.22222,87025,675.1248,1.192953,4,1.356471,9,122483.7,43373441,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,17734818,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,89565283,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,26415433,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,44114476,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,32874610,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,29030070,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,59072884,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,36564232,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,1216556,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,95762355,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,89269801,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,53362206,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,44114477,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,5890862,bad
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,38678401,good
2408.001,24809,2270087,28.94268,2,26.49182,7953,173.7511,30870722,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,88865078,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,89565283,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,47942864,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,47942865,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,47942866,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,49834419,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,49834418,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,75830647,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,29553941,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,29553942,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,29553944,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,91036839,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,53362206,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,32874609,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,45869637,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,18524981,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,80361465,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,69654760,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,12321508,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,37052870,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,89269804,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,43373443,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,59072882,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,80361466,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,80361464,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,18868444,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,91068410,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,1216556,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,64278029,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,26415433,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,5890863,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,5890862,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,38678401,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,17734818,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,30870721,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,30870720,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,18868441,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,44114476,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,36564232,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,75830644,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,13323659,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,75830646,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,95762355,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,57331598,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,32168837,good
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,68908713,bad
1711.529,38692,386.2931,4.707724,2,4.817186,2929,64.30901,30870722,bad
4480.759,79834,929504400,7.426279,2,5.294551,1737,1.709329,89565283,bad
3137.309,55738,366869700,7.027274,2,4.933308,1461,1.230537,89565283,bad
3137.309,55738,366869700,7.027274,2,4.933308,1461,1.230537,30870720,good
3137.309,55738,366869700,7.027274,2,4.933308,1461,1.230537,91068410,bad
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,80361466,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,80361467,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,80361465,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,36564233,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,36564232,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,75830644,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,13323659,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,75830646,good
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,38678404,bad
30.05505,1764,21453.66,5.980963,2,7.988063,109,12.01545,29553943,good
813.4031,98213,2086.87,5.173044,1,6.190687,459,553.3918,89565283,good
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,59072883,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,59072882,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,59072881,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,57331598,good
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,26415433,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,44114476,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,5890862,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,32874609,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,91068410,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,89565283,good
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,1216556,good
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,64278029,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,5890863,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,17887723,bad
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,68908713,good
541.0123,59920,1645.075,6.366517,1,7.588062,406,247.0458,53362206,bad
2031.867,35962,128724000,6.57851,2,4.530277,1185,2.008423,89565283,bad
2031.867,35962,128724000,6.57851,2,4.530277,1185,2.008423,68908713,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,88865078,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,89565283,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,47942864,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,47942865,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,47942866,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,49834419,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,49834418,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,88865077,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,32874610,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,75830647,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,85483012,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,29553941,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,17887723,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,29553944,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,29030069,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,29553942,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,53362206,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,32874609,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,45869637,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,18524981,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,80361465,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,90197664,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,90197665,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,69654760,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,12321508,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,85490469,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,91036839,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,89269804,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,19932322,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,19932324,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,8793454,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,59072882,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,59072881,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,80361466,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,80361464,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,17734818,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,49834420,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,29030070,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,91068410,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,1216556,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,64278029,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,75830646,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,26415433,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,5890863,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,5890862,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,38678401,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,8793453,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,18868444,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,30870721,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,30870720,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,18868441,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,44114476,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,18868442,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,49598909,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,36564232,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,75830644,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,13323659,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,43373441,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,95762355,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,45869640,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,85490471,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,32168837,bad
66.22222,87025,13238.71,1.274212,4,1.425323,9,1.327588,30870722,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,59072882,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,89565283,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,85490472,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,36564232,good
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,36564234,good
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,37052871,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,29553943,good
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,49598909,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,29553944,good
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,68908713,bad
6771.777,73041,252568.1,8,1,9.028773,4775,513.3033,38678403,good
5837.478,42908,888.1629,8,1,9.655902,4268,60847670000,89565283,bad
5837.478,42908,888.1629,8,1,9.655902,4268,60847670000,49598909,bad
66.22222,87025,675.1248,1.192953,4,1.356471,9,122483.6,89565283,bad
66.22222,87025,675.1248,1.192953,4,1.356471,9,122483.6,18868441,bad
102.0418,1608,2004013,36.09691,1,36.09691,311,23837200,89565283,bad
102.0418,1608,2004013,36.09691,1,36.09691,311,23837200,49598909,bad
2407.734,24809,2328216,29.24287,2,26.82188,7952,253.8258,89565283,bad
4016.853,35507,4681992,8,1,10.26951,2603,4.702683E14,89565283,bad
4016.853,35507,4681992,8,1,10.26951,2603,4.702683E14,49598909,bad
4682.132,31220,205057,16.33092,1,17.5344,3070,36963920,89565283,bad
4682.132,31220,205057,16.33092,1,17.5344,3070,36963920,49598909,bad
2718.835,244606,34.01184,300.0004,1,300.0004,8201,1.232058,89565283,bad
4550.602,34714,18710.87,8,1,9.653214,3393,6.244176,89565283,bad
4550.602,34714,18710.87,8,1,9.653214,3393,6.244176,49598909,bad
6003.076,41440,44090.57,8,1,9.225167,4302,22695430,89565283,bad
6003.076,41440,44090.57,8,1,9.225167,4302,22695430,49598909,bad
2408.001,24809,2316742,31.53712,2,29.00401,7953,183.7622,30870722,good
2408.001,24809,2316742,31.53712,2,29.00401,7953,183.7622,89565283,bad
102.0418,1608,2004013,36.09691,1,36.09691,311,12225160,89565283,bad
102.0418,1608,2004013,36.09691,1,36.09691,311,12777560,89565283,bad
2408.001,24809,2316742,31.49234,2,28.97118,7953,183.7635,89565283,bad
2408.001,24809,2316742,31.49234,2,28.97118,7953,183.7635,44114477,bad
66.22222,87025,760.8224,1.032237,4,1.140008,9,65554.59,89565283,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,53362206,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,59072881,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,30870720,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,26415433,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,44114476,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,47942866,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,59072882,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,29030070,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,59072884,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,36564232,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,89565283,bad
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,1216556,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,95762355,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,89269801,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,89269804,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,91068410,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,38678401,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,68908713,good
2424.118,28342,2298394,27.23757,2,26.28066,8286,1.255724,47942865,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,88865078,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,89565283,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,47942864,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,47942865,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,47942866,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,49834419,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,49834418,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,75830647,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,8793454,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,29553941,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,17887723,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,29553944,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,49598909,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,91036839,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,53362206,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,32874609,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,45869637,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,18524981,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,80361465,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,69654760,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,12321508,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,89269804,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,30870722,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,19932322,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,19932324,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,59072882,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,59072881,bad
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,80361466,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,80361464,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,18868444,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,49834420,good
125.9652,112505,844961.1,50.57422,1,50.57422,115,17787.55,29030070,bad
