% Generated on 2015-06-01 17:06:35,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod -t"
lambda-max-by-magnitude-im,right-bandwidth,n-nonzero-diags,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,nnzeros,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,nnzlow,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,colour-offsets,n-colours,diagonal-variance,departure,dummy-rows-kind,kappa,sigma-max,colour-set-sizes,sigma-diag-dist,n-ritz-values,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lambda-max-by-real-part-im,lambda-max-by-real-part-re,nnzdia,avgdistfromdiag, time, class
?,4535,7952,?,2358,13,?,4,4.607859e-19,?,9622,2863795.0,2407.734,24809,4.607859e-19,?,5307,2276611.0,937583.4,4535,24809,?,0.03507346,-4487511.0,?,?,9879,?,4.607859e-19,28.93907,186.1699,?,2386,5307,0.4833333,186.1699,2,1,26.49207,5308,?,6,2.541382,8690481.0,?,194.9634,2963795.0,?,14946190.0,240,671.2212,100000.0,-46.87728,8691634.0,4487511.0,?,490.6939,5308,4,0.07630389,bad
?,5307,8309,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,28848,?,1.962205e-05,-76988.58,?,?,13776,?,33.39287,29.3272,0.1041538,?,2797,4535,0.4958333,0.06974074,2,?,27.41537,5308,?,6,0.001216398,204285.1,?,1.571096,50850.97,?,12696190.0,240,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,5,40.93772,bad
?,5307,8309,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,28848,?,1.962205e-05,-76988.58,?,?,13776,?,33.39287,29.3272,0.1041538,?,2797,4535,0.4958333,0.06974074,2,?,27.41537,5308,?,6,0.001216398,204285.1,?,1.571096,50850.97,?,12696190.0,240,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,5,0.03108928,bad
?,5307,8309,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,28848,?,1.962205e-05,-76988.58,?,?,13776,?,33.39287,29.3272,0.1041538,?,2797,4535,0.4958333,0.06974074,2,?,27.41537,5308,?,6,0.001216398,204285.1,?,1.571096,50850.97,?,12696190.0,240,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,5,0.07758302,bad
?,4535,7949,?,2358,13,?,4,3.252607e-19,?,9616,2855328.0,2407.284,24790,3.252607e-19,?,5307,2270087.0,936210.4,4535,24790,?,0.03505887,-4474379.0,?,?,9866,?,3.252607e-19,28.94268,186.0925,?,2386,5307,0.4958333,186.0925,2,1,26.7714,5308,?,6,2.540319,8657358.0,?,203.6607,2955328.0,?,14934340.0,240,673.8211,100000.0,-51.98303,8658516.0,4474379.0,?,488.377,5308,4,39.88489,bad
?,4535,7949,?,2358,13,?,4,3.252607e-19,?,9616,2855328.0,2407.284,24790,3.252607e-19,?,5307,2270087.0,936210.4,4535,24790,?,0.03505887,-4474379.0,?,?,9866,?,3.252607e-19,28.94268,186.0925,?,2386,5307,0.4958333,186.0925,2,1,26.7714,5308,?,6,2.540319,8657358.0,?,203.6607,2955328.0,?,14934340.0,240,673.8211,100000.0,-51.98303,8658516.0,4474379.0,?,488.377,5308,4,0.07181823,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.06859299,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,39.88187,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,39.82925,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.7652941,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,49.90883,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.01769478,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.08806102,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.03505708,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.07595597,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,44.25519,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.01763353,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.03932098,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.09028101,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.3504488,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.02038888,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,0.01777807,bad
?,5789,1752,?,4,60,?,7,1.0,?,14185,11223000.0,2314.406,45465,4.072221e-07,?,5837,26524340.0,11223100.0,5789,45465,?,41691.86,-37533560.0,?,?,25430,?,1.0,24.13064,243897400.0,?,5850,5837,0.09090909,-243890600.0,2,?,19.29646,5850,?,13,400518.0,67964580.0,?,75008.05,18445420.0,?,16429140.0,44,3828716.0,100.3602,-3828656.0,74617540.0,37533560.0,?,10.77404,5850,7,0.06470509,bad
?,864,1601,?,224,36,?,4,2.871694,?,2118,0.4336325,460.3435,5976,0.1818182,?,864,5.727397,1.235709,864,5976,?,0.2580164,-1.0,?,?,2638,?,2.871661,77.1378,314.78,?,1154,864,0.902439,314.78,2,1,77.1378,1220,?,5,0.2622148,0.002236145,?,3.580325,2.871694,?,475474.4,41,1.935847,?,0.935847,18.82156,5.727387,?,2.871694,1220,4,3.491508,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.4420763,460.3435,5976,0.1818182,?,864,5.727394,0.9999736,864,5976,?,0.2578104,-1.0,?,?,2638,?,2.87165,100.9417,314.5286,?,1154,864,0.6,314.5286,2,1,100.9417,1220,?,5,0.2616712,0.0009880488,?,5.147276,2.871652,?,475474.4,20,1.935826,?,0.9358259,18.80821,5.727273,?,2.871652,1220,4,3.043913,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.5330755,460.3435,5976,0.1818182,?,864,5.727811,1.090976,864,5976,?,0.2578108,-1.0,?,?,2638,?,2.87165,77.12051,314.5292,?,1154,864,0.6,314.5292,2,1,77.12051,1220,?,5,0.2616699,0.0007252809,?,5.147601,2.87185,?,475474.4,20,1.935925,?,0.9359251,18.80819,5.727749,?,2.87185,1220,4,1.997736,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.5330757,460.3435,5976,0.1818182,?,864,5.735498,1.090977,864,5976,?,0.2578168,-1.0,?,?,2638,?,2.87165,168.7222,314.5365,?,1154,864,0.6,314.5365,2,1,168.7222,1220,?,5,0.2616946,0.0007170933,?,5.153464,2.875123,?,475474.4,20,1.937561,?,0.9375613,18.80871,5.735455,?,2.875123,1220,4,1.900591,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.6282798,460.3435,5976,0.1818182,?,864,5.730141,1.090979,864,5976,?,0.2578122,-1.0,?,?,2638,?,2.87165,77.12127,314.5309,?,1154,864,0.6415094,314.5309,2,1,77.12127,1220,?,5,0.2616777,0.0001780606,?,6.208929,2.872865,?,475474.4,53,1.936432,?,0.9364324,18.80835,5.730136,?,2.872865,1220,4,1.049155,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,0.8121359,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,0.6462805,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,0.04055203,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,0.04128557,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,0.0598684,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,0.1225066,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,132.6927,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,0.7139274,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,0.147994,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,0.1087422,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,0.1438552,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,0.1473224,bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49223.42,66.22222,87025,126.8214,?,100,91833.2,49223.73,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192458.7,60449.83,?,10920.05,31,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,71.1863,bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49223.42,66.22222,87025,126.8214,?,100,91833.2,49223.73,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192458.7,60449.83,?,10920.05,31,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,0.1404518,bad
?,14689,4124,?,4,149,?,10,2.0,?,63269,77514.71,6721.188,157990,0.5,?,14721,80570.55,2391.38,14689,157990,?,2.484544,-81481.08,?,?,79961,?,1.0,17.32272,36671.88,?,14760,14721,0.96,27251.94,2,?,17.9674,14760,?,18,3.134378,72073.54,?,51.77646,79999.95,?,117992900.0,50,39.03787,2485.201,-8.96193,129710.2,81498.66,?,32.0,14760,10,0.02822094,bad
?,100,9,?,99,9,1,8,86062.62,?,38612,1263.576,66.22222,87025,79.80454,?,100,132173.3,69779.53,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.256096,86116.34,?,10920.05,26,8773.33,?,77289.29,520020.5,132392.0,?,86062.62,9801,8,0.3092129,bad
?,100,9,?,99,9,1,8,86062.62,?,38612,1263.576,66.22222,87025,79.80454,?,100,132173.3,69779.53,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.256096,86116.34,?,10920.05,26,8773.33,?,77289.29,520020.5,132392.0,?,86062.62,9801,8,71.18222,bad
?,6527,2929,?,57,68,?,5,-1.068887,?,8207,1136620.0,1711.529,38692,-5.018548e-06,?,6528,949602.7,1136623.0,6527,38692,?,2026.361,-2563731.0,?,?,23711,?,1.0,10.7586,13726570.0,?,6774,6528,0.5528455,9749812.0,2,?,10.7586,6774,?,10,32283.26,6886530.0,?,237587.1,1265421.0,?,7278564.0,123,360839.4,5.51209,258796.5,7383228.0,2563734.0,?,619635.9,6774,5,50.4422,bad
