% Generated on 2015-05-27 17:55:34
% Location dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py
% ../scripts/anamod2arff.py -f ../anamod-features -p ../timing -b 350
@RELATION petsc_data
@ATTRIBUTE lambda-max-by-magnitude-im NUMERIC
@ATTRIBUTE right-bandwidth NUMERIC
@ATTRIBUTE n-nonzero-diags NUMERIC
@ATTRIBUTE n-dummy-rows NUMERIC
@ATTRIBUTE blocksize NUMERIC
@ATTRIBUTE max-nnzeros-per-row NUMERIC
@ATTRIBUTE diag-definite NUMERIC
@ATTRIBUTE avgnnzprow NUMERIC
@ATTRIBUTE lambda-max-by-magnitude-re NUMERIC
@ATTRIBUTE ellipse-cy NUMERIC
@ATTRIBUTE nnzup NUMERIC
@ATTRIBUTE ruhe75-bound NUMERIC
@ATTRIBUTE avg-diag-dist NUMERIC
@ATTRIBUTE nnz NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-re NUMERIC
@ATTRIBUTE lambda-max-by-im-part-im NUMERIC
@ATTRIBUTE left-bandwidth NUMERIC
@ATTRIBUTE norm1 NUMERIC
@ATTRIBUTE sigma-min NUMERIC
@ATTRIBUTE upband NUMERIC
@ATTRIBUTE nnzeros NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-im NUMERIC
@ATTRIBUTE diagonal-average NUMERIC
@ATTRIBUTE diagonal-dominance NUMERIC
@ATTRIBUTE dummy-rows NUMERIC
@ATTRIBUTE ritz-values-r NUMERIC
@ATTRIBUTE nnzlow NUMERIC
@ATTRIBUTE colours NUMERIC
@ATTRIBUTE lambda-max-by-im-part-re NUMERIC
@ATTRIBUTE col-variability NUMERIC
@ATTRIBUTE trace-abs NUMERIC
@ATTRIBUTE ritz-values-c NUMERIC
@ATTRIBUTE diag-zerostart NUMERIC
@ATTRIBUTE loband NUMERIC
@ATTRIBUTE positive-fraction NUMERIC
@ATTRIBUTE trace NUMERIC
@ATTRIBUTE min-nnzeros-per-row NUMERIC
@ATTRIBUTE diagonal-sign NUMERIC
@ATTRIBUTE row-variability NUMERIC
@ATTRIBUTE nrows NUMERIC
@ATTRIBUTE colour-offsets NUMERIC
@ATTRIBUTE n-colours NUMERIC
@ATTRIBUTE diagonal-variance NUMERIC
@ATTRIBUTE departure NUMERIC
@ATTRIBUTE dummy-rows-kind NUMERIC
@ATTRIBUTE kappa NUMERIC
@ATTRIBUTE sigma-max NUMERIC
@ATTRIBUTE colour-set-sizes NUMERIC
@ATTRIBUTE sigma-diag-dist NUMERIC
@ATTRIBUTE n-ritz-values NUMERIC
@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE class {good,bad}
@DATA
?,4535,7949,?,2358,13,?,4,3.252607e-19,?,9616,2855328.0,2407.284,24790,3.252607e-19,?,5307,2270087.0,936210.4,4535,24790,?,0.03505887,-4474379.0,?,?,9866,?,3.252607e-19,28.94268,186.0925,?,2386,5307,0.4958333,186.0925,2,1,26.7714,5308,?,6,2.540319,8657358.0,?,203.6607,2955328.0,?,14934340.0,240,673.8211,100000.0,-51.98303,8658516.0,4474379.0,?,488.377,5308,4,bad
?,4535,7953,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,24809,?,0.03505887,-4474379.0,?,?,9879,?,6.505213e-19,28.94268,186.0925,?,2386,5307,0.475,186.0925,2,1,26.49182,5308,?,6,2.540319,8657347.0,?,173.7511,2955328.0,?,14946320.0,240,602.1086,100000.0,19.07438,8658504.0,4474379.0,?,488.377,5308,4,bad
?,5789,1752,?,4,60,?,7,1.0,?,14185,11223000.0,2314.406,45465,4.072221e-07,?,5837,26524340.0,11223100.0,5789,45465,?,41691.86,-37533560.0,?,?,25430,?,1.0,24.13064,243897400.0,?,5850,5837,0.09090909,-243890600.0,2,?,19.29646,5850,?,13,400518.0,67964580.0,?,75008.05,18445420.0,?,16429140.0,44,3828716.0,100.3602,-3828656.0,74617540.0,37533560.0,?,10.77404,5850,7,bad
?,864,1601,?,224,36,?,4,2.871694,?,2118,0.4336325,460.3435,5976,0.1818182,?,864,5.727397,1.235709,864,5976,?,0.2580164,-1.0,?,?,2638,?,2.871661,77.1378,314.78,?,1154,864,0.902439,314.78,2,1,77.1378,1220,?,5,0.2622148,0.002236145,?,3.580325,2.871694,?,475474.4,41,1.935847,?,0.935847,18.82156,5.727387,?,2.871694,1220,4,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.4420763,460.3435,5976,0.1818182,?,864,5.727394,0.9999736,864,5976,?,0.2578104,-1.0,?,?,2638,?,2.87165,100.9417,314.5286,?,1154,864,0.6,314.5286,2,1,100.9417,1220,?,5,0.2616712,0.0009880488,?,5.147276,2.871652,?,475474.4,20,1.935826,?,0.9358259,18.80821,5.727273,?,2.871652,1220,4,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.5330755,460.3435,5976,0.1818182,?,864,5.727811,1.090976,864,5976,?,0.2578108,-1.0,?,?,2638,?,2.87165,77.12051,314.5292,?,1154,864,0.6,314.5292,2,1,77.12051,1220,?,5,0.2616699,0.0007252809,?,5.147601,2.87185,?,475474.4,20,1.935925,?,0.9359251,18.80819,5.727749,?,2.87185,1220,4,bad
?,864,1601,?,224,36,?,4,2.871652,?,2118,0.5330757,460.3435,5976,0.1818182,?,864,5.735498,1.090977,864,5976,?,0.2578168,-1.0,?,?,2638,?,2.87165,168.7222,314.5365,?,1154,864,0.6,314.5365,2,1,168.7222,1220,?,5,0.2616946,0.0007170933,?,5.153464,2.875123,?,475474.4,20,1.937561,?,0.9375613,18.80871,5.735455,?,2.875123,1220,4,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,bad
?,13435,20533,?,6904,28,?,8,-3.605434e-08,?,39538,14127.24,6111.282,108359,-3.605434e-08,?,11773,10193.72,689.1786,13435,108359,?,3.328373e-06,-20000.01,?,?,55385,?,7.974986,69.9386,0.04472002,?,6927,11773,0.4238095,0.02472002,2,?,69.9386,13436,?,8,0.0002456726,51148.49,?,6.386295,14142.8,?,79673100.0,210,7.974859,15.5576,0.000127611,51148.52,20000.01,?,7.974986,13436,8,bad
?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,bad
?,100,9,?,99,9,1,8,60418.4,?,38612,49223.42,66.22222,87025,126.8214,?,100,91833.2,49223.73,100,87025,?,1683.587,-90.24792,?,?,38612,?,60147.19,1.096194,16500840.0,?,9801,100,1.0,16500840.0,4,2,1.393384,9801,?,8,3695.628,9198.523,?,192458.7,60449.83,?,10920.05,31,30209.04,?,30209.36,424689.8,91923.45,?,60418.4,9801,8,bad
?,14689,4124,?,4,149,?,10,2.0,?,63269,77514.71,6721.188,157990,0.5,?,14721,80570.55,2391.38,14689,157990,?,2.484544,-81481.08,?,?,79961,?,1.0,17.32272,36671.88,?,14760,14721,0.96,27251.94,2,?,17.9674,14760,?,18,3.134378,72073.54,?,51.77646,79999.95,?,117992900.0,50,39.03787,2485.201,-8.96193,129710.2,81498.66,?,32.0,14760,10,bad
?,100,9,?,99,9,1,8,86062.62,?,38612,1263.576,66.22222,87025,79.80454,?,100,132173.3,69779.53,100,87025,?,1833.956,-218.6362,?,?,38612,?,84672.36,1.096194,17974600.0,?,9801,100,1.0,17974600.0,4,2,1.393387,9801,?,8,4626.598,14127.22,?,1.256096,86116.34,?,10920.05,26,8773.33,?,77289.29,520020.5,132392.0,?,86062.62,9801,8,bad
?,6527,2929,?,57,68,?,5,-1.068887,?,8207,1136620.0,1711.529,38692,-5.018548e-06,?,6528,949602.7,1136623.0,6527,38692,?,2026.361,-2563731.0,?,?,23711,?,1.0,10.7586,13726570.0,?,6774,6528,0.5528455,9749812.0,2,?,10.7586,6774,?,10,32283.26,6886530.0,?,237587.1,1265421.0,?,7278564.0,123,360839.4,5.51209,258796.5,7383228.0,2563734.0,?,619635.9,6774,5,good
?,100,9,?,99,9,1,8,56267.25,?,38612,46646.47,66.22222,87025,100.4695,?,100,84152.5,46646.78,100,87025,?,1666.789,-0.07760163,?,?,38612,?,56267.25,1.096194,16336200.0,?,9801,100,1.0,16336200.0,4,2,1.393384,9801,?,8,3565.913,8408.434,?,179235.1,56316.53,?,10920.05,30,28133.47,?,28133.78,411735.3,84152.58,?,56267.25,9801,8,bad
?,100,9,?,99,9,1,8,56403.24,?,38612,46810.06,66.22222,87025,79.79329,?,100,84463.15,46810.37,100,87025,?,1667.223,-12.88893,?,?,38612,?,56403.24,1.096194,16340450.0,?,9801,100,1.0,16340450.0,4,2,1.393384,9801,?,8,3569.828,8436.874,?,179668.7,56450.71,?,10920.05,30,28201.46,?,28201.78,412120.8,84476.04,?,56403.24,9801,8,bad
?,100,9,?,99,9,1,8,427.1599,?,38612,345.8087,66.22222,87025,3.75581,?,100,675.1248,345.8122,100,87025,?,9.741228,-2.830544,?,?,38612,?,427.1599,1.192953,95473.78,?,9801,100,1.0,95473.78,4,2,1.356471,9801,?,8,22.17429,81.15664,?,122483.7,427.303,?,10920.05,31,213.5782,?,213.5817,2529.861,676.6892,?,427.1599,9801,8,bad
?,6527,2929,?,57,68,?,5,2.0,?,8207,168.3498,1711.529,38692,-0.6577911,?,6528,386.2931,172.3305,6527,38692,?,3.360932,-250.0158,?,?,23711,?,1.0,4.707724,22766.95,?,6774,6528,0.9777778,20470.68,2,?,4.817186,6774,?,10,15.46459,720.3709,?,64.30901,256.1053,?,7278564.0,45,129.9904,2.135964,126.0096,1488.598,336.0388,?,256.0,6774,5,bad
?,5726,1737,?,1,7,?,4,3361.548,?,39434,728928400.0,4480.759,79834,3361.548,?,15713,929504400.0,97440740.0,5726,79834,?,?,-763132100.0,?,?,23972,?,3361.548,7.426279,?,?,?,15713,0.5241379,?,2,10,5.294551,16428,?,5,?,1170888000.0,?,1.709329,728932200.0,?,68914140.0,145,3613.923,3634.496,-78.96795,1170888000.0,763132100.0,?,3361.548,16428,4,bad
?,4052,1461,?,1,7,?,4,-314.594,?,27110,290107900.0,3137.309,55738,-314.594,?,10937,366869700.0,52024770.0,4052,55738,?,?,-304505200.0,?,?,17096,?,971.1612,7.027274,?,?,?,10937,0.4958333,?,2,10,4.933308,11532,?,5,?,457184900.0,?,1.364181,290109000.0,?,33676850.0,240,1131.827,1063.404,21.61574,457184900.0,304505200.0,?,971.1612,11532,4,bad
?,256,459,1,20,82,?,23,-808.1069,?,88303,727.1585,813.4031,98213,1.0,?,3934,2086.87,88.26804,256,98213,?,0.9369409,-4497.982,?,?,5776,?,3.773655,5.173044,3873.314,?,4134,3934,0.09836066,-3835.747,1,?,6.190687,4134,?,22,19.12173,1557.521,?,553.3918,1535.265,?,4126025.0,61,405.9403,1.456997,-402.1666,2060.921,4497.982,?,3.773655,4134,23,good
?,242,406,1,15,62,?,18,-712.3087,?,53892,482.8417,541.0123,59920,1.0,?,2986,1645.075,37.27685,242,59920,?,0.6574629,-2673.767,?,?,2830,?,12.28778,6.366517,2102.566,?,3198,2986,0.1320755,-2012.996,1,?,7.588062,3198,?,16,14.86605,1225.948,?,247.0458,1195.15,?,1775019.0,53,362.2983,2.883045,-350.0105,1574.962,2673.767,?,12.28778,3198,18,good
?,2666,1185,?,1,7,?,4,-475.1529,?,17090,102915800.0,2031.867,35962,-475.1529,?,7025,128724000.0,16826100.0,2666,35962,?,?,-108350400.0,?,?,11372,?,255.3363,6.57851,?,?,?,7025,0.4958333,?,2,10,4.530277,7500,?,5,?,158801600.0,?,2.008423,102916300.0,?,14068480.0,240,475.488,475.8314,0.01827377,158801600.0,108350400.0,?,475.2239,7500,4,bad
?,100,9,?,99,9,1,8,8293.715,?,38612,609.8284,66.22222,87025,4.305043,?,100,13238.71,6857.033,100,87025,?,113.86,-38.3144,?,?,38612,?,8293.715,1.274212,1115942.0,?,9801,100,1.0,1115942.0,4,2,1.425323,9801,?,8,415.1602,1534.61,?,1.327588,8296.49,?,10920.05,31,1023.255,?,7270.46,44983.41,13265.9,?,8293.715,9801,8,bad
?,100,9,?,99,9,1,8,30.25884,?,38612,25.07597,66.22222,87025,3.878899,?,100,36.94624,25.07946,100,87025,?,5.403367,-1.01208e-08,?,?,38612,?,30.25884,1.039372,52958.4,?,9801,100,1.0,52958.4,4,2,1.047308,9801,?,8,2.857399,3.03247,?,8671.071,30.26015,?,10920.05,30,15.12768,?,15.13117,641.2287,36.82602,?,30.25884,9801,8,bad
?,100,9,?,99,9,1,8,1158.432,?,38612,954.2355,66.22222,87025,4.856918,?,100,1819.361,954.243,100,87025,?,25.71866,-5.197597,?,?,38612,?,1158.432,1.115002,252068.6,?,9801,100,1.0,252068.6,4,2,1.257349,9801,?,8,61.83317,211.4346,?,155326.5,1158.82,?,10920.05,32,579.2124,?,579.2198,6995.923,1823.054,?,1158.432,9801,8,bad
?,100,9,?,99,9,1,8,3024.076,?,38612,2360.39,66.22222,87025,4.410227,?,100,4791.044,2360.397,100,87025,?,47.75817,-14.10088,?,?,38612,?,3024.076,1.199713,468077.9,?,9801,100,1.0,468077.9,4,2,1.354117,9801,?,8,154.529,560.8396,?,396406.3,3025.091,?,10920.05,34,1512.034,8.162151,1512.042,16893.64,4801.066,?,3024.076,9801,8,bad
?,100,9,?,99,9,1,8,254.2017,?,38612,215.1807,66.22222,87025,4.850837,?,100,388.2367,215.1882,100,87025,?,16.83003,-0.7180107,?,?,38612,?,253.1138,0.9638526,164951.1,?,9801,100,1.0,164951.1,4,2,1.012551,9801,?,8,19.62649,37.20261,?,33867.36,254.2823,?,10920.05,19,127.0971,?,127.1046,2708.055,388.7847,?,254.2017,9801,8,bad
?,100,9,?,99,9,1,8,490.068,?,38612,417.1442,66.22222,87025,4.816579,?,100,760.8224,417.1517,100,87025,?,18.7483,-1.923689,?,?,38612,?,489.6732,1.032237,183752.1,?,9801,100,1.0,183752.1,4,2,1.140008,9801,?,8,29.40092,83.41673,?,65345.11,490.338,?,10920.05,26,245.0302,?,245.0377,3647.064,762.1984,?,490.068,9801,8,bad
?,100,9,?,99,9,1,8,180.9453,?,38612,158.0365,66.22222,87025,4.818934,?,100,273.16,158.044,100,87025,?,16.44538,-0.2409192,?,?,38612,?,180.4886,0.9234984,161181.1,?,9801,100,1.0,161181.1,4,2,0.9604615,9801,?,8,17.60646,24.08351,?,24106.34,180.9742,?,10920.05,20,90.46891,?,90.47641,2524.975,273.3755,?,180.9453,9801,8,bad
?,?,1,4257,1,1,1,1,1.837794e-08,?,?,2.175294e-06,?,4257,2.02497e-10,?,?,2.072385e-05,1.804897e-05,?,4257,?,3.40668e-06,5.502635e-13,?,?,?,?,2.740314e-10,12.25943,0.01450224,?,4257,?,1.0,0.01450224,1,2,12.25943,4257,?,1,5.642951e-06,?,1,1.305548,2.072385e-05,?,?,36,2.425086e-06,?,1.829876e-05,0.0004300694,2.072385e-05,?,2.072385e-05,4257,1,bad
?,?,4775,5237,1,668,?,7,0.03790773,?,?,4603.263,6771.777,73041,-1e-08,?,9188,252568.1,5095.306,?,73041,?,41.9065,-1239.857,?,?,63770,?,0.0754707,8.0,388515.1,?,9271,9188,1.0,388515.1,1,?,9.028773,9271,?,2,2660.754,136.0269,1,513.3033,252567.1,?,185421300.0,86,126037.5,?,126529.6,256225.3,252567.1,?,252567.1,9271,7,bad
?,?,4775,5237,1,668,?,7,0.03790773,?,?,4603.263,6771.777,73041,-1e-08,?,9188,252568.1,5095.306,?,73041,?,41.9065,-1239.857,?,?,63770,?,0.0754707,8.0,388515.1,?,9271,9188,1.0,388515.1,1,?,9.028773,9271,?,2,2660.754,136.0269,1,513.3033,252567.1,?,185421300.0,86,126037.5,?,126529.6,256225.3,252567.1,?,252567.1,9271,7,bad
?,?,4268,4820,1,818,?,5,0.1779686,?,?,214.2036,5837.478,42908,-1e-08,?,8031,888.1629,214.2036,?,42908,?,2.144334,-1681.0,?,?,34781,?,0.1672585,8.0,17427.01,?,8127,8031,0.9692308,17427.01,1,?,9.655902,8127,?,2,15.00626,801.9926,1,60847670000.0,608.3476,?,137932600.0,65,304.1734,?,304.1734,1584.507,1681.0,?,608.3468,8127,5,bad
?,?,4268,4820,1,818,?,5,0.1779686,?,?,214.2036,5837.478,42908,-1e-08,?,8031,888.1629,214.2036,?,42908,?,2.144334,-1681.0,?,?,34781,?,0.1672585,8.0,17427.01,?,8127,8031,0.9692308,17427.01,1,?,9.655902,8127,?,2,15.00626,801.9926,1,60847670000.0,608.3476,?,137932600.0,65,304.1734,?,304.1734,1584.507,1681.0,?,608.3468,8127,5,bad
?,202,311,4,21,13,?,3,1000.0,?,581,23638.81,102.0418,1608,-5.15763e-13,?,329,2004013.0,23638.89,202,1608,?,30361.99,-30291.55,?,?,597,?,1.0,36.09691,13055660.0,?,430,329,0.9393939,13055660.0,1,1,36.09691,430,?,4,138532.3,36698.58,?,23837200.0,2001004.0,?,25586.49,66,1000533.0,5.770844,1000471.0,4138865.0,2004013.0,?,2001004.0,430,3,bad
?,202,311,4,21,13,?,3,1000.0,?,581,23638.81,102.0418,1608,-5.15763e-13,?,329,2004013.0,23638.89,202,1608,?,30361.99,-30291.55,?,?,597,?,1.0,36.09691,13055660.0,?,430,329,0.9393939,13055660.0,1,1,36.09691,430,?,4,138532.3,36698.58,?,23837200.0,2001004.0,?,25586.49,66,1000533.0,5.770844,1000471.0,4138865.0,2004013.0,?,2001004.0,430,3,bad
?,?,2603,2823,1,23,?,6,3.187027,?,?,183.6062,4016.853,35507,-1e-08,?,5320,4681992.0,183.6062,?,35507,?,1764.363,-810.0,?,?,30186,?,3.28599,8.0,9388176.0,?,5321,5320,0.9659091,9388176.0,1,?,10.26951,5321,?,2,90754.24,451.3012,1,4.711796e+14,4681991.0,?,65113460.0,88,2340995.0,?,2340995.0,6621336.0,4681991.0,?,4681991.0,5321,6,bad
?,?,2603,2823,1,23,?,6,3.187027,?,?,183.6062,4016.853,35507,-1e-08,?,5320,4681992.0,183.6062,?,35507,?,1764.363,-810.0,?,?,30186,?,3.28599,8.0,9388176.0,?,5321,5320,0.9659091,9388176.0,1,?,10.26951,5321,?,2,90754.24,451.3012,1,4.711796e+14,4681991.0,?,65113460.0,88,2340995.0,?,2340995.0,6621336.0,4681991.0,?,4681991.0,5321,6,bad
?,?,3070,3526,1,98,?,4,1591.888,?,?,2448.493,4682.132,31220,-1e-08,?,6300,205057.0,2801.65,?,31220,?,52.56722,-1501.0,?,?,24903,?,5.666203,16.33092,332067.2,?,6317,6300,1.0,332067.2,1,?,17.5344,6317,?,2,2621.717,359.851,1,579.1777,204540.8,?,88582180.0,85,102093.8,?,102447.0,208415.1,204540.8,?,204540.8,6317,4,bad
?,?,3070,3526,1,98,?,4,1591.888,?,?,2448.493,4682.132,31220,-1e-08,?,6300,205057.0,2801.65,?,31220,?,52.56722,-1501.0,?,?,24903,?,5.666203,16.33092,332067.2,?,6317,6300,1.0,332067.2,1,?,17.5344,6317,?,2,2621.717,359.851,1,579.1777,204540.8,?,88582180.0,85,102093.8,?,102447.0,208415.1,204540.8,?,204540.8,6317,4,bad
?,?,2923,3251,1,16,?,5,59.54572,?,?,102.4405,4496.157,30223,-1e-08,?,5974,7004.436,102.4405,?,30223,?,93.28818,-1793.0,?,?,24248,?,0.05427958,8.0,557396.9,?,5975,5974,0.9607843,557396.9,1,?,10.35017,5975,?,2,733.8835,739.0082,1,1.427614e+12,7003.436,?,81628440.0,51,3501.719,0.004178305,3501.717,57189.08,7003.436,?,7003.436,5975,5,bad
