@relation petsc_data-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute right-bandwidth numeric
@attribute n-nonzero-diags numeric
@attribute n-dummy-rows numeric
@attribute blocksize numeric
@attribute max-nnzeros-per-row numeric
@attribute avgnnzprow numeric
@attribute lambda-max-by-magnitude-re numeric
@attribute nnzup numeric
@attribute ruhe75-bound numeric
@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute lambda-min-by-magnitude-re numeric
@attribute left-bandwidth numeric
@attribute norm1 numeric
@attribute sigma-min numeric
@attribute upband numeric
@attribute nnzeros numeric
@attribute diagonal-average numeric
@attribute diagonal-dominance numeric
@attribute nnzlow numeric
@attribute lambda-max-by-im-part-re numeric
@attribute col-variability numeric
@attribute trace-abs numeric
@attribute diag-zerostart numeric
@attribute loband numeric
@attribute positive-fraction numeric
@attribute trace numeric
@attribute min-nnzeros-per-row numeric
@attribute diagonal-sign numeric
@attribute row-variability numeric
@attribute nrows numeric
@attribute n-colours numeric
@attribute diagonal-variance numeric
@attribute departure numeric
@attribute kappa numeric
@attribute sigma-max numeric
@attribute sigma-diag-dist numeric
@attribute n-ritz-values numeric
@attribute ellipse-ax numeric
@attribute ellipse-ay numeric
@attribute ellipse-cx numeric
@attribute normF numeric
@attribute normInf numeric
@attribute lambda-max-by-real-part-re numeric
@attribute nnzdia numeric
@attribute avgdistfromdiag numeric
@attribute class {good,bad}

@data
4535,7953,?,2358,13,4,0,9622,2855328,2408.001,24809,0,5307,2270087,1004241,4535,24809,0.035059,-4474379,9879,0,28.94268,186.0925,2386,5307,0.475,186.0925,2,1,26.49182,5308,6,2.540319,8657347,173.7511,2955328,14946320,240,602.1086,100000,19.07438,8658504,4474379,488.377,5308,4,bad
5789,1752,?,4,60,7,1,14185,11223000,2314.406,45465,0,5837,26524340,11223100,5789,45465,41691.86,-37533560,25430,1,24.13064,243897400,5850,5837,0.090909,-243890600,2,?,19.29646,5850,13,400518,67964580,75008.05,18445420,16429140,44,3828716,100.3602,-3828656,74617540,37533560,10.77404,5850,7,bad
864,1601,?,224,36,4,2.871694,2118,0.433633,460.3435,5976,0.181818,864,5.727397,1.235709,864,5976,0.258016,-1,2638,2.871661,77.1378,314.78,1154,864,0.902439,314.78,2,1,77.1378,1220,5,0.262215,0.002236,3.580325,2.871694,475474.4,41,1.935847,?,0.935847,18.82156,5.727387,2.871694,1220,4,bad
864,1601,?,224,36,4,2.871652,2118,0.442076,460.3435,5976,0.181818,864,5.727394,0.999974,864,5976,0.25781,-1,2638,2.87165,100.9417,314.5286,1154,864,0.6,314.5286,2,1,100.9417,1220,5,0.261671,0.000988,5.147276,2.871652,475474.4,20,1.935826,?,0.935826,18.80821,5.727273,2.871652,1220,4,bad
864,1601,?,224,36,4,2.871652,2118,0.533076,460.3435,5976,0.181818,864,5.727811,1.090976,864,5976,0.257811,-1,2638,2.87165,77.12051,314.5292,1154,864,0.6,314.5292,2,1,77.12051,1220,5,0.26167,0.000725,5.147601,2.87185,475474.4,20,1.935925,?,0.935925,18.80819,5.727749,2.87185,1220,4,bad
864,1601,?,224,36,4,2.871652,2118,0.533076,460.3435,5976,0.181818,864,5.735498,1.090977,864,5976,0.257817,-1,2638,2.87165,168.7222,314.5365,1154,864,0.6,314.5365,2,1,168.7222,1220,5,0.261695,0.000717,5.153464,2.875123,475474.4,20,1.937561,?,0.937561,18.80871,5.735455,2.875123,1220,4,bad
13435,20533,?,6904,28,8,0,39538,14127.24,6111.282,108359,0,11773,10193.72,689.1786,13435,108359,0.000003,-20000.01,55385,7.974986,69.9386,0.04472,6927,11773,0.42381,0.02472,2,?,69.9386,13436,8,0.000246,51148.49,6.386295,14142.8,79673100,210,7.974859,15.5576,0.000128,51148.52,20000.01,7.974986,13436,8,bad
13435,20533,?,6904,28,8,0,39538,14127.24,6111.282,108359,0,11773,10193.72,689.1786,13435,108359,0.000003,-20000.01,55385,7.974986,69.9386,0.04472,6927,11773,0.42381,0.02472,2,?,69.9386,13436,8,0.000246,51148.49,6.386295,14142.8,79673100,210,7.974859,15.5576,0.000128,51148.52,20000.01,7.974986,13436,8,bad
4075,677,?,15,44,6,1,21248,1296111,531.1832,56175,1,1375,2097152,185362.6,4075,56175,3951.81,-1048585,25798,1,9.976185,36076070,9129,1375,0.961539,36058130,2,?,13.15285,9129,8,36868.92,5565253,6822.776,2344687,921202.6,52,524416,36.51342,524160,6597258,3145737,1048576,9129,6,bad
100,9,?,99,9,8,60418.4,38612,49223.42,66.22222,87025,126.8214,100,91833.2,49223.73,100,87025,1683.587,-90.24792,38612,60147.19,1.096194,16500840,9801,100,1,16500840,4,2,1.393384,9801,8,3695.628,9198.523,192458.7,60449.83,10920.05,31,30209.04,?,30209.36,424689.8,91923.45,60418.4,9801,8,bad
14689,4124,?,4,149,10,2,63269,77514.71,6721.188,157990,0.5,14721,80570.55,2391.38,14689,157990,2.484544,-81481.08,79961,1,17.32272,36671.88,14760,14721,0.96,27251.94,2,?,17.9674,14760,18,3.134378,72073.54,51.77646,79999.95,117992900,50,39.03787,2485.201,-8.96193,129710.2,81498.66,32,14760,10,bad
100,9,?,99,9,8,86062.62,38612,1263.576,66.22222,87025,79.80454,100,132173.3,69779.53,100,87025,1833.956,-218.6362,38612,84672.36,1.096194,17974600,9801,100,1,17974600,4,2,1.393387,9801,8,4626.598,14127.22,1.256096,86116.34,10920.05,26,8773.33,?,77289.29,520020.5,132392,86062.62,9801,8,bad
6527,2929,?,57,68,5,-1.068887,8207,1136620,1711.529,38692,-0.000005,6528,949602.7,1136623,6527,38692,2026.361,-2563731,23711,1,10.7586,13726570,6774,6528,0.552846,9749812,2,?,10.7586,6774,10,32283.26,6886530,237587.1,1265421,7278564,123,360839.4,5.51209,258796.5,7383228,2563734,619635.9,6774,5,good
100,9,?,99,9,8,56267.25,38612,46646.47,66.22222,87025,100.4695,100,84152.5,46646.78,100,87025,1666.789,-0.077602,38612,56267.25,1.096194,16336200,9801,100,1,16336200,4,2,1.393384,9801,8,3565.913,8408.434,179235.1,56316.53,10920.05,30,28133.47,?,28133.78,411735.3,84152.58,56267.25,9801,8,bad
100,9,?,99,9,8,56403.24,38612,46810.06,66.22222,87025,79.79329,100,84463.15,46810.37,100,87025,1667.223,-12.88893,38612,56403.24,1.096194,16340450,9801,100,1,16340450,4,2,1.393384,9801,8,3569.828,8436.874,179668.7,56450.71,10920.05,30,28201.46,?,28201.78,412120.8,84476.04,56403.24,9801,8,bad
100,9,?,99,9,8,427.1599,38612,345.8087,66.22222,87025,3.75581,100,675.1248,345.8122,100,87025,9.741228,-2.830544,38612,427.1599,1.192953,95473.78,9801,100,1,95473.78,4,2,1.356471,9801,8,22.17429,81.15664,122483.7,427.303,10920.05,31,213.5782,?,213.5817,2529.861,676.6892,427.1599,9801,8,bad
6527,2929,?,57,68,5,2,8207,168.3498,1711.529,38692,-0.657791,6528,386.2931,172.3305,6527,38692,3.360932,-250.0158,23711,1,4.707724,22766.95,6774,6528,0.977778,20470.68,2,?,4.817186,6774,10,15.46459,720.3709,64.30901,256.1053,7278564,45,129.9904,2.135964,126.0096,1488.598,336.0388,256,6774,5,bad
5726,1737,?,1,7,4,3361.548,39434,728928400,4480.759,79834,3361.548,15713,929504400,97440740,5726,79834,?,-763132100,23972,3361.548,7.426279,?,?,15713,0.524138,?,2,10,5.294551,16428,5,?,1170888000,1.709329,728932200,68914140,145,3613.923,3634.496,-78.96795,1170888000,763132100,3361.548,16428,4,bad
4052,1461,?,1,7,4,-314.594,27110,290107900,3137.309,55738,-314.594,10937,366869700,52024770,4052,55738,?,-304505200,17096,971.1612,7.027274,?,?,10937,0.495833,?,2,10,4.933308,11532,5,?,457184900,1.364181,290109000,33676850,240,1131.827,1063.404,21.61574,457184900,304505200,971.1612,11532,4,bad
256,459,1,20,82,23,-808.1069,88303,727.1585,813.4031,98213,1,3934,2086.87,88.26804,256,98213,0.936941,-4497.982,5776,3.773655,5.173044,3873.314,4134,3934,0.098361,-3835.747,1,?,6.190687,4134,22,19.12173,1557.521,553.3918,1535.265,4126025,61,405.9403,1.456997,-402.1666,2060.921,4497.982,3.773655,4134,23,good
242,406,1,15,62,18,-712.3087,53892,482.8417,541.0123,59920,1,2986,1645.075,37.27685,242,59920,0.657463,-2673.767,2830,12.28778,6.366517,2102.566,3198,2986,0.132076,-2012.996,1,?,7.588062,3198,16,14.86605,1225.948,247.0458,1195.15,1775019,53,362.2983,2.883045,-350.0105,1574.962,2673.767,12.28778,3198,18,good
2666,1185,?,1,7,4,-475.1529,17090,102915800,2031.867,35962,-475.1529,7025,128724000,16826100,2666,35962,?,-108350400,11372,255.3363,6.57851,?,?,7025,0.495833,?,2,10,4.530277,7500,5,?,158801600,2.008423,102916300,14068480,240,475.488,475.8314,0.018274,158801600,108350400,475.2239,7500,4,bad
100,9,?,99,9,8,8293.715,38612,609.8284,66.22222,87025,4.305043,100,13238.71,6857.033,100,87025,113.86,-38.3144,38612,8293.715,1.274212,1115942,9801,100,1,1115942,4,2,1.425323,9801,8,415.1602,1534.61,1.327588,8296.49,10920.05,31,1023.255,?,7270.46,44983.41,13265.9,8293.715,9801,8,bad
100,9,?,99,9,8,30.25884,38612,25.07597,66.22222,87025,3.878899,100,36.94624,25.07946,100,87025,5.403367,0,38612,30.25884,1.039372,52958.4,9801,100,1,52958.4,4,2,1.047308,9801,8,2.857399,3.03247,8671.071,30.26015,10920.05,30,15.12768,?,15.13117,641.2287,36.82602,30.25884,9801,8,bad
100,9,?,99,9,8,1158.432,38612,954.2355,66.22222,87025,4.856918,100,1819.361,954.243,100,87025,25.71866,-5.197597,38612,1158.432,1.115002,252068.6,9801,100,1,252068.6,4,2,1.257349,9801,8,61.83317,211.4346,155326.5,1158.82,10920.05,32,579.2124,?,579.2198,6995.923,1823.054,1158.432,9801,8,bad
100,9,?,99,9,8,3024.076,38612,2360.39,66.22222,87025,4.410227,100,4791.044,2360.397,100,87025,47.75817,-14.10088,38612,3024.076,1.199713,468077.9,9801,100,1,468077.9,4,2,1.354117,9801,8,154.529,560.8396,396406.3,3025.091,10920.05,34,1512.034,8.162151,1512.042,16893.64,4801.066,3024.076,9801,8,bad
100,9,?,99,9,8,254.2017,38612,215.1807,66.22222,87025,4.850837,100,388.2367,215.1882,100,87025,16.83003,-0.718011,38612,253.1138,0.963853,164951.1,9801,100,1,164951.1,4,2,1.012551,9801,8,19.62649,37.20261,33867.36,254.2823,10920.05,19,127.0971,?,127.1046,2708.055,388.7847,254.2017,9801,8,bad
100,9,?,99,9,8,490.068,38612,417.1442,66.22222,87025,4.816579,100,760.8224,417.1517,100,87025,18.7483,-1.923689,38612,489.6732,1.032237,183752.1,9801,100,1,183752.1,4,2,1.140008,9801,8,29.40092,83.41673,65345.11,490.338,10920.05,26,245.0302,?,245.0377,3647.064,762.1984,490.068,9801,8,bad
100,9,?,99,9,8,180.9453,38612,158.0365,66.22222,87025,4.818934,100,273.16,158.044,100,87025,16.44538,-0.240919,38612,180.4886,0.923498,161181.1,9801,100,1,161181.1,4,2,0.960462,9801,8,17.60646,24.08351,24106.34,180.9742,10920.05,20,90.46891,?,90.47641,2524.975,273.3755,180.9453,9801,8,bad
?,1,4257,1,1,1,0,?,0.000002,?,4257,0,?,0.000021,0.000018,?,4257,0.000003,0,?,0,12.25943,0.014502,4257,?,1,0.014502,1,2,12.25943,4257,1,0.000006,?,1.305548,0.000021,?,36,0.000002,?,0.000018,0.00043,0.000021,0.000021,4257,1,bad
?,4775,5237,1,668,7,0.037908,?,4603.263,6771.777,73041,0,9188,252568.1,5095.306,?,73041,41.9065,-1239.857,63770,0.075471,8,388515.1,9271,9188,1,388515.1,1,?,9.028773,9271,2,2660.754,136.0269,513.3033,252567.1,185421300,86,126037.5,?,126529.6,256225.3,252567.1,252567.1,9271,7,bad
?,4775,5237,1,668,7,0.037908,?,4603.263,6771.777,73041,0,9188,252568.1,5095.306,?,73041,41.9065,-1239.857,63770,0.075471,8,388515.1,9271,9188,1,388515.1,1,?,9.028773,9271,2,2660.754,136.0269,513.3033,252567.1,185421300,86,126037.5,?,126529.6,256225.3,252567.1,252567.1,9271,7,bad
?,4268,4820,1,818,5,0.177969,?,214.2036,5837.478,42908,0,8031,888.1629,214.2036,?,42908,2.144334,-1681,34781,0.167259,8,17427.01,8127,8031,0.969231,17427.01,1,?,9.655902,8127,2,15.00626,801.9926,60847670000,608.3476,137932600,65,304.1734,?,304.1734,1584.507,1681,608.3468,8127,5,bad
?,4268,4820,1,818,5,0.177969,?,214.2036,5837.478,42908,0,8031,888.1629,214.2036,?,42908,2.144334,-1681,34781,0.167259,8,17427.01,8127,8031,0.969231,17427.01,1,?,9.655902,8127,2,15.00626,801.9926,60847670000,608.3476,137932600,65,304.1734,?,304.1734,1584.507,1681,608.3468,8127,5,bad
202,311,4,21,13,3,1000,581,23638.81,102.0418,1608,0,329,2004013,23638.89,202,1608,30361.99,-30291.55,597,1,36.09691,13055660,430,329,0.939394,13055660,1,1,36.09691,430,4,138532.3,36698.58,23837200,2001004,25586.49,66,1000533,5.770844,1000471,4138865,2004013,2001004,430,3,bad
202,311,4,21,13,3,1000,581,23638.81,102.0418,1608,0,329,2004013,23638.89,202,1608,30361.99,-30291.55,597,1,36.09691,13055660,430,329,0.939394,13055660,1,1,36.09691,430,4,138532.3,36698.58,23837200,2001004,25586.49,66,1000533,5.770844,1000471,4138865,2004013,2001004,430,3,bad
?,2603,2823,1,23,6,3.187027,?,183.6062,4016.853,35507,0,5320,4681992,183.6062,?,35507,1764.363,-810,30186,3.28599,8,9388176,5321,5320,0.965909,9388176,1,?,10.26951,5321,2,90754.24,451.3012,4.711796E14,4681991,65113460,88,2340995,?,2340995,6621336,4681991,4681991,5321,6,bad
?,2603,2823,1,23,6,3.187027,?,183.6062,4016.853,35507,0,5320,4681992,183.6062,?,35507,1764.363,-810,30186,3.28599,8,9388176,5321,5320,0.965909,9388176,1,?,10.26951,5321,2,90754.24,451.3012,4.711796E14,4681991,65113460,88,2340995,?,2340995,6621336,4681991,4681991,5321,6,bad
?,3070,3526,1,98,4,1591.888,?,2448.493,4682.132,31220,0,6300,205057,2801.65,?,31220,52.56722,-1501,24903,5.666203,16.33092,332067.2,6317,6300,1,332067.2,1,?,17.5344,6317,2,2621.717,359.851,579.1777,204540.8,88582180,85,102093.8,?,102447,208415.1,204540.8,204540.8,6317,4,bad
?,3070,3526,1,98,4,1591.888,?,2448.493,4682.132,31220,0,6300,205057,2801.65,?,31220,52.56722,-1501,24903,5.666203,16.33092,332067.2,6317,6300,1,332067.2,1,?,17.5344,6317,2,2621.717,359.851,579.1777,204540.8,88582180,85,102093.8,?,102447,208415.1,204540.8,204540.8,6317,4,bad
?,2923,3251,1,16,5,59.54572,?,102.4405,4496.157,30223,0,5974,7004.436,102.4405,?,30223,93.28818,-1793,24248,0.05428,8,557396.9,5975,5974,0.960784,557396.9,1,?,10.35017,5975,2,733.8835,739.0082,1427614000000,7003.436,81628440,51,3501.719,0.004178,3501.717,57189.08,7003.436,7003.436,5975,5,bad
?,2923,3251,1,16,5,59.54572,?,102.4405,4496.157,30223,0,5974,7004.436,102.4405,?,30223,93.28818,-1793,24248,0.05428,8,557396.9,5975,5974,0.960784,557396.9,1,?,10.35017,5975,2,733.8835,739.0082,1427614000000,7003.436,81628440,51,3501.719,0.004178,3501.717,57189.08,7003.436,7003.436,5975,5,bad
?,3393,4114,1,964,5,0.005319,?,143.7012,4550.602,34714,0,6389,18710.87,3129.443,?,34714,123.9048,-1583,28177,650.7347,8,809965.6,6537,6389,1,809965.6,1,?,9.653214,6537,2,421.2321,542.8099,6.244176,18643.5,83990000,38,7828.879,?,10814.62,35504.31,18643.5,18643.5,6537,5,bad
?,3393,4114,1,964,5,0.005319,?,143.7012,4550.602,34714,0,6389,18710.87,3129.443,?,34714,123.9048,-1583,28177,650.7347,8,809965.6,6537,6389,1,809965.6,1,?,9.653214,6537,2,421.2321,542.8099,6.244176,18643.5,83990000,38,7828.879,?,10814.62,35504.31,18643.5,18643.5,6537,5,bad
10716,8201,30,33,64,22,1.554864,23927,17.74289,2718.835,244606,1.554864,10419,34.01084,15.42712,10716,244606,0.003518,-32.32021,209715,1.554864,205.3392,38.5754,10962,10419,0.56,-30.2523,1,?,205.3392,10964,27,0.058108,187.349,1.232031,19.91273,16826870,25,2.077772,2.01111,-0.077468,203.7948,32.32021,2.000101,10964,22,bad
?,4302,4750,1,652,5,0.471012,?,2961.589,6003.076,41440,0,8203,44090.57,7052.937,?,41440,40.8881,-1242.486,33236,0.294725,8,335446,8204,8203,1,335446,1,?,9.225167,8204,2,845.7558,159.3763,10.77629,44089.57,145795700,67,19999.11,?,24090.46,76694.76,44089.57,44089.57,8204,5,bad
?,4302,4750,1,652,5,0.471012,?,2961.589,6003.076,41440,0,8203,44090.57,7052.937,?,41440,40.8881,-1242.486,33236,0.294725,8,335446,8204,8203,1,335446,1,?,9.225167,8204,2,845.7558,159.3763,10.77629,44089.57,145795700,67,19999.11,?,24090.46,76694.76,44089.57,44089.57,8204,5,bad
?,3601,4124,1,126,4,0.061196,?,453.3885,5621.066,36710,0,7474,8742.118,453.3885,?,36710,11.13829,-1339,29231,0.064565,8,83303.31,7479,7474,0.972603,83303.31,1,?,9.681241,7479,2,192.509,285.2676,891055200000,8741.118,127540900,73,4370.559,0,4370.559,16678.7,8741.118,8741.118,7479,4,bad
?,3601,4124,1,126,4,0.061196,?,453.3885,5621.066,36710,0,7474,8742.118,453.3885,?,36710,11.13829,-1339,29231,0.064565,8,83303.31,7479,7474,0.972603,83303.31,1,?,9.681241,7479,2,192.509,285.2676,891055200000,8741.118,127540900,73,4370.559,0,4370.559,16678.7,8741.118,8741.118,7479,4,bad
202,311,4,21,13,3,1000,581,23638.73,102.0418,1608,0.0002,329,2004013,23638.89,202,1608,30361.99,-30291.55,597,1,36.09691,13055660,430,329,0.951807,13055660,1,1,36.09691,430,4,138532.3,36698.58,12225160,2001004,25586.49,83,1000533,1.172983,1000471,4138865,2004013,2001004,430,3,bad
514,694,1,150,27,10,-3227847,92795,37101.3,192.2968,206076,1,514,4605960,3209391,514,206076,1639634,-3619879,92813,1,22.25839,33560040000,20468,514,?,-33560040000,1,?,22.25833,20468,10,12321.11,32024920,1,3264398,91730.54,4,?,?,-3227296,261283100,3619879,1,20468,10,bad
202,311,4,21,13,3,1000,581,23638.73,102.0418,1608,0,329,2004013,23638.89,202,1608,30361.99,-30291.55,597,1,36.09691,13055660,430,329,0.939759,13055660,1,1,36.09691,430,4,138532.3,36698.58,12777560,2001004,25586.49,83,1000533,2.840792,1000471,4138865,2004013,2001004,430,3,bad
?,115,1,1,24,20,98572.33,?,659623.1,125.9652,112505,36800.5,191,844961.1,659655.3,?,112505,129178.9,-118671.3,107016,36800.5,50.57422,709063000,5489,191,1,709063000,1,2,50.57422,5489,14,145878.5,6951913,17787.55,661842.9,65952.65,69,285951.3,194969.8,285983.5,16022920,743995.7,394289.3,5489,20,bad
13447,3247,?,57,68,6,-1.068887,18477,743301.1,2275.247,82842,-0.000005,6771,1061178,11660,13447,82842,2132.342,-2919858,50671,1,14.01906,29200300,13694,6771,0.71875,20753950,2,?,14.01906,13694,11,34225.16,10103760,153275.8,1440491,12360330,32,408294.7,4.742747,288895.5,10871470,2919860,697190.2,13694,6,bad
30586,56354,?,1,73,11,0.010423,172782,1652.6,16291.27,381326,0.010423,30585,8141.743,680.2856,30586,381326,0.005508,-610.6973,175775,0.010423,11,180.4896,32769,30585,1,180.4896,5,2,11,32769,7,0.008577,39009.94,173.3017,1653.063,607139200,47,0.032051,0.461769,0.034718,39017.72,610.7027,0.028808,32769,11,bad
?,10917,12176,1,1532,4,0.27702,?,3459.305,15468.15,89087,0,21131,153153.1,3459.305,?,89087,14.12113,-2784.218,67955,0.204757,17.52817,298407.7,21132,21131,0.966667,298407.7,1,?,17.15871,21132,2,1070.495,230.0603,1.537092E13,153152.1,968465000,60,76576.07,?,76576.07,155630,153152.1,153152.1,21132,4,bad
?,10917,12176,1,1532,4,0.27702,?,3459.305,15468.15,89087,0,21131,153153.1,3459.305,?,89087,14.12113,-2784.218,67955,0.204757,17.52817,298407.7,21132,21131,0.966667,298407.7,1,?,17.15871,21132,2,1070.495,230.0603,1.537092E13,153152.1,968465000,60,76576.07,?,76576.07,155630,153152.1,153152.1,21132,4,bad
?,6352,6892,1,51,7,0.032501,?,183.876,10023.11,93829,0,13205,369568.3,183.876,?,93829,122.0514,-1857,80623,0.039366,9.367503,1611811,13206,13205,0.98,1611811,1,?,9.80618,13206,2,4858.476,534.7821,3.662987E13,365772.6,405261900,100,182886.3,?,182886.3,558499.6,365772.6,365772.6,13206,7,bad
?,4,1,1,3,2,0,?,0.000141,1.5,59990,0,3,0.000141,0.000047,?,59990,0.000047,0,39992,0,15.88285,0.942712,19998,3,1,0.942712,1,2,15.88285,19998,3,0.000047,0.004711,1.000124,0.000141,10.25,2,0,?,0,0.010539,0.000141,0.000094,19998,2,bad
?,7668,8702,1,630,7,0.002416,?,315.4922,10958.44,113372,0,14870,375384.1,315.4932,?,113372,25.26885,-3071,98029,0.002337,8,387699.9,15343,14870,0.962617,387699.9,1,?,9.681241,15343,2,3030.676,387.6696,382512300,375383.1,485763000,107,187691.5,0.006785,187691.5,375413.5,375383.1,375383.1,15343,7,bad
?,7668,8702,1,630,7,0.002416,?,315.4922,10958.44,113372,0,14870,375384.1,315.4932,?,113372,25.26885,-3071,98029,0.002337,8,387699.9,15343,14870,0.962617,387699.9,1,?,9.681241,15343,2,3030.676,387.6696,382512300,375383.1,485763000,107,187691.5,0.006785,187691.5,375413.5,375383.1,375383.1,15343,7,bad
2612,5215,?,22,2571,13,1.094838,16613,2.064121,1303.823,35857,0.00009,2612,5.214336,0.316563,2612,35857,0.000243,-3.009145,16620,1.094838,15,0.636736,2623,2612,0.5,0.636736,2,1,15,2624,14,0.004099,3.898989,67641.69,3.158959,3966683,92,1.047419,0.000028,0.047419,8.558425,3.009145,1.094838,2624,13,bad
?,4993,5449,1,836,5,0.004085,?,3795.235,7028.901,55757,0,9627,47878.38,4263.535,?,55757,29.94996,-1770.775,45988,0.170447,17.95576,292581.1,9769,9627,1,292581.1,1,?,16.55665,9769,2,855.8536,473.9143,102.0325,47781.87,199868000,105,23656.78,?,24125.08,84644.18,47781.86,47781.86,9769,5,bad
?,4993,5449,1,836,5,0.004085,?,3795.235,7028.901,55757,0,9627,47878.38,4263.535,?,55757,29.94996,-1770.775,45988,0.170447,17.95576,292581.1,9769,9627,1,292581.1,1,?,16.55665,9769,2,855.8536,473.9143,102.0325,47781.87,199868000,105,23656.78,?,24125.08,84644.18,47781.86,47781.86,9769,5,bad
