@relation 'petsc_data-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R1,3,5-12,14-18,20-23,25,27-32,34-54'

@attribute avgdistfromdiag numeric
@attribute blocksize numeric
@attribute left-bandwidth numeric
@attribute diagonal-dominance numeric
@attribute col-variability numeric
@attribute nnzeros numeric
@attribute row-variability numeric
@attribute solver {RCG*CHEBYSHEV,'Pseudoblock GMRES*CHEBYSHEV','Pseudoblock CG*KRYLOV','Pseudoblock GMRES*ILUT',GCRODR*CHEBYSHEV,'Block GMRES*RILUK',PCPG*KRYLOV,'Pseudoblock GMRES*RILUK','Block GMRES*DIAGONAL',PCPG*RELAXATION,'Pseudoblock Stochastic CG*DIAGONAL',PCPG*RILUK,'Pseudoblock GMRES*RELAXATION','Hybrid Block GMRES*KRYLOV',RCG*RELAXATION,'Pseudoblock GMRES*DIAGONAL',RCG*DIAGONAL,TFQMR*ILUT,PCPG*ILUT,'Pseudoblock CG*ILUT','Block CG*DIAGONAL',GCRODR*RILUK,GCRODR*RELAXATION,TFQMR*CHEBYSHEV,TFQMR*DIAGONAL,GCRODR*DIAGONAL,TFQMR*RELAXATION,'Hybrid Block GMRES*RELAXATION','Pseudoblock CG*RILUK',GCRODR*ILUT,'Block GMRES*CHEBYSHEV',MINRES*DIAGONAL,'Pseudoblock CG*DIAGONAL','Hybrid Block GMRES*RILUK',TFQMR*RILUK,'Block CG*ILUT','Pseudoblock CG*RELAXATION',MINRES*RELAXATION,'Pseudoblock Stochastic CG*RELAXATION','Block CG*CHEBYSHEV','Hybrid Block GMRES*ILUT','Block GMRES*ILUT',GCRODR*KRYLOV,RCG*ILUT,MINRES*KRYLOV,'Block GMRES*RELAXATION',RCG*KRYLOV,'Block CG*RELAXATION',TFQMR*KRYLOV,'Pseudoblock GMRES*KRYLOV',RCG*RILUK,'Hybrid Block GMRES*CHEBYSHEV','Pseudoblock Stochastic CG*RILUK','Pseudoblock CG*CHEBYSHEV','Pseudoblock Stochastic CG*CHEBYSHEV',MINRES*ILUT,'Block GMRES*KRYLOV',PCPG*DIAGONAL,'Pseudoblock Stochastic CG*KRYLOV','Hybrid Block GMRES*DIAGONAL',PCPG*CHEBYSHEV,'Block CG*KRYLOV',MINRES*CHEBYSHEV,'Block CG*RILUK','Pseudoblock Stochastic CG*ILUT',MINRES*RILUK}
@attribute class {good,bad}

@data
4,2358,5307,-4527171,28.7351,24816,26.60895,'Hybrid Block GMRES*CHEBYSHEV',good
4,2358,5307,-4527171,28.7351,24816,26.60895,MINRES*CHEBYSHEV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,RCG*CHEBYSHEV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock GMRES*CHEBYSHEV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock CG*KRYLOV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock GMRES*ILUT',bad
8,99,100,-90.24792,1.096194,87025,1.393384,GCRODR*CHEBYSHEV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block GMRES*RILUK',bad
8,99,100,-90.24792,1.096194,87025,1.393384,PCPG*KRYLOV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock GMRES*RILUK',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block GMRES*DIAGONAL',bad
8,99,100,-90.24792,1.096194,87025,1.393384,PCPG*RELAXATION,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*DIAGONAL',bad
8,99,100,-90.24792,1.096194,87025,1.393384,PCPG*RILUK,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock GMRES*RELAXATION',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Hybrid Block GMRES*KRYLOV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,RCG*RELAXATION,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock GMRES*DIAGONAL',bad
8,99,100,-90.24792,1.096194,87025,1.393384,RCG*DIAGONAL,bad
8,99,100,-90.24792,1.096194,87025,1.393384,TFQMR*ILUT,bad
8,99,100,-90.24792,1.096194,87025,1.393384,PCPG*ILUT,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock CG*ILUT',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block CG*DIAGONAL',bad
8,99,100,-90.24792,1.096194,87025,1.393384,GCRODR*RILUK,bad
8,99,100,-90.24792,1.096194,87025,1.393384,GCRODR*RELAXATION,bad
8,99,100,-90.24792,1.096194,87025,1.393384,TFQMR*CHEBYSHEV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,TFQMR*DIAGONAL,bad
8,99,100,-90.24792,1.096194,87025,1.393384,GCRODR*DIAGONAL,bad
8,99,100,-90.24792,1.096194,87025,1.393384,TFQMR*RELAXATION,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Hybrid Block GMRES*RELAXATION',good
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock CG*RILUK',bad
8,99,100,-90.24792,1.096194,87025,1.393384,GCRODR*ILUT,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block GMRES*CHEBYSHEV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,MINRES*DIAGONAL,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock CG*DIAGONAL',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Hybrid Block GMRES*RILUK',bad
8,99,100,-90.24792,1.096194,87025,1.393384,TFQMR*RILUK,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block CG*ILUT',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock CG*RELAXATION',bad
8,99,100,-90.24792,1.096194,87025,1.393384,MINRES*RELAXATION,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*RELAXATION',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block CG*CHEBYSHEV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Hybrid Block GMRES*ILUT',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block GMRES*ILUT',bad
8,99,100,-90.24792,1.096194,87025,1.393384,RCG*ILUT,bad
8,99,100,-90.24792,1.096194,87025,1.393384,MINRES*KRYLOV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block GMRES*RELAXATION',bad
8,99,100,-90.24792,1.096194,87025,1.393384,RCG*KRYLOV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block CG*RELAXATION',bad
8,99,100,-90.24792,1.096194,87025,1.393384,TFQMR*KRYLOV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock GMRES*KRYLOV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,RCG*RILUK,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Hybrid Block GMRES*CHEBYSHEV',good
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*RILUK',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock CG*CHEBYSHEV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*CHEBYSHEV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,MINRES*ILUT,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block GMRES*KRYLOV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,PCPG*DIAGONAL,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*KRYLOV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Hybrid Block GMRES*DIAGONAL',good
8,99,100,-90.24792,1.096194,87025,1.393384,PCPG*CHEBYSHEV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block CG*KRYLOV',bad
8,99,100,-90.24792,1.096194,87025,1.393384,MINRES*CHEBYSHEV,bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Block CG*RILUK',bad
8,99,100,-90.24792,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*ILUT',bad
8,99,100,-90.24792,1.096194,87025,1.393384,MINRES*RILUK,bad
6,1,793,-6,?,5494,?,'Pseudoblock GMRES*CHEBYSHEV',bad
6,1,793,-6,?,5494,?,GCRODR*CHEBYSHEV,bad
6,1,793,-6,?,5494,?,TFQMR*CHEBYSHEV,bad
6,1,793,-6,?,5494,?,'Block GMRES*CHEBYSHEV',bad
6,1,793,-6,?,5494,?,'Hybrid Block GMRES*CHEBYSHEV',good
6,1,793,-6,?,5494,?,MINRES*CHEBYSHEV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,RCG*CHEBYSHEV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock GMRES*CHEBYSHEV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock CG*KRYLOV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock GMRES*ILUT',bad
8,99,100,-12.88893,1.096194,87025,1.393384,GCRODR*CHEBYSHEV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block GMRES*RILUK',bad
8,99,100,-12.88893,1.096194,87025,1.393384,PCPG*KRYLOV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock GMRES*RILUK',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block GMRES*DIAGONAL',bad
8,99,100,-12.88893,1.096194,87025,1.393384,PCPG*RELAXATION,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*DIAGONAL',bad
8,99,100,-12.88893,1.096194,87025,1.393384,PCPG*RILUK,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock GMRES*RELAXATION',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Hybrid Block GMRES*KRYLOV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,RCG*RELAXATION,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock GMRES*DIAGONAL',bad
8,99,100,-12.88893,1.096194,87025,1.393384,RCG*DIAGONAL,bad
8,99,100,-12.88893,1.096194,87025,1.393384,TFQMR*ILUT,bad
8,99,100,-12.88893,1.096194,87025,1.393384,PCPG*ILUT,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock CG*ILUT',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block CG*DIAGONAL',bad
8,99,100,-12.88893,1.096194,87025,1.393384,GCRODR*RILUK,bad
8,99,100,-12.88893,1.096194,87025,1.393384,GCRODR*RELAXATION,bad
8,99,100,-12.88893,1.096194,87025,1.393384,TFQMR*CHEBYSHEV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,TFQMR*DIAGONAL,bad
8,99,100,-12.88893,1.096194,87025,1.393384,GCRODR*DIAGONAL,bad
8,99,100,-12.88893,1.096194,87025,1.393384,TFQMR*RELAXATION,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Hybrid Block GMRES*RELAXATION',good
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock CG*RILUK',bad
8,99,100,-12.88893,1.096194,87025,1.393384,GCRODR*ILUT,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block GMRES*CHEBYSHEV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,MINRES*DIAGONAL,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock CG*DIAGONAL',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Hybrid Block GMRES*RILUK',bad
8,99,100,-12.88893,1.096194,87025,1.393384,TFQMR*RILUK,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block CG*ILUT',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock CG*RELAXATION',bad
8,99,100,-12.88893,1.096194,87025,1.393384,MINRES*RELAXATION,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*RELAXATION',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block CG*CHEBYSHEV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Hybrid Block GMRES*ILUT',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block GMRES*ILUT',bad
8,99,100,-12.88893,1.096194,87025,1.393384,RCG*ILUT,bad
8,99,100,-12.88893,1.096194,87025,1.393384,MINRES*KRYLOV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block GMRES*RELAXATION',bad
8,99,100,-12.88893,1.096194,87025,1.393384,RCG*KRYLOV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block CG*RELAXATION',bad
8,99,100,-12.88893,1.096194,87025,1.393384,TFQMR*KRYLOV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock GMRES*KRYLOV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,RCG*RILUK,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Hybrid Block GMRES*CHEBYSHEV',good
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*RILUK',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock CG*CHEBYSHEV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*CHEBYSHEV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,MINRES*ILUT,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block GMRES*KRYLOV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,PCPG*DIAGONAL,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*KRYLOV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Hybrid Block GMRES*DIAGONAL',good
8,99,100,-12.88893,1.096194,87025,1.393384,PCPG*CHEBYSHEV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block CG*KRYLOV',bad
8,99,100,-12.88893,1.096194,87025,1.393384,MINRES*CHEBYSHEV,bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Block CG*RILUK',bad
8,99,100,-12.88893,1.096194,87025,1.393384,'Pseudoblock Stochastic CG*ILUT',bad
8,99,100,-12.88893,1.096194,87025,1.393384,MINRES*RILUK,bad
10,1,1976,-37,?,21990,?,'Pseudoblock GMRES*CHEBYSHEV',bad
10,1,1976,-37,?,21990,?,GCRODR*CHEBYSHEV,bad
10,1,1976,-37,?,21990,?,TFQMR*CHEBYSHEV,bad
10,1,1976,-37,?,21990,?,'Block GMRES*CHEBYSHEV',bad
10,1,1976,-37,?,21990,?,'Hybrid Block GMRES*CHEBYSHEV',good
13,4,14782,-766652800,26.32059,565956,19.77358,'Pseudoblock GMRES*CHEBYSHEV',bad
13,4,14782,-766652800,26.32059,565956,19.77358,'Pseudoblock GMRES*ILUT',bad
13,4,14782,-766652800,26.32059,565956,19.77358,GCRODR*CHEBYSHEV,bad
13,4,14782,-766652800,26.32059,565956,19.77358,TFQMR*ILUT,bad
13,4,14782,-766652800,26.32059,565956,19.77358,TFQMR*CHEBYSHEV,bad
13,4,14782,-766652800,26.32059,565956,19.77358,GCRODR*ILUT,bad
13,4,14782,-766652800,26.32059,565956,19.77358,'Block GMRES*CHEBYSHEV',bad
13,4,14782,-766652800,26.32059,565956,19.77358,'Hybrid Block GMRES*ILUT',bad
13,4,14782,-766652800,26.32059,565956,19.77358,'Block GMRES*ILUT',bad
13,4,14782,-766652800,26.32059,565956,19.77358,'Hybrid Block GMRES*CHEBYSHEV',good
13,4,14782,-766652800,26.32059,565956,19.77358,MINRES*ILUT,bad
13,4,14782,-766652800,26.32059,565956,19.77358,MINRES*CHEBYSHEV,bad
8,12,255,-197,1.845098,2642,1.845098,'Pseudoblock GMRES*CHEBYSHEV',bad
8,12,255,-197,1.845098,2642,1.845098,GCRODR*CHEBYSHEV,bad
8,12,255,-197,1.845098,2642,1.845098,TFQMR*CHEBYSHEV,bad
8,12,255,-197,1.845098,2642,1.845098,'Block GMRES*CHEBYSHEV',bad
8,12,255,-197,1.845098,2642,1.845098,'Hybrid Block GMRES*CHEBYSHEV',good
8,12,255,-197,1.845098,2642,1.845098,'Pseudoblock CG*CHEBYSHEV',bad
8,12,255,-197,1.845098,2642,1.845098,MINRES*CHEBYSHEV,bad
9,46,307,-18.61634,5,3429,5.431689,'Pseudoblock GMRES*CHEBYSHEV',bad
9,46,307,-18.61634,5,3429,5.431689,TFQMR*CHEBYSHEV,good
9,46,307,-18.61634,5,3429,5.431689,'Block GMRES*CHEBYSHEV',bad
9,46,307,-18.61634,5,3429,5.431689,'Hybrid Block GMRES*CHEBYSHEV',bad
9,46,307,-18.61634,5,3429,5.431689,MINRES*CHEBYSHEV,bad
3,21,329,-30291.55,36.09691,1608,36.09691,'Pseudoblock GMRES*CHEBYSHEV',bad
3,21,329,-30291.55,36.09691,1608,36.09691,GCRODR*CHEBYSHEV,bad
3,21,329,-30291.55,36.09691,1608,36.09691,TFQMR*CHEBYSHEV,bad
3,21,329,-30291.55,36.09691,1608,36.09691,'Block GMRES*CHEBYSHEV',bad
3,21,329,-30291.55,36.09691,1608,36.09691,'Hybrid Block GMRES*CHEBYSHEV',good
3,21,329,-30291.55,36.09691,1608,36.09691,MINRES*CHEBYSHEV,bad
4,224,864,-1,253.9548,5976,253.9548,RCG*CHEBYSHEV,bad
4,224,864,-1,253.9548,5976,253.9548,'Pseudoblock GMRES*CHEBYSHEV',bad
4,224,864,-1,253.9548,5976,253.9548,GCRODR*CHEBYSHEV,bad
4,224,864,-1,253.9548,5976,253.9548,TFQMR*CHEBYSHEV,bad
4,224,864,-1,253.9548,5976,253.9548,'Block GMRES*CHEBYSHEV',bad
4,224,864,-1,253.9548,5976,253.9548,'Block CG*CHEBYSHEV',bad
4,224,864,-1,253.9548,5976,253.9548,'Hybrid Block GMRES*CHEBYSHEV',good
4,224,864,-1,253.9548,5976,253.9548,'Pseudoblock CG*CHEBYSHEV',bad
4,224,864,-1,253.9548,5976,253.9548,'Pseudoblock Stochastic CG*CHEBYSHEV',bad
4,224,864,-1,253.9548,5976,253.9548,PCPG*CHEBYSHEV,bad
4,224,864,-1,253.9548,5976,253.9548,MINRES*CHEBYSHEV,bad
4,224,864,-1,77.12202,5976,77.12202,RCG*CHEBYSHEV,bad
4,224,864,-1,77.12202,5976,77.12202,'Pseudoblock GMRES*CHEBYSHEV',bad
4,224,864,-1,77.12202,5976,77.12202,GCRODR*CHEBYSHEV,bad
4,224,864,-1,77.12202,5976,77.12202,TFQMR*CHEBYSHEV,bad
4,224,864,-1,77.12202,5976,77.12202,'Block GMRES*CHEBYSHEV',bad
4,224,864,-1,77.12202,5976,77.12202,'Block CG*CHEBYSHEV',bad
4,224,864,-1,77.12202,5976,77.12202,'Hybrid Block GMRES*CHEBYSHEV',good
4,224,864,-1,77.12202,5976,77.12202,'Pseudoblock CG*CHEBYSHEV',bad
4,224,864,-1,77.12202,5976,77.12202,'Pseudoblock Stochastic CG*CHEBYSHEV',bad
4,224,864,-1,77.12202,5976,77.12202,PCPG*CHEBYSHEV,bad
4,224,864,-1,77.12202,5976,77.12202,MINRES*CHEBYSHEV,bad
4,224,864,-1,132.1828,5976,132.1828,RCG*CHEBYSHEV,bad
4,224,864,-1,132.1828,5976,132.1828,'Pseudoblock GMRES*CHEBYSHEV',bad
4,224,864,-1,132.1828,5976,132.1828,GCRODR*CHEBYSHEV,bad
4,224,864,-1,132.1828,5976,132.1828,TFQMR*CHEBYSHEV,bad
4,224,864,-1,132.1828,5976,132.1828,'Block GMRES*CHEBYSHEV',bad
4,224,864,-1,132.1828,5976,132.1828,'Block CG*CHEBYSHEV',bad
4,224,864,-1,132.1828,5976,132.1828,'Hybrid Block GMRES*CHEBYSHEV',good
4,224,864,-1,132.1828,5976,132.1828,'Pseudoblock CG*CHEBYSHEV',bad
4,224,864,-1,132.1828,5976,132.1828,'Pseudoblock Stochastic CG*CHEBYSHEV',bad
4,224,864,-1,132.1828,5976,132.1828,PCPG*CHEBYSHEV,bad
4,224,864,-1,132.1828,5976,132.1828,MINRES*CHEBYSHEV,bad
1,1,?,0.000006,5.20888,3600,5.20888,RCG*CHEBYSHEV,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock GMRES*CHEBYSHEV',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock CG*KRYLOV',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock GMRES*ILUT',bad
1,1,?,0.000006,5.20888,3600,5.20888,GCRODR*CHEBYSHEV,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Block GMRES*RILUK',bad
1,1,?,0.000006,5.20888,3600,5.20888,PCPG*KRYLOV,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock GMRES*RILUK',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Block GMRES*DIAGONAL',bad
1,1,?,0.000006,5.20888,3600,5.20888,PCPG*RELAXATION,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock Stochastic CG*DIAGONAL',good
1,1,?,0.000006,5.20888,3600,5.20888,PCPG*RILUK,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock GMRES*RELAXATION',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Hybrid Block GMRES*KRYLOV',bad
1,1,?,0.000006,5.20888,3600,5.20888,RCG*RELAXATION,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock GMRES*DIAGONAL',bad
1,1,?,0.000006,5.20888,3600,5.20888,RCG*DIAGONAL,bad
1,1,?,0.000006,5.20888,3600,5.20888,TFQMR*ILUT,bad
1,1,?,0.000006,5.20888,3600,5.20888,PCPG*ILUT,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock CG*ILUT',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Block CG*DIAGONAL',good
1,1,?,0.000006,5.20888,3600,5.20888,GCRODR*RILUK,bad
1,1,?,0.000006,5.20888,3600,5.20888,GCRODR*RELAXATION,bad
1,1,?,0.000006,5.20888,3600,5.20888,TFQMR*CHEBYSHEV,bad
1,1,?,0.000006,5.20888,3600,5.20888,TFQMR*DIAGONAL,good
1,1,?,0.000006,5.20888,3600,5.20888,GCRODR*DIAGONAL,bad
1,1,?,0.000006,5.20888,3600,5.20888,TFQMR*RELAXATION,good
1,1,?,0.000006,5.20888,3600,5.20888,'Hybrid Block GMRES*RELAXATION',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock CG*RILUK',bad
1,1,?,0.000006,5.20888,3600,5.20888,GCRODR*ILUT,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Block GMRES*CHEBYSHEV',bad
1,1,?,0.000006,5.20888,3600,5.20888,MINRES*DIAGONAL,bad
1,1,?,0.000006,5.20888,3600,5.20888,'Pseudoblock CG*DIAGONAL',bad
1,1,?,0.000006,5.20888,3600,5.20888,'Hybrid Block GMRES*RILUK',bad
