id	precision	name	storage	standard	purpose	range	eigenvectors	method	note	
25	s	stevr	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	SSTEVR calls SSTEMR when the full spectrum is requested	481
26	d	stevr	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	DSTEVR calls DSTEMR when the full spectrum is requested	482
27	s	stevx	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	QR	reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	483
28	d	stevx	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	QR	reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	484
29	s	sygv	full	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	485
30	d	sygv	full	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD 	486
31	s	sygvd	full	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory;B is SPD	487
32	d	sygvd	full	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory;B is SPD	488
33	s	sygvx	full	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	489
34	d	sygvx	full	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	490
35	s	spgv	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	491
36	d	spgv	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	492
37	s	spgvd	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory;B is SPD	493
38	d	spgvd	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory;B is SPD	494
39	s	spgvx	packed	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	495
40	d	spgvx	packed	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem;B is SPD	496
41	s	sbgv	band	generalized	all eigenvalues;optionally eigenvectors	No	original	Wilkinson's modification to Crawford's algorithm	reduced to a standard band symmetric problem;B is SPD	497
42	d	sbgv	band	generalized	all eigenvalues;optionally eigenvectors	No	original	Wilkinson's modification to Crawford's algorithm	reduced to a standard band symmetric problem;B is SPD	498
43	s	sbgvd	band	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory;B is SPD	499
44	d	sbgvd	band	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory;B is SPD	500
45	s	sbgvx	band	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Wilkinson's modification to Crawford's algorithm	reduced to a standard band symmetric problem;B is SPD	501
46	d	sbgvx	band	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Wilkinson's modification to Crawford's algorithm	reduced to a standard band symmetric problem;B is SPD	502
