lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,solver,class,matrix_name,solver_time
2408.001,24809,2316819,30.06439,2,27.71961,7953,183.7612,32168839,bad,hydr1c_A_55,0.000187
2408.001,24809,2316819,30.06439,2,27.71961,7953,183.7612,37052868,bad,hydr1c_A_55,0.000185
2516.491,45385,1.00E+20,20,1,20,6676,56603850,7285384,good,nopss_11k,0.0203
2516.491,45385,1.00E+20,20,1,20,6676,56603850,32168838,good,nopss_11k,0.018753
2516.491,45385,1.00E+20,20,1,20,6676,56603850,32168837,good,nopss_11k,0.019408
2516.491,45385,1.00E+20,20,1,20,6676,56603850,95762355,bad,nopss_11k,0.021001
2516.491,45385,1.00E+20,20,1,20,6676,56603850,95762353,bad,nopss_11k,0.021715
2516.491,45385,1.00E+20,20,1,20,6676,56603850,85483012,good,nopss_11k,0.017547
2516.491,45385,1.00E+20,20,1,20,6676,56603850,37052870,good,nopss_11k,0.01861
2516.491,45385,1.00E+20,20,1,20,6676,56603850,37052871,good,nopss_11k,0.017752
2516.491,45385,1.00E+20,20,1,20,6676,56603850,36025721,good,nopss_11k,0.018283
2516.491,45385,1.00E+20,20,1,20,6676,56603850,37052869,bad,nopss_11k,0.02288
2516.491,45385,1.00E+20,20,1,20,6676,56603850,37052868,good,nopss_11k,0.016666
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,32168839,good,t2d_q9,0.00655
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,36564232,bad,t2d_q9,0.008282
1145.818,155731,22.89451,16.67064,1,16.66817,2292,2.87792,59072883,good,Na5,0.000414
1145.818,155731,22.89451,16.67064,1,16.66817,2292,2.87792,36025721,bad,Na5,0.000535
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,36564232,bad,t2d_q9,0.008282
964.4461,19635,20373660,24.44239,2,19.29646,1002,60222.06,29030070,good,g7jac010,0.000105
460.3435,5976,5.727274,77.12,2,77.12,1601,6.203451,69654763,fair,fpga_dcop_37,0.000601
751.1841,265113,1.221141,18.62187,1,18.62187,1483,1.532423,32168839,bad,t3dl_a,0.000978
751.1841,265113,1.221141,18.62187,1,18.62187,1483,1.532423,29030070,good,t3dl_a,0.000761
751.1841,265113,1.221141,18.62187,1,18.62187,1483,1.532423,36564232,fair,t3dl_a,0.00121
751.1841,265113,1.221141,18.62187,1,18.62187,1483,1.532423,36025721,bad,t3dl_a,0.000973
176.6775,13585,1306,1.740363,2,1.740363,707,18376.04,69654763,fair,CAG_mat364,0.000566
176.6775,13585,1306,1.740363,2,1.740363,707,18376.04,36025721,good,CAG_mat364,0.000256
4647.173,33074,2,4,1,4,5407,33.05747,32168839,bad,poli_large,0.001039
4647.173,33074,2,4,1,4,5407,33.05747,36564232,fair,poli_large,0.001365
4647.173,33074,2,4,1,4,5407,33.05747,69654763,good,poli_large,0.000791
66.22222,87025,37362.49,1.044205,4,1.258102,9,1.305113,88865077,fair,t2d_q4_A_32,0.144049
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,45869638,good,t3dl,0.029422
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,45869637,good,t3dl,0.028455
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,7285384,bad,t3dl,0.031984
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,36025724,bad,t3dl,0.033622
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,32168838,bad,t3dl,0.031546
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,88865079,bad,t3dl,0.035131
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,88865077,good,t3dl,0.025193
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,85483012,good,t3dl,0.02568
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,45869640,good,t3dl,0.027513
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,7285383,good,t3dl,0.029889
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,37052870,good,t3dl,0.029445
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,37052871,good,t3dl,0.0299
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,36025721,bad,t3dl,0.031613
751.1841,265113,1.221141,18.62187,1,18.62187,1483,4986.502,37052869,good,t3dl,0.027524
4245.215,40808,40,1.146128,1,1.146128,7028,10,45869638,bad,nopoly,0.017238
4245.215,40808,40,1.146128,1,1.146128,7028,10,45869637,good,nopoly,0.014629
4245.215,40808,40,1.146128,1,1.146128,7028,10,7285384,good,nopoly,0.016157
4245.215,40808,40,1.146128,1,1.146128,7028,10,36025724,bad,nopoly,0.018749
4245.215,40808,40,1.146128,1,1.146128,7028,10,32168838,bad,nopoly,0.018186
4245.215,40808,40,1.146128,1,1.146128,7028,10,88865076,good,nopoly,0.014836
4245.215,40808,40,1.146128,1,1.146128,7028,10,88865077,good,nopoly,0.01352
4245.215,40808,40,1.146128,1,1.146128,7028,10,95762354,bad,nopoly,0.018531
4245.215,40808,40,1.146128,1,1.146128,7028,10,7285383,good,nopoly,0.016323
4245.215,40808,40,1.146128,1,1.146128,7028,10,36025721,good,nopoly,0.016656
795.7945,15032,3.445624,6.787812,1,6.787812,1100,5.390654,36564232,bad,zenios,0.000054
795.7945,15032,3.445624,6.787812,1,6.787812,1100,5.390654,37052868,bad,zenios,0.000051
124.9746,143300,5260.175,23.49056,1,23.49056,118,1.59468,69654763,good,s3rmq4m1,0.000681
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,89269801,good,Reuters911_Day_12,0.012066
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,7285381,good,Reuters911_Day_12,0.010342
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,30870721,bad,Reuters911_Day_12,0.013779
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,36025724,good,Reuters911_Day_12,0.011011
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,32168838,good,Reuters911_Day_12,0.01196
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,32168837,good,Reuters911_Day_12,0.012372
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,49834417,bad,Reuters911_Day_12,0.013226
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,11256942,bad,Reuters911_Day_12,0.013602
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,11256941,good,Reuters911_Day_12,0.011818
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,11256944,bad,Reuters911_Day_12,0.014086
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,31459546,good,Reuters911_Day_12,0.011644
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,91845162,good,Reuters911_Day_12,0.012263
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,95762355,bad,Reuters911_Day_12,0.014311
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,18868443,good,Reuters911_Day_12,0.010423
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,18868442,good,Reuters911_Day_12,0.011359
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,95762354,good,Reuters911_Day_12,0.012192
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,29030070,good,Reuters911_Day_12,0.012085
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,30870723,good,Reuters911_Day_12,0.012196
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,7285382,good,Reuters911_Day_12,0.010681
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,7285383,good,Reuters911_Day_12,0.011078
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,29553943,good,Reuters911_Day_12,0.01131
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,69654762,good,Reuters911_Day_12,0.010979
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,49834420,bad,Reuters911_Day_12,0.013218
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,36025721,good,Reuters911_Day_12,0.012102
4619.115,16107,104,1.113943,1,1.113943,2426,50.34842,75830647,bad,Reuters911_Day_12,0.013581
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,57331599,good,chipcool1_E,0.018653
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,88865076,good,chipcool1_E,0.016099
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,88865077,good,chipcool1_E,0.016013
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,12321508,good,chipcool1_E,0.018683
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,26415433,good,chipcool1_E,0.018544
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,7285382,good,chipcool1_E,0.019329
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,7285383,good,chipcool1_E,0.0191
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,81986705,bad,chipcool1_E,0.022198
0,20082,0.000011,9.743589,1,9.743589,1,5281.914,36025721,bad,chipcool1_E,0.022282
0,9669,1.10188,5.97202,1,5.97202,1,1.18756,69654763,bad,flowmeter5_E,0.000114
66.22222,87025,1895.947,0.964094,4,1.071613,9,59879.56,36025722,fair,t2d_q4_A_25,0.183027
66.22222,87025,1895.947,0.964094,4,1.071613,9,59879.56,88865077,fair,t2d_q4_A_25,0.143424
66.22222,87025,12789.05,1.122296,4,1.252157,9,1.503853,32168839,bad,t2d_q9_A_22,0.006344
249.1577,412148,18404410,20.45239,1,20.45239,875,2.389409,95762352,good,cz40948,0.058979
249.1577,412148,18404410,20.45239,1,20.45239,875,2.389409,95762355,bad,cz40948,0.068525
249.1577,412148,18404410,20.45239,1,20.45239,875,2.389409,95762353,bad,cz40948,0.070888
249.1577,412148,18404410,20.45239,1,20.45239,875,2.389409,7285383,good,cz40948,0.055643
249.1577,412148,18404410,20.45239,1,20.45239,875,2.389409,81986705,good,cz40948,0.050681
382.5217,40110,19.01436,20.6992,1,20.6992,1129,1.100813,32168839,fair,lhr02,0.000095
382.5217,40110,19.01436,20.6992,1,20.6992,1129,1.100813,36564232,good,lhr02,0.000066
380.9263,20044,19.01436,20.6992,1,20.6992,1126,1.168659,36564232,good,lhr01,0.000041
380.9263,20044,19.01436,20.6992,1,20.6992,1126,1.168659,36025721,fair,lhr01,0.000347
380.9263,20044,19.01436,20.6992,1,20.6992,1126,1.168659,37052868,fair,lhr01,0.000053
3768.934,48928,407175.6,6.956126,2,7.153659,14948,120.2018,36564232,good,rajat13,0.002103
1766.2,163716,34.00327,115.0295,1,115.0295,5456,2.234751,36564232,fair,lhr07,0.000329
1766.2,163716,34.00327,115.0295,1,115.0295,5456,2.234751,37052868,fair,lhr07,0.000331
3357.687,17594,2947531,15.80011,1,16.29494,2340,4404925000,36025721,good,c-28,0.000079
3695.335,24382,2228051,8,1,9.417835,2468,2.47E+14,36025721,good,c-29,0.000097
3019.319,19422,518813.7,8,1,9.809822,2149,335474900,36025721,good,c-26,0.000078
5238.26,91465,39168,4.291458,3,4.291458,17813,270803.4,29030070,good,big,0.000478
3044.998,19909,51113.18,8,1,9.144222,1834,5.09815E+12,36025721,good,c-24,0.000113
2614.427,26716,2111.702,8,1,9.262202,2118,3.043978,36564232,bad,c-25,0.00015
2614.427,26716,2111.702,8,1,9.262202,2118,3.043978,69654763,good,c-25,0.000145
2817.264,16332,64187.34,16.75002,1,16.15871,1883,19.09824,36025721,good,c-22,0.000069
2875.458,17524,1214.7,8,1,9.727277,1987,2632249,37052868,fair,c-23,0.000111
2145.974,12803,16396730,8,1,9.195952,1457,3145559000,36025721,good,c-20,0.000056
66.22222,87025,5335.601,1.037953,4,1.133933,9,164416.8,32168839,fair,t2d_q4_A_23,0.006445
6310.585,161370,9403,2.872156,1,2.872156,12601,20.96123,36564232,good,Reuters911,0.000422
6310.585,161370,9403,2.872156,1,2.872156,12601,20.96123,37052868,fair,Reuters911,0.000504
1913.373,519260,6743057000,27.93371,1,27.42213,3730,1174.046,45869639,fair,gyro_k,0.061863
1913.373,519260,6743057000,27.93371,1,27.42213,3730,1174.046,36564232,bad,gyro_k,0.002009
1913.373,519260,6743057000,27.93371,1,27.42213,3730,1174.046,36025721,good,gyro_k,0.001495
2411.993,45062,1.00E+20,20,1,20,6895,35232270,36564232,good,bips98_1450,0.003934
12701.06,1793881,300616500,308.868,4,309.4761,44154,9.002768,53362206,bad,invextr1_new,0.068916
12701.06,1793881,300616500,308.868,4,309.4761,44154,9.002768,81986705,bad,invextr1_new,0.068104
12701.06,1793881,300616500,308.868,4,309.4761,44154,9.002768,1216556,good,invextr1_new,0.052931
12701.06,1793881,300616500,308.868,4,309.4761,44154,9.002768,36025721,good,invextr1_new,0.058345
59.6,48413,5.01005,1.147373,1,1.147373,5,1.903725,32168839,fair,fv2,0.000246
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,85483012,bad,g7jac100,0.055085
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,29030069,bad,g7jac100,0.05847
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,29030070,good,g7jac100,0.041862
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,81986705,bad,g7jac100,0.052436
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,37052870,bad,g7jac100,0.05368
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,37052871,good,g7jac100,0.046326
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,37052869,good,g7jac100,0.04543
6827.318,384636,138457900,25.59061,2,19.77358,4180,9874.285,37052868,good,g7jac100,0.047421
3481.943,321988,34.01184,300.0004,1,300.0004,10000,1.311383,32168839,fair,lhr14c,0.000654
20.85714,11360,1,18.37362,1,18.37362,7,4359635000,37052868,good,watt_1,0.00007
102.0418,1608,2004013,36.09691,1,36.09691,311,9694526,36564232,good,oscil_dcop_46,0.000973
19.55556,3988,474.46,11.15028,2,11.50642,9,9296.963,29030070,good,young3c,0.000032
66.22222,87025,55.45941,0.958951,4,1.019407,9,10475.32,32168839,bad,t2d_q4_A_06,0.006604
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,45869638,good,rail_1357,0.009229
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,45869637,good,rail_1357,0.008505
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,89269804,good,rail_1357,0.009217
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,85483012,good,rail_1357,0.008857
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,95762354,bad,rail_1357,0.010045
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,37052870,bad,rail_1357,0.010745
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,37052871,good,rail_1357,0.008194
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,37052869,good,rail_1357,0.00928
561.7257,5171,0.000074,8.240137,1,8.240137,977,6.349324,37052868,good,rail_1357,0.009416
387.4652,63830,1404.806,7.933329,1,7.615429,316,97.84757,32168839,good,rdist3a,0.000092
387.4652,63830,1404.806,7.933329,1,7.615429,316,97.84757,36564232,good,rdist3a,0.000092
387.4652,63830,1404.806,7.933329,1,7.615429,316,97.84757,37052868,fair,rdist3a,0.000155
1295.211,11886,62073.03,13.73004,2,9.192277,4289,7.882301,36025721,fair,extr1b_A_14,0.000102
2427.571,28873,45364.64,31.51135,2,29.87791,8313,1.291673,32168839,fair,hydr1c_A_16,0.000224
2427.571,28873,45364.64,31.51135,2,29.87791,8313,1.291673,69654763,bad,hydr1c_A_16,0.000178
2408.001,24809,2316742,37.32772,2,39.37148,7953,188.7254,69654763,bad,hydr1c_A_14,0.000168
52.2381,728,12,0.30103,1,0.30103,105,20.27642,36564232,good,football,0.000007
52.2381,728,12,0.30103,1,0.30103,105,20.27642,37052868,bad,football,0.000008
2408.001,24809,2316742,31.56401,2,29.0309,7953,184.4178,69654763,bad,hydr1c_A_12,0.000169
793.8216,11258,1.916559,99.21325,2,99.21325,3127,81.59196,32168839,good,adder_dcop_18,0.000089
793.8216,11258,1.916559,99.21325,2,99.21325,3127,81.59196,36564232,bad,adder_dcop_18,0.000123
793.8216,11258,1.916559,99.21325,2,99.21325,3127,81.59196,36025721,bad,adder_dcop_18,0.000119
0,1668,0,11.27474,1,11.27474,1,67.28444,36564232,good,filter2D_E,0.000044
2426.774,28869,45363.79,30.24021,2,30.74187,8310,1.185981,32168839,fair,hydr1c_A_11,0.000254
4781.382,76496,1E+12,44.25141,1,44.25141,10951,411.785,29030069,good,bips07_3078,0.018628
